Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Traevon Jackson,23.0,25,0,358,52,119,0.436974789916,6,26,0.230769230769,46,93,0.495,0.46218487395,24,31,0.774193548387,9,30,39,32,23,1,19,34,134
Trahson Burrell,24.0,49,36,1492,255,518,0.492277992278,44,124,0.354838709677,211,394,0.536,0.534749034749,86,115,0.747826086957,117,214,331,163,69,28,106,136,640
Travis Bader,23.0,22,12,653,93,228,0.407894736842,71,189,0.375661375661,22,39,0.564,0.563596491228,24,27,0.888888888889,8,25,33,27,16,1,20,57,281
Travis Betran,23.0,2,0,12,0,6,0.0,0,3,0.0,0,3,0.0,0.0,1,2,0.5,1,0,1,0,1,0,0,2,1
Travis Cohn,0.0,13,1,222,34,69,0.492753623188,7,17,0.411764705882,27,52,0.519,0.54347826087,10,13,0.769230769231,10,17,27,10,9,0,22,14,85
Travis Franklin,0.0,77,10,1324,212,401,0.528678304239,0,5,0.0,212,396,1.075,0.528678304239,155,216,0.717592592593,92,105,197,65,40,21,87,144,579
Travis George,0.0,2,0,30,1,2,0.5,0,0,0.0,1,2,0.5,0.5,6,10,0.6,1,2,3,0,2,5,4,7,8
Travis Holmes,0.0,4,0,23,1,4,0.25,0,1,0.0,1,3,0.333,0.25,0,0,0.0,0,2,2,1,3,0,1,1,2
Travis Hyman,210.0,208,57,3129,352,749,0.469959946595,0,2,0.0,352,747,3.574,0.469959946595,129,324,0.398148148148,347,538,885,106,130,291,237,541,833
Travis Leslie,69.0,94,50,2540,555,1118,0.496422182469,91,251,0.362549800797,464,867,1.596,0.537119856887,120,160,0.75,209,366,575,197,113,38,172,211,1321
Travis McKie,66.0,18,0,154,16,46,0.347826086957,6,26,0.230769230769,10,20,1.5,0.413043478261,0,4,0.0,8,24,32,8,4,2,10,16,38
Travis Releford,25.0,16,3,288,29,61,0.475409836066,6,22,0.272727272727,23,39,0.59,0.524590163934,10,15,0.666666666667,11,14,25,15,13,3,13,30,74
Travis Trice III,47.0,58,57,1988,344,784,0.438775510204,79,219,0.360730593607,265,565,0.908,0.489158163265,171,211,0.810426540284,25,176,201,336,74,5,131,93,938
Travis Walton,0.0,52,18,1016,80,212,0.377358490566,6,22,0.272727272727,74,190,1.33,0.391509433962,70,98,0.714285714286,20,66,86,102,24,4,34,84,236
Travis Wear,26.0,42,13,1067,206,476,0.432773109244,77,225,0.342222222222,129,251,0.514,0.513655462185,46,65,0.707692307692,58,246,304,43,34,20,51,98,535
Tre Bussey,23.0,38,11,777,106,292,0.36301369863,30,100,0.3,76,192,0.396,0.414383561644,38,50,0.76,10,54,64,89,30,6,70,56,280
Tre Kelley,172.0,178,136,6017,989,2179,0.453877925654,282,693,0.406926406926,707,1486,2.786,0.518586507572,496,610,0.813114754098,55,436,491,894,210,31,444,340,2756
Tre Whitted,0.0,92,30,2229,287,736,0.389945652174,83,270,0.307407407407,204,466,0.878,0.446331521739,109,138,0.789855072464,62,141,203,148,49,9,116,153,766
Tremaine Fowlkes,83.0,61,44,1724,257,640,0.4015625,9,49,0.183673469388,248,591,1.19,0.40859375,318,445,0.714606741573,138,170,308,76,61,12,107,177,841
Trent Lockett,0.0,46,43,1296,195,405,0.481481481481,47,111,0.423423423423,148,294,0.503,0.53950617284,69,95,0.726315789474,67,186,253,92,50,25,84,118,506
