Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Gary Forbes,158.0,138,79,3976,780,1659,0.470162748644,169,460,0.367391304348,611,1199,2.818,0.521097046414,423,559,0.756708407871,174,490,664,379,125,50,371,359,2152
Gary Hamilton,22.0,9,8,217,17,44,0.386363636364,0,0,0.0,17,44,0.386,0.386363636364,8,12,0.666666666667,19,28,47,18,14,5,18,39,42
Gary Neal,128.0,18,10,510,120,262,0.458015267176,26,76,0.342105263158,94,186,1.867,0.507633587786,82,92,0.891304347826,6,52,58,34,20,0,26,30,348
Gary Payton II,24.0,49,49,1603,274,550,0.498181818182,73,238,0.306722689076,201,312,0.644,0.564545454545,72,103,0.699029126214,88,232,320,162,98,33,77,129,693
Gary Talton,170.0,242,161,7008,897,2289,0.391874180865,287,823,0.34872417983,610,1466,2.941,0.454565312363,412,503,0.819085487078,180,659,839,1495,248,10,539,478,2493
Gary Williams,0.0,45,37,1092,140,301,0.46511627907,17,56,0.303571428571,123,245,0.999,0.493355481728,72,87,0.827586206897,38,97,135,60,24,9,82,128,369
Gavin Edwards,0.0,39,13,995,167,324,0.515432098765,0,3,0.0,167,321,0.52,0.515432098765,96,130,0.738461538462,70,148,218,36,30,37,77,110,430
Gavin Grant,0.0,45,6,863,126,290,0.434482758621,3,19,0.157894736842,123,271,0.987,0.439655172414,142,185,0.767567567568,38,87,125,57,20,10,71,67,397
Geary Claxton,0.0,14,0,216,20,48,0.416666666667,0,2,0.0,20,46,0.435,0.416666666667,3,13,0.230769230769,15,31,46,14,9,7,12,33,43
Geno Carlisle,58.0,20,4,403,64,138,0.463768115942,12,33,0.363636363636,52,105,0.955,0.507246376812,39,50,0.78,6,31,37,24,14,0,27,24,179
Geoff Husted,23.0,8,0,116,15,41,0.365853658537,0,1,0.0,15,40,0.375,0.365853658537,3,6,0.5,12,15,27,3,5,1,5,21,33
Geoff Owens,49.0,89,67,1875,218,427,0.510538641686,0,0,0.0,218,427,1.036,0.510538641686,170,304,0.559210526316,178,336,514,60,41,71,112,342,606
George Beamon,69.0,36,0,424,34,90,0.377777777778,8,42,0.190476190476,26,48,1.585,0.422222222222,28,36,0.777777777778,24,52,76,28,22,0,22,46,104
George Leach,24.0,47,18,990,164,300,0.546666666667,0,0,0.0,164,300,0.547,0.546666666667,64,99,0.646464646465,79,170,249,35,22,65,63,163,392
George Odufuwa,0.0,42,4,706,61,117,0.521367521368,0,0,0.0,61,117,0.521,0.521367521368,41,68,0.602941176471,78,119,197,26,17,31,32,83,163
George Reese,72.0,100,42,1560,236,586,0.402730375427,10,44,0.227272727273,226,542,1.284,0.411262798635,90,116,0.775862068966,98,148,246,96,28,18,84,180,572
George Williams,144.0,200,73,4224,518,1053,0.491927825261,6,21,0.285714285714,512,1032,2.908,0.49477682811,201,292,0.688356164384,184,434,618,200,103,68,268,414,1243
Georges Niang,23.0,6,6,198,47,105,0.447619047619,10,33,0.30303030303,37,72,0.514,0.495238095238,10,13,0.769230769231,11,32,43,20,7,2,14,19,114
Georgios Papagiannis,19.0,23,20,739,142,279,0.508960573477,3,6,0.5,139,273,0.509,0.514336917563,29,38,0.763157894737,55,131,186,11,13,59,44,69,316
Gerald Beverly,23.0,40,1,464,74,125,0.592,2,5,0.4,72,120,0.6,0.6,40,59,0.677966101695,66,70,136,4,8,17,10,63,190
Gerald Fitch,23.0,3,1,69,11,39,0.282051282051,2,11,0.181818181818,9,28,0.321,0.307692307692,11,11,1.0,5,8,13,6,2,1,6,5,35
Gerald Green,86.0,40,23,1125,243,525,0.462857142857,70,153,0.457516339869,173,372,1.854,0.529523809524,79,100,0.79,44,145,189,64,49,13,107,95,635
Gerald Walker,29.0,30,21,575,65,161,0.403726708075,1,11,0.0909090909091,64,150,0.427,0.406832298137,36,41,0.878048780488,36,73,109,85,38,3,58,44,167
Gerard Anderson,0.0,54,14,641,73,154,0.474025974026,6,29,0.206896551724,67,125,2.612,0.493506493506,36,47,0.765957446809,44,59,103,26,22,1,50,50,188
Geron Johnson,22.0,33,0,422,66,173,0.381502890173,15,65,0.230769230769,51,108,0.472,0.424855491329,24,35,0.685714285714,22,52,74,47,20,6,44,64,171
Gerry McNamara,48.0,58,34,1468,194,488,0.397540983607,65,204,0.31862745098,129,284,0.905,0.464139344262,117,128,0.9140625,11,97,108,276,48,2,129,142,570
Giannis Giannoulis,26.0,2,0,7,0,1,0.0,0,0,0.0,0,1,0.0,0.0,0,0,0.0,1,0,1,0,0,0,1,1,0
Gideon Gamble,120.0,69,6,1083,169,398,0.424623115578,88,227,0.387665198238,81,171,1.802,0.535175879397,14,21,0.666666666667,25,117,142,50,42,20,51,136,440
Gigi Datome,27.0,2,0,53,11,24,0.458333333333,6,10,0.6,5,14,0.357,0.583333333333,4,5,0.8,3,10,13,1,0,1,6,3,32
Gilbert Brown,0.0,59,40,1682,245,519,0.472061657033,59,172,0.343023255814,186,347,1.048,0.528901734104,174,234,0.74358974359,57,162,219,126,62,19,95,141,723
Glen McGowan,0.0,69,35,1842,334,634,0.526813880126,27,64,0.421875,307,570,2.208,0.548107255521,263,342,0.769005847953,135,270,405,79,38,14,135,204,958
Glen Rice,117.0,135,72,3545,735,1650,0.445454545455,246,733,0.335607094134,489,917,2.693,0.52,456,596,0.765100671141,209,544,753,365,181,81,268,303,2172
Glenn Robinson,22.0,1,1,41,4,13,0.307692307692,0,2,0.0,4,11,0.364,0.307692307692,3,4,0.75,3,8,11,2,2,0,0,1,11
Goodluck Okonoboh,22.0,7,0,51,7,9,0.777777777778,0,0,0.0,7,9,0.778,0.777777777778,0,2,0.0,8,6,14,2,2,2,6,10,14
Gracin Bakumanya,19.0,40,13,416,48,102,0.470588235294,0,0,0.0,48,102,0.471,0.470588235294,13,18,0.722222222222,52,78,130,13,12,10,21,72,109
Grant Jerrett,106.0,75,64,2240,389,880,0.442045454545,141,368,0.383152173913,248,512,2.456,0.522159090909,130,176,0.738636363636,120,375,495,94,56,59,101,217,1049
Greg Clausen,81.0,92,8,1274,114,300,0.38,0,8,0.0,114,292,1.216,0.38,50,80,0.625,102,152,254,46,14,18,52,174,278
Greg Davis,22.0,42,6,619,68,153,0.444444444444,7,14,0.5,61,139,0.439,0.467320261438,14,19,0.736842105263,10,37,47,108,25,0,34,60,157
Greg Foster,25.0,1,0,1,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,1,0,1,2,0
Greg Gantt,45.0,26,2,407,49,122,0.401639344262,29,86,0.337209302326,20,36,1.077,0.520491803279,16,21,0.761904761905,5,32,37,15,9,1,7,31,143
Greg Gray,0.0,48,38,981,126,287,0.439024390244,2,28,0.0714285714286,124,259,0.479,0.442508710801,65,100,0.65,49,87,136,45,63,8,69,64,319
Greg Jones,28.0,48,1,936,189,449,0.420935412027,77,186,0.413978494624,112,263,0.426,0.506681514477,41,55,0.745454545455,21,62,83,79,37,3,75,60,496
Greg Mays,24.0,5,0,21,5,9,0.555555555556,0,0,0.0,5,9,0.556,0.555555555556,4,4,1.0,4,2,6,0,1,0,1,1,14
Greg Ostertag,38.0,10,1,134,18,33,0.545454545455,0,0,0.0,18,33,0.545,0.545454545455,7,14,0.5,20,30,50,6,1,5,10,16,43
Greg Smith,68.0,46,33,1279,282,465,0.606451612903,0,6,0.0,282,459,1.731,0.606451612903,118,201,0.587064676617,106,261,367,89,47,35,88,134,682
Greg Stempin,91.0,138,57,3571,582,1341,0.434004474273,98,299,0.327759197324,484,1042,1.755,0.470544369873,314,479,0.655532359081,209,486,695,208,84,49,265,351,1576
Greg Stevenson,75.0,88,62,2492,378,664,0.569277108434,16,42,0.380952380952,362,622,1.666,0.581325301205,182,248,0.733870967742,132,286,418,170,126,22,98,170,954
Greg Stiemsma,73.0,50,48,1416,179,334,0.535928143713,0,1,0.0,179,333,1.376,0.535928143713,78,97,0.80412371134,78,291,369,60,35,181,68,187,436
Greg Stolt,0.0,51,1,557,68,171,0.397660818713,26,65,0.4,42,106,0.396,0.473684210526,25,31,0.806451612903,26,80,106,21,9,10,30,37,187
Greg Washington,0.0,7,0,88,6,20,0.3,0,1,0.0,6,19,0.316,0.3,0,0,0.0,7,3,10,3,4,10,6,14,12
Greg Whittington,45.0,36,32,1234,186,421,0.441805225653,71,190,0.373684210526,115,231,1.006,0.526128266033,52,69,0.753623188406,33,233,266,90,65,33,78,115,495
Guerschon Yabusele,0.0,2,1,54,11,17,0.647058823529,4,6,0.666666666667,7,11,0.636,0.764705882353,11,12,0.916666666667,9,11,20,2,1,0,9,4,37
Guillermo Diaz,22.0,22,13,761,131,292,0.448630136986,22,68,0.323529411765,109,224,0.487,0.486301369863,114,135,0.844444444444,20,68,88,69,20,4,44,41,398
Ha Seung-Jin,41.0,31,16,398,34,84,0.404761904762,0,0,0.0,34,84,0.771,0.404761904762,13,26,0.5,29,62,91,7,5,11,26,64,81
Hamady N'Diaye,180.0,91,44,1871,186,342,0.543859649123,0,1,0.0,186,341,3.631,0.543859649123,80,168,0.47619047619,126,240,366,54,25,219,94,237,452
Hamed Haddadi,23.0,18,9,315,40,91,0.43956043956,0,3,0.0,40,88,0.455,0.43956043956,26,41,0.634146341463,50,70,120,16,8,30,36,41,106
Hank Thorns,0.0,12,0,154,11,51,0.21568627451,5,18,0.277777777778,6,33,0.182,0.264705882353,3,6,0.5,1,14,15,32,8,0,17,13,30
Harold Arceneaux,24.0,5,0,56,5,15,0.333333333333,0,0,0.0,5,15,0.333,0.333333333333,16,18,0.888888888889,1,4,5,0,1,1,6,7,26
Harry Good,0.0,2,0,3,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0
Harry Marshall,0.0,6,0,114,12,31,0.387096774194,1,9,0.111111111111,11,22,0.5,0.403225806452,8,10,0.8,0,9,9,13,6,3,7,9,33
Harvey Thomas,69.0,30,0,288,24,70,0.342857142857,0,4,0.0,24,66,1.092,0.342857142857,34,56,0.607142857143,14,28,42,14,12,12,26,60,82
Hasheem Thabeet,72.0,60,51,1424,213,366,0.581967213115,0,0,0.0,213,366,1.708,0.581967213115,130,199,0.653266331658,119,295,414,25,29,152,116,214,556
Hassan Whiteside,187.0,105,22,1426,328,540,0.607407407407,0,2,0.0,328,538,5.442,0.607407407407,137,230,0.595652173913,210,399,609,25,41,241,119,175,793
Henry Domercant,35.0,12,0,201,21,60,0.35,9,32,0.28125,12,28,0.429,0.425,22,26,0.846153846154,5,16,21,8,4,2,7,18,73
Henry Ellenson,20.0,21,21,740,127,305,0.416393442623,38,116,0.327586206897,89,189,0.471,0.47868852459,83,103,0.805825242718,33,154,187,28,12,18,40,55,375
Henry Sims,96.0,109,101,3334,655,1299,0.504234026174,14,44,0.318181818182,641,1255,1.99,0.509622786759,443,572,0.774475524476,295,667,962,175,96,119,267,428,1767
Henry Walker,150.0,117,70,3219,618,1361,0.454077883909,259,670,0.386567164179,359,691,2.89,0.54922850845,257,337,0.762611275964,100,488,588,190,126,97,177,382,1752
Herbert Hill,0.0,32,12,698,140,254,0.551181102362,0,0,0.0,140,254,1.643,0.551181102362,16,38,0.421052631579,56,130,186,22,12,54,66,70,296
Hilton Armstrong,57.0,61,47,1603,277,468,0.59188034188,1,3,0.333333333333,276,465,1.19,0.592948717949,219,305,0.718032786885,150,285,435,86,51,121,162,226,774
Hiram Fuller,69.0,105,67,2890,425,913,0.465498357065,0,2,0.0,425,911,1.387,0.465498357065,323,480,0.672916666667,282,562,844,98,62,166,256,422,1173
Hollis Thompson,46.0,64,17,1392,243,528,0.460227272727,46,130,0.353846153846,197,398,0.997,0.503787878788,85,114,0.745614035088,72,189,261,63,41,14,76,116,617
Horace Wormely,0.0,43,19,1232,97,233,0.416309012876,27,77,0.350649350649,70,156,0.449,0.474248927039,75,92,0.815217391304,13,108,121,165,44,1,79,104,296
Ian Chiles,75.0,20,0,158,36,68,0.529411764706,0,0,0.0,36,68,1.058,0.529411764706,10,10,1.0,24,32,56,4,0,10,14,30,82
Ian Clark,45.0,15,14,481,76,182,0.417582417582,29,72,0.402777777778,47,110,0.848,0.497252747253,16,24,0.666666666667,3,39,42,61,21,4,32,36,197
Ian Mahinmi,43.0,47,41,1381,277,454,0.61013215859,0,0,0.0,277,454,0.815,0.61013215859,221,288,0.767361111111,118,250,368,64,66,79,127,196,775
