Player,Age,Tm,Lg,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG_PCT,2P_PCT,3P_PCT,FT_PCT,eFG_PCT,FG_PER_36,FGA_PER_36,2P_PER_36,2PA_PER_36,3P_PER_36,3PA_PER_36,FT_PER_36,FTA_PER_36,ORB_PER_36,DRB_PER_36,TRB_PER_36,AST_PER_36,STL_PER_36,BLK_PER_36,TOV_PER_36,PF_PER_36,PTS_PER_36,TS_PCT,3PAr,FTr
Alex Stepheson,28,TOT,NBA,2015-16,8,0,73,9,27,9,27,0,0,4,12,19,9,28,2,1,5,0,12,22,0.333333333,0.333333333,0,0.333333333,0.333333333,4.438356164,13.31506849,4.438356164,13.31506849,0,0,1.97260274,5.917808219,9.369863014,4.438356164,13.80821918,0.98630137,0.493150685,2.465753425,0,5.917808219,10.84931507,34.07682776,0,0.444444444
Alexander Johnson,23,MEM,NBA,2006-07,59,19,753,91,169,91,169,0,0,78,118,50,131,181,17,25,35,47,137,260,0.538461538,0.538461538,0,0.661016949,0.538461538,4.35059761,8.079681275,4.35059761,8.079681275,0,0,3.729083665,5.641434263,2.390438247,6.262948207,8.653386454,0.812749004,1.195219124,1.673306773,2.247011952,6.549800797,12.43027888,58.84483071,0,0.698224852
Allan Ray,22,BOS,NBA,2006-07,47,5,710,100,259,52,143,48,116,42,55,18,51,69,43,20,3,42,85,290,0.386100386,0.363636364,0.413793103,0.763636364,0.478764479,5.070422535,13.13239437,2.636619718,7.250704225,2.433802817,5.881690141,2.129577465,2.788732394,0.912676056,2.585915493,3.498591549,2.18028169,1.014084507,0.152112676,2.129577465,4.309859155,14.70422535,51.20056497,0.447876448,0.212355212
Allen Crabbe,21,POR,NBA,2013-14,15,0,100,12,33,6,19,6,14,3,4,1,8,9,6,2,1,3,10,33,0.363636364,0.315789474,0.428571429,0.75,0.454545455,4.32,11.88,2.16,6.84,2.16,5.04,1.08,1.44,0.36,2.88,3.24,2.16,0.72,0.36,1.08,3.6,11.88,47.46835443,0.424242424,0.121212121
Alton Ford,20,PHO,NBA,2001-02,53,0,452,61,118,61,118,0,0,42,57,32,75,107,7,6,7,32,99,164,0.516949153,0.516949153,0,0.736842105,0.516949153,4.85840708,9.398230089,4.85840708,9.398230089,0,0,3.345132743,4.539823009,2.548672566,5.973451327,8.522123894,0.557522124,0.477876106,0.557522124,2.548672566,7.884955752,13.0619469,57.31059547,0,0.483050847
Alvin Jones,23,PHI,NBA,2001-02,23,2,126,8,20,8,20,0,0,10,20,13,23,36,3,3,9,11,35,26,0.4,0.4,0,0.5,0.4,2.285714286,5.714285714,2.285714286,5.714285714,0,0,2.857142857,5.714285714,3.714285714,6.571428571,10.28571429,0.857142857,0.857142857,2.571428571,3.142857143,10,7.428571429,45.13888889,0,1
Andre Barrett,22,TOT,NBA,2004-05,38,1,483,45,124,31,72,14,52,14,19,11,29,40,69,19,1,27,51,118,0.362903226,0.430555556,0.269230769,0.736842105,0.419354839,3.354037267,9.242236025,2.310559006,5.366459627,1.043478261,3.875776398,1.043478261,1.416149068,0.819875776,2.161490683,2.98136646,5.142857143,1.416149068,0.074534161,2.01242236,3.801242236,8.795031056,44.57540042,0.419354839,0.153225806
Andre Brown,25,SEA,NBA,2006-07,38,0,271,42,74,42,73,0,1,9,15,26,48,74,2,6,4,29,26,93,0.567567568,0.575342466,0,0.6,0.567567568,5.579335793,9.830258303,5.579335793,9.697416974,0,0.132841328,1.195571956,1.992619926,3.453874539,6.376383764,9.830258303,0.265682657,0.79704797,0.531365314,3.852398524,3.453874539,12.35424354,57.69230769,0.013513514,0.202702703
Andre Dawkins,23,MIA,NBA,2014-15,4,0,22,1,6,0,0,1,6,0,0,0,2,2,1,0,0,1,3,3,0.166666667,0,0.166666667,0,0.25,1.636363636,9.818181818,0,0,1.636363636,9.818181818,0,0,0,3.272727273,3.272727273,1.636363636,0,0,1.636363636,4.909090909,4.909090909,25,1,0
Andre Drummond,19,DET,NBA,2012-13,60,10,1243,208,342,207,340,1,2,59,159,169,288,457,30,59,95,57,144,476,0.608187135,0.608823529,0.5,0.371069182,0.609649123,6.024135157,9.905068383,5.995172969,9.847144006,0.028962188,0.057924377,1.708769107,4.604987932,4.894609815,8.341110217,13.23572003,0.868865648,1.708769107,2.751407884,1.65084473,4.170555109,13.78600161,57.77259928,0.005847953,0.464912281
