Player,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PProd,OWS,DWS,WS,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OBPM,DBPM,BPM,FG/40,FGA/40,2P/40,2PA/40,3P/40,3PA/40,FT/40,FTA/40,ORB/40,DRB/40,TRB/40,AST/40,STL/40,BLK/40,TOV/40,PF/40,PTS/40,TS%,FTr,3PAr,FG%,2P%,3P%,FT%,eFG%,y
Austin Rivers,34,1129,174,402,116,243,58,159,121,184,21,94,115,71,33,1,79,76,527,488,2.4,1,3.5,16.9,2.2,10,6,13,1.7,0.1,13.9,25.2,107.8,104.7,3.7,0,3.7,6.164747564,14.24269265,4.109831709,8.60938884,2.054915855,5.633303809,4.286979628,6.519043401,0.744021258,3.330380868,4.074402126,2.515500443,1.169176262,0.035429584,2.798937112,2.692648361,18.67139061,54.5593838,0.457711443,0.395522388,0.432835821,0.477366255,0.364779874,0.657608696,0.504975124,0.325581395
Avery Bradley,34,1003,159,368,117,256,42,112,36,66,33,65,98,71,44,18,52,80,396,374,1.6,1.6,3.2,14.9,3.5,6.6,5.1,12.4,2.4,1.6,11.5,20.4,106.7,98.6,0,0,0,6.340977069,14.67597208,4.666001994,10.20937188,1.674975075,4.466600199,1.435692921,2.632103689,1.316051844,2.59222333,3.908275174,2.831505484,1.754735793,0.717846461,2.073778664,3.190428714,15.79262213,49.86903083,0.179347826,0.304347826,0.432065217,0.45703125,0.375,0.545454545,0.489130435,0
Ben Bentil,69,1928,321,705,260,517,61,188,251,330,173,261,434,61,39,48,107,186,954,886,4.9,2.8,7.7,17.7406639,11.07188797,15.10871369,13.02136929,6.570850622,1.027178423,2.416493776,13.40103734,22.20570539,110.0698133,102.1612033,2.538796681,1.551452282,4.090248963,6.659751037,14.62655602,5.394190871,10.72614108,1.265560166,3.900414938,5.20746888,6.846473029,3.589211618,5.414937759,9.004149378,1.265560166,0.809128631,0.995850622,2.219917012,3.858921162,19.79253112,56.10444601,0.468085106,0.266666667,0.455319149,0.502901354,0.324468085,0.760606061,0.49858156,0
Ben Hansbrough,69,2443,323,689,169,327,154,362,244,313,54,213,267,298,78,9,144,170,1044,1024,8.8,2.1,10.8,21.60188293,2.747605403,9.796807204,6.398403602,24.73352436,2.001596398,0.349201801,14.73962341,21.46385591,124.3587802,106.0537045,4.876627098,0.355587393,5.23221449,5.288579615,11.28121163,2.767089644,5.354072861,2.521489971,5.927138764,3.995088007,5.1248465,0.884158821,3.48751535,4.371674171,4.879246828,1.277118297,0.147359804,2.357756856,2.783462955,17.09373721,63.14108767,0.454281567,0.525399129,0.468795356,0.516819572,0.425414365,0.779552716,0.580551524,0.260869565
Ben McLemore,37,1191,198,400,125,226,73,174,120,138,47,145,192,73,37,25,77,69,589,530,4.2,2.3,6.5,23.2,5,13.2,9.4,12.6,1.8,2.2,14.2,23.2,121.4,93.7,7.3,2.9,10.2,6.649874055,13.434089,4.198152813,7.590260285,2.451721243,5.843828715,4.0302267,4.634760705,1.578505458,4.869857263,6.44836272,2.451721243,1.242653233,0.839630563,2.586062133,2.317380353,19.78169605,63.92168779,0.345,0.435,0.495,0.553097345,0.41954023,0.869565217,0.58625,0.31986532
Ben Uzoh,35,1202,184,403,135,260,49,143,117,153,34,129,163,163,34,26,80,60,534,550,3.7,1.8,5.5,22.2,3.4,11.5,7.7,29.8,1.7,2.1,14.4,23.5,116.2,99.6,0,0,0,6.12312812,13.4109817,4.492512479,8.652246256,1.630615641,4.758735441,3.893510815,5.091514143,1.131447587,4.292845258,5.424292845,5.424292845,1.131447587,0.865224626,2.662229617,1.996672213,17.7703827,56.76985882,0.379652605,0.35483871,0.456575682,0.519230769,0.342657343,0.764705882,0.517369727,0.375
Bernard James,69,1698,274,437,274,437,0,0,123,233,181,303,484,24,55,164,123,124,671,622,3.5,4.4,7.9,24.62608952,12.56219081,19.67031802,16.27391048,2.965783274,2.003592462,11.80624264,18.15047114,19.59640754,111.1837456,86.15954064,1.281095406,8.199057715,9.495465253,6.454652532,10.29446408,6.454652532,10.29446408,0,0,2.897526502,5.488810365,4.263839812,7.137809187,11.401649,0.565371025,1.295641932,3.863368669,2.897526502,2.921083628,15.80683157,62.1849051,0.533180778,0,0.627002288,0.627002288,0,0.527896996,0.627002288,0
Bobby Portis,70,1994,411,782,388,719,23,63,202,274,219,332,551,92,74,104,97,137,1047,989,6.6,3.8,10.5,26.73771314,11.988666,18.588666,15.28074223,9.766800401,2.1,5.306419258,9.630190572,24.25997994,120.7109328,96.39358074,4.649047141,4.020762287,8.6777332,8.244734203,15.68706118,7.78335005,14.42326981,0.461384152,1.263791374,4.052156469,5.496489468,4.393179539,6.65997994,11.05315948,1.84553661,1.48445336,2.086258776,1.945837513,2.748244734,21.00300903,58.0016841,0.350383632,0.08056266,0.525575448,0.539638387,0.365079365,0.737226277,0.54028133,0.307692308
Bradley Beal,37,1267,175,393,112,207,63,186,133,173,50,199,249,83,51,31,79,76,546,522,3.6,2.1,5.7,22,4.8,20.3,12.3,12.7,2.5,2.6,14.3,23,115.4,96.9,5.3,3.3,8.6,5.524861878,12.40726125,3.535911602,6.535122336,1.988950276,5.872138911,4.198895028,5.4617206,1.578531965,6.282557222,7.861089187,2.620363062,1.610102605,0.978689818,2.494080505,2.399368587,17.23756906,58.19406548,0.440203562,0.473282443,0.445292621,0.541062802,0.338709677,0.768786127,0.525445293,0.38559322
Branden Dawson,130,3456,566,1013,566,1004,0,9,177,317,329,573,902,181,163,142,219,212,1309,1288,7.2,7.9,15,23.3895544,12.18625579,19.3515625,15.87077546,11.07676505,2.833506944,4.699594907,15.27957176,21.02881944,112.9244792,91.84820602,3.570833333,6.375231481,9.927546296,6.550925926,11.72453704,6.550925926,11.62037037,0,0.104166667,2.048611111,3.668981481,3.80787037,6.631944444,10.43981481,2.094907407,1.886574074,1.643518519,2.534722222,2.453703704,15.15046296,56.79057337,0.312931885,0.008884501,0.558736426,0.56374502,0,0.558359621,0.558736426,0
Brandon Davies,135,3251,609,1166,603,1148,6,18,456,691,246,594,840,213,132,123,283,406,1680,1621,8,6.9,14.9,22.74300215,8.597139342,20.52276223,14.48397416,12.89876961,2.175761304,3.890587512,15.67985235,25.90366041,109.4837896,93.09390957,1.77502307,3.537465395,5.290310674,7.493079053,14.34635497,7.419255614,14.12488465,0.073823439,0.221470317,5.61058136,8.501999385,3.026760997,7.308520455,10.33528145,2.620732082,1.624115657,1.513380498,3.482005537,4.995386035,20.6705629,57.14130228,0.592624357,0.015437393,0.522298456,0.525261324,0.333333333,0.659913169,0.524871355,0.2
Brandon Ingram,36,1246,214,484,134,289,80,195,116,170,67,177,244,72,41,49,72,74,624,591,3.4,1.5,4.9,22.5,6,15.5,10.8,11.4,1.9,3.6,11.3,25.6,114.7,104.4,4.6,2.9,7.5,6.869983949,15.53772071,4.30176565,9.277688604,2.568218299,6.260032103,3.723916533,5.457463884,2.150882825,5.682182986,7.833065811,2.311396469,1.316211878,1.573033708,2.311396469,2.375601926,20.03210273,55.83392985,0.351239669,0.402892562,0.44214876,0.46366782,0.41025641,0.682352941,0.524793388,0.294117647
Brandon Knight,38,1363,217,513,130,282,87,231,136,171,25,128,153,159,25,8,120,83,657,652,3.6,1.8,5.3,19.3,2.2,10.2,6.3,23.4,1.1,0.6,16.8,27,109.9,101.5,5.4,0.5,5.9,6.368305209,15.05502568,3.81511372,8.275862069,2.553191489,6.77916361,3.991195891,5.018341893,0.733675715,3.756419663,4.490095378,4.66617755,0.733675715,0.234776229,3.521643434,2.435803375,19.2809978,55.84455324,0.333333333,0.450292398,0.423001949,0.460992908,0.376623377,0.795321637,0.507797271,0.380434783
Briante Weber,127,2965,296,695,256,549,40,146,230,299,103,320,423,378,374,26,186,280,862,977,4.6,8.7,13.4,20.97456998,3.526003373,13.78887015,8.199696459,25.21993255,7.753659359,1.024789207,18.07386172,17.2772344,108.4742664,84.90215852,3.205025295,7.494671164,10.69969646,3.993254637,9.376053963,3.453625632,7.406408094,0.539629005,1.969645868,3.102866779,4.033726813,1.389544688,4.31703204,5.706576729,5.099494098,5.045531197,0.350758853,2.509274874,3.777403035,11.62900506,52.14382501,0.430215827,0.210071942,0.425899281,0.466302368,0.273972603,0.769230769,0.454676259,0
Brice Johnson,148,3102,714,1242,714,1242,0,0,288,407,314,721,1035,133,111,163,187,369,1716,1536,10.4,6.8,17.2,27.59748549,11.36415216,24.88462282,18.0696325,8.5568343,2.190425532,5.813636364,11.21044487,24.95818827,118.579755,92.85390071,4.012056738,5.111154094,9.092907801,9.20696325,16.01547389,9.20696325,16.01547389,0,0,3.713733075,5.24822695,4.049000645,9.297227595,13.34622824,1.715022566,1.431334623,2.101869761,2.411347518,4.758220503,22.12765957,60.37661497,0.327697262,0,0.574879227,0.574879227,0,0.707616708,0.574879227,0
Bryce Cotton,130,4314,611,1452,345,716,266,736,487,581,70,298,368,384,118,11,193,157,1975,1836,14.1,2.9,17.1,19.71675939,1.79930459,8.230482151,4.899721836,19.45431154,1.642049142,0.271488178,9.928048215,22.24527121,121.4760547,108.675452,6.86956421,-1.226866018,5.671302735,5.665275846,13.46314325,3.198887344,6.638850255,2.466388503,6.824293,4.51553083,5.387111729,0.649049606,2.763096894,3.4121465,3.560500695,1.094112193,0.10199351,1.789522485,1.455725545,18.31247102,57.8283479,0.400137741,0.506887052,0.420798898,0.481843575,0.361413043,0.838209983,0.512396694,0.35
Bryce Dejean-Jones,117,2888,441,1028,321,671,120,357,264,386,116,355,471,272,110,29,212,250,1266,1240,5,4.9,9.9,17.94702216,4.589958449,13.40207756,9.085387812,19.65283934,2.240581717,0.989265928,14.91772853,25.04923823,105.0583102,97.71911357,2.911288089,2.150900277,5.035872576,6.108033241,14.23822715,4.44598338,9.293628809,1.662049862,4.944598338,3.656509695,5.346260388,1.606648199,4.916897507,6.523545706,3.767313019,1.523545706,0.40166205,2.936288089,3.462603878,17.53462604,52.84512122,0.375486381,0.347276265,0.428988327,0.478390462,0.336134454,0.683937824,0.487354086,0.375
Bryn Forbes,138,4010,565,1258,241,513,324,745,288,351,67,272,339,182,87,8,164,219,1742,1469,10.9,3.9,14.7,17.54560429,2.148764292,8.785179384,5.3878344,9.295136958,1.35503996,0.212607787,10.34818032,21.06352323,121.2136946,106.4225243,4.966807962,-1.375880578,3.663448051,5.635910224,12.54862843,2.403990025,5.117206983,3.2319202,7.431421446,2.872817955,3.501246883,0.668329177,2.713216958,3.381546135,1.815461347,0.867830424,0.079800499,1.635910224,2.184538653,17.3765586,61.66633627,0.279014308,0.592209857,0.449125596,0.469785575,0.434899329,0.820512821,0.577901431,0.320754717
