Player,Age,Tm,Lg,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,eFG%,FG/36,FGA/36,2P/36,2PA/36,3P/36,3PA/36,FT/36,FTA/36,ORB/36,DRB/36,TRB/36,AST/36,STL/36,BLK/36,TOV/36,PF/36,PTS/36,TS%,FTr,3PAr
Arinze Onuaku,26,TOT,NBA,2013-14,5,0,30,1,5,1,5,0,0,1,2,2,6,8,3,0,0,1,3,3,0.2,0.2,0.0,0.5,0.2,1.2,6.0,1.2,6.0,0.0,0.0,1.2,2.4,2.4,7.2,9.6,3.6,0.0,0.0,1.2,3.6,3.6,25.5102040816,0.4,0.0
Armon Johnson,21,POR,NBA,2010-11,38,0,277,46,101,41,89,5,12,13,22,11,25,36,45,5,1,38,31,110,0.455445544554,0.460674157303,0.416666666667,0.590909090909,0.480198019802,5.97833935018,13.1263537906,5.3285198556,11.5667870036,0.649819494585,1.559566787,1.68953068592,2.85920577617,1.42960288809,3.24909747292,4.67870036101,5.84837545126,0.649819494585,0.129963898917,4.93862815884,4.02888086643,14.2960288809,49.6928080954,0.217821782178,0.118811881188
Arnett Moultrie,22,PHI,NBA,2012-13,47,0,542,78,134,78,134,0,0,18,28,76,69,145,10,17,10,19,43,174,0.582089552239,0.582089552239,0.0,0.642857142857,0.582089552239,5.18081180812,8.90036900369,5.18081180812,8.90036900369,0.0,0.0,1.19557195572,1.85977859779,5.0479704797,4.58302583026,9.63099630996,0.664206642066,1.12915129151,0.664206642066,1.26199261993,2.85608856089,11.557195572,59.4587206124,0.208955223881,0.0
Austin Rivers,20,NOH,NBA,2012-13,61,26,1418,145,390,117,304,28,86,59,108,16,93,109,127,26,9,74,122,377,0.371794871795,0.384868421053,0.325581395349,0.546296296296,0.407692307692,3.68124118477,9.90126939351,2.97038081805,7.71791255289,0.710860366714,2.18335684062,1.49788434415,2.7418899859,0.406205923836,2.3610719323,2.76727785614,3.22425952045,0.660084626234,0.228490832158,1.87870239774,3.09732016925,9.57122708039,43.0837447431,0.276923076923,0.220512820513
Avery Bradley,20,BOS,NBA,2010-11,31,0,162,23,67,23,62,0,5,6,12,4,13,17,12,9,0,16,20,52,0.34328358209,0.370967741935,0.0,0.5,0.34328358209,5.11111111111,14.8888888889,5.11111111111,13.7777777778,0.0,1.11111111111,1.33333333333,2.66666666667,0.888888888889,2.88888888889,3.77777777778,2.66666666667,2.0,0.0,3.55555555556,4.44444444444,11.5555555556,35.9712230216,0.179104477612,0.0746268656716
Ben Bentil,21,DAL,NBA,2016-17,3,0,10,0,3,0,2,0,1,0,0,0,2,2,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,0.0,7.2,0.0,3.6,0.0,0.0,0.0,7.2,7.2,0.0,0.0,0.0,3.6,3.6,0.0,0.0,0.0,0.333333333333
Ben Hansbrough,25,IND,NBA,2012-13,28,0,200,15,45,9,22,6,23,21,27,2,16,18,21,7,2,18,23,57,0.333333333333,0.409090909091,0.260869565217,0.777777777778,0.4,2.7,8.1,1.62,3.96,1.08,4.14,3.78,4.86,0.36,2.88,3.24,3.78,1.26,0.36,3.24,4.14,10.26,50.1054852321,0.6,0.511111111111
Ben McLemore,20,SAC,NBA,2013-14,82,55,2187,255,679,160,382,95,297,115,143,53,182,235,82,45,18,96,201,720,0.375552282769,0.418848167539,0.319865319865,0.804195804196,0.445508100147,4.1975308642,11.1769547325,2.63374485597,6.28806584362,1.56378600823,4.88888888889,1.89300411523,2.35390946502,0.872427983539,2.99588477366,3.8683127572,1.34979423868,0.740740740741,0.296296296296,1.58024691358,3.30864197531,11.8518518519,48.5227517792,0.210603829161,0.437407952872
Ben Uzoh,22,NJN,NBA,2010-11,42,0,438,61,144,58,136,3,8,33,56,30,31,61,69,13,8,25,29,158,0.423611111111,0.426470588235,0.375,0.589285714286,0.434027777778,5.01369863014,11.8356164384,4.76712328767,11.1780821918,0.246575342466,0.657534246575,2.71232876712,4.60273972603,2.46575342466,2.54794520548,5.01369863014,5.67123287671,1.06849315068,0.657534246575,2.05479452055,2.38356164384,12.9863013699,46.8453510436,0.388888888889,0.0555555555556
Bernard James,27,DAL,NBA,2012-13,46,11,457,53,103,53,101,0,2,25,41,52,79,131,6,12,38,18,64,131,0.514563106796,0.524752475248,0.0,0.609756097561,0.514563106796,4.1750547046,8.11378555799,4.1750547046,7.95623632385,0.0,0.157549234136,1.9693654267,3.22975929978,4.09628008753,6.22319474836,10.3194748359,0.472647702407,0.945295404814,2.99343544858,1.41794310722,5.04157549234,10.3194748359,54.1143423662,0.398058252427,0.0194174757282
