Player,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PProd,OWS,DWS,WS,PER,ORB_PCT,DRB_PCT,TRB_PCT,AST_PCT,STL_PCT,BLK_PCT,TOV_PCT,USG_PCT,OBPM,DBPM,BPM,FG_PER_40,FGA_PER_40,2P_PER_40,2PA_PER_40,3P_PER_40,3PA_PER_40,FT_PER_40,FTA_PER_40,ORB_PER_40,DRB_PER_40,TRB_PER_40,AST_PER_40,STL_PER_40,BLK_PER_40,TOV_PER_40,PF_PER_40,PTS_PER_40,FG_PCT,2P_PCT,3P_PCT,FT_PCT,eFG_PCT,TS_PCT,3PAr,FTr
Thomas Gardner,89,2441,364,920,185,388,179,532,160,206,0,0,235,135,63,3,0,0,1067,0.0,3.5,1.6,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.964768537,15.07578861,3.031544449,6.35804998,2.933224088,8.717738632,2.62187628,3.375665711,0.0,0.0,3.850880787,2.212208111,1.032363785,0.04916018,0.0,0.0,17.48463744,0.395652173913,0.476804123711,0.336466165414,0.776699029126,0.492934782609,52.788332146,0.578260869565,0.223913043478
Thomas Robinson,105,1960,395,753,388,739,7,14,229,378,221,542,763,101,63,74,173,217,1026,995.0,5.2,5.4,10.7,24.6577551,13.53877551,30.23928571,22.10602041,10.91204082,1.890102041,4.296632653,16.60336735,27.93193878,2.250204082,3.532142857,5.770306122,8.06122449,15.36734694,7.918367347,15.08163265,0.142857143,0.285714286,4.673469388,7.714285714,4.510204082,11.06122449,15.57142857,2.06122449,1.285714286,1.510204082,3.530612245,4.428571429,20.93877551,0.524568393094,0.525033829499,0.5,0.60582010582,0.529216467463,55.8021146064,0.0185922974768,0.501992031873
Tierre Brown,84,2408,478,1120,395,861,83,259,307,412,0,0,367,285,134,11,0,0,1346,0.0,3.7,2.7,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.940199336,18.60465116,6.561461794,14.30232558,1.378737542,4.302325581,5.099667774,6.843853821,0.0,0.0,6.096345515,4.734219269,2.225913621,0.182724252,0.0,0.0,22.35880399,0.426785714286,0.458768873403,0.320463320463,0.745145631068,0.463839285714,51.7183081274,0.23125,0.367857142857
Tim Frazier,135,4132,508,1214,434,975,74,239,453,585,115,407,522,641,196,20,355,342,1543,1726.0,7.8,4.5,12.3,20.38915779,4.400919652,11.92468538,8.044191675,33.13083253,3.195546951,0.722120039,20.20546951,24.37182962,4.337802517,1.841335915,6.179138432,4.917715392,11.75217812,4.201355276,9.438528558,0.716360116,2.313649564,4.385285576,5.663117135,1.113262343,3.939980639,5.053242982,6.205227493,1.897386254,0.193610842,3.436592449,3.310745402,14.93707648,0.418451400329,0.445128205128,0.309623430962,0.774358974359,0.448929159802,52.4330569526,0.19686985173,0.481878088962
Tim Hardaway,107,3560,527,1239,325,650,202,589,276,381,62,378,440,225,76,33,182,212,1532,1416.0,8.0,4.3,12.2,18.29842697,2.312078652,13.47792135,7.823932584,13.17477528,1.329775281,1.047078652,11.39247191,25.35876404,4.05252809,1.179719101,5.232247191,5.921348315,13.92134831,3.651685393,7.303370787,2.269662921,6.617977528,3.101123596,4.280898876,0.696629213,4.247191011,4.943820225,2.528089888,0.853932584,0.370786517,2.04494382,2.382022472,17.21348315,0.425343018563,0.5,0.342954159593,0.724409448819,0.506860371267,54.4560086447,0.475383373688,0.307506053269
Tim Quarterman,99,2461,271,683,173,367,98,316,190,288,120,267,387,302,103,40,168,214,830,913.0,3.4,3.6,7.0,15.50690776,5.40511987,11.36095083,8.466802113,21.83697684,2.332060138,1.571881349,17.10642015,19.39455506,2.926005689,1.92633076,4.852336449,4.404713531,11.10117838,2.811865095,5.965054856,1.592848436,5.136123527,3.088175538,4.681023974,1.950426656,4.339699309,6.290125965,4.908573751,1.674116213,0.650142219,2.730597318,3.47826087,13.49045104,0.396778916545,0.471389645777,0.310126582278,0.659722222222,0.468521229868,51.2522847404,0.462664714495,0.421669106881
Tito Maddox,25,807,110,281,90,211,20,70,97,138,0,0,144,200,41,5,130,67,337,0.0,0.5,1.7,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.3,0.0,0.0,0.0,0.0,5.452292441,13.92812887,4.460966543,10.45848823,0.991325898,3.469640644,4.807930607,6.840148699,0.0,0.0,7.137546468,9.913258984,2.032218092,0.247831475,6.44361834,3.32094176,16.70384139,0.391459074733,0.42654028436,0.285714285714,0.702898550725,0.427046263345,49.3093760974,0.249110320285,0.491103202847
Tobias Harris,34,993,185,402,162,326,23,76,128,170,67,180,247,44,24,29,62,70,521,476.0,2.9,1.5,4.4,23.8,7.5,20.6,14.0,10.4,1.4,3.4,11.4,27.2,3.3,2.3,5.5,7.452165156,16.19335347,6.525679758,13.13192346,0.926485398,3.06143001,5.156092649,6.847935549,2.698892246,7.250755287,9.949647533,1.772406848,0.966767372,1.168177241,2.497482377,2.819738167,20.98690836,0.460199004975,0.496932515337,0.302631578947,0.752941176471,0.488805970149,54.6350671141,0.189054726368,0.422885572139
Tony Allen,67,2105,367,770,315,620,52,150,236,346,0,0,366,196,134,54,0,0,1022,0.0,4.6,6.2,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.973871734,14.63182898,5.985748219,11.78147268,0.988123515,2.850356295,4.48456057,6.574821853,0.0,0.0,6.954869359,3.724465558,2.54631829,1.026128266,0.0,0.0,19.42042755,0.476623376623,0.508064516129,0.346666666667,0.682080924855,0.51038961039,55.4085704372,0.194805194805,0.449350649351
Tony Bobbitt,59,1085,219,518,92,179,127,339,78,93,0,0,156,78,66,4,0,0,643,0.0,3.5,2.7,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.073732719,19.09677419,3.391705069,6.599078341,4.68202765,12.49769585,2.875576037,3.428571429,0.0,0.0,5.751152074,2.875576037,2.433179724,0.147465438,0.0,0.0,23.70506912,0.42277992278,0.513966480447,0.374631268437,0.838709677419,0.545366795367,57.5216488943,0.65444015444,0.179536679537
Tony Mitchell,89,2549,458,929,389,700,69,229,143,227,201,392,593,106,121,93,125,207,1128,1046.0,6.6,6.0,12.6,26.65142962,10.19454244,20.31785135,15.388008,11.47317866,3.147712906,4.762582788,12.16938692,26.98441411,3.242563055,3.883378782,7.080159178,7.187132209,14.57826599,6.104354649,10.98469988,1.08277756,3.593566104,2.244017262,3.562181248,3.154178109,6.151431934,9.305610043,1.663397411,1.898783837,1.459395842,1.96155355,3.248332679,17.70105924,0.493003229279,0.555714285714,0.301310043668,0.629955947137,0.530139935414,54.8168882669,0.246501614639,0.24434876211
Tony Mitchell Jr.,55,1713,258,526,210,385,48,141,191,272,136,375,511,62,51,157,143,163,755,713.0,3.7,3.8,7.4,20.72454686,7.713909442,22.63718192,14.88151607,6.681840892,1.555183139,8.157812537,15.47104447,20.25913721,0.760961557,3.535488706,4.269066976,6.024518389,12.28254524,4.903677758,8.99007589,1.12084063,3.292469352,4.460011675,6.351430239,3.17571512,8.756567426,11.93228255,1.447752481,1.19089317,3.666082896,3.339171045,3.806187974,17.62988908,0.490494296578,0.545454545455,0.340425531915,0.702205882353,0.536121673004,58.465493743,0.268060836502,0.51711026616
Tony Snell,104,2583,311,738,146,304,165,434,165,201,41,210,251,213,53,36,154,122,952,882.0,5.0,3.8,8.9,14.73581107,2.14672861,10.03883082,6.158226868,16.32988773,1.084243128,1.5728223,15.76957027,19.03945025,3.302748742,1.3728223,4.717886179,4.816105304,11.42857143,2.260936895,4.70770422,2.555168409,6.720867209,2.555168409,3.112659698,0.634920635,3.25203252,3.886953155,3.298490128,0.820751065,0.557491289,2.384823848,1.889276036,14.74254743,0.421409214092,0.480263157895,0.380184331797,0.820895522388,0.533197831978,57.5964377329,0.588075880759,0.272357723577
Tony Wroten,35,1062,198,447,189,391,9,56,154,264,80,96,176,130,66,13,132,93,559,579.0,1.6,1.6,3.2,20.4,8.0,10.7,9.3,24.5,3.5,1.2,18.7,31.2,2.4,2.8,5.2,7.457627119,16.83615819,7.118644068,14.72693032,0.338983051,2.109227872,5.800376648,9.943502825,3.013182674,3.615819209,6.629001883,4.896421846,2.485875706,0.489642185,4.971751412,3.502824859,21.05461394,0.442953020134,0.483375959079,0.160714285714,0.583333333333,0.453020134228,49.6306555863,0.125279642058,0.590604026846
Torraye Braggs,29,896,148,265,148,264,0,1,107,148,0,0,214,74,44,10,95,96,403,0.0,2.5,1.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.1,0.0,0.0,0.0,0.0,6.607142857,11.83035714,6.607142857,11.78571429,0.0,0.044642857,4.776785714,6.607142857,0.0,0.0,9.553571429,3.303571429,1.964285714,0.446428571,4.241071429,4.285714286,17.99107143,0.558490566038,0.560606060606,0.0,0.722972972973,0.558490566038,61.0384102751,0.00377358490566,0.558490566038
Toure' Murry,105,3039,391,935,307,660,84,275,299,391,125,373,498,344,136,28,246,171,1165,1236.0,5.9,6.0,11.9,18.60026324,5.246462652,14.84448832,10.1183613,22.47841395,2.740934518,1.036393551,18.36127015,23.59664363,1.533267522,2.256663376,3.821783481,5.146429747,12.30667983,4.040802896,8.687068115,1.105626851,3.619611714,3.9355051,5.146429747,1.645278052,4.909509707,6.554787759,4.527805199,1.790062521,0.368542284,3.237907206,2.250740375,15.33399144,0.418181818182,0.465151515152,0.305454545455,0.764705882353,0.463101604278,52.6177915884,0.294117647059,0.418181818182
Travis Diener,120,3770,511,1228,227,541,284,687,385,460,0,0,373,617,158,8,0,0,1691,0.0,10.5,5.4,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421750663,13.02917772,2.408488064,5.74005305,3.013262599,7.289124668,4.084880637,4.880636605,0.0,0.0,3.957559682,6.546419098,1.676392573,0.084880637,0.0,0.0,17.94164456,0.416123778502,0.419593345656,0.413391557496,0.836956521739,0.531758957655,59.1093400447,0.559446254072,0.374592833876
Travis Hansen,86,2356,366,843,290,637,76,206,329,425,0,0,412,150,63,37,169,243,1137,0.0,4.9,3.7,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,0.0,0.0,0.0,0.0,6.213921902,14.31239389,4.923599321,10.81494058,1.290322581,3.497453311,5.58573854,7.215619694,0.0,0.0,6.994906621,2.546689304,1.069609508,0.628183362,2.869269949,4.125636672,19.30390492,0.434163701068,0.455259026688,0.368932038835,0.774117647059,0.479240806643,55.1941747573,0.244365361803,0.504151838671
Travis Leslie,64,1974,346,707,327,653,19,54,223,291,202,247,449,175,80,50,153,128,934,948.0,6.0,2.8,8.9,25.11519757,12.63039514,14.13799392,13.38419453,20.38480243,2.461398176,2.753191489,15.37598784,26.39057751,2.86443769,1.524620061,4.342857143,7.011144883,14.32624113,6.626139818,13.23201621,0.385005066,1.094224924,4.518743668,5.896656535,4.093211753,5.005065856,9.098277609,3.546099291,1.621073962,1.013171226,3.100303951,2.593718338,18.9260385,0.489391796322,0.500765696784,0.351851851852,0.766323024055,0.502828854314,55.9254646484,0.0763790664781,0.411598302687
Travis Wear,128,2845,425,843,405,793,20,50,182,228,206,316,522,85,77,94,115,297,1052,986.0,6.0,3.8,9.7,38.22340341,20.76334788,26.71491471,23.77794526,9.42082507,3.146449822,7.59813566,21.47608092,39.80531535,4.846767156,3.299563665,8.146330821,5.975395431,11.85237258,5.694200351,11.14938489,0.281195079,0.702987698,2.55887522,3.205623902,2.896309315,4.44288225,7.339191564,1.195079086,1.082601054,1.321616872,1.616871705,4.175746924,14.79086116,0.504151838671,0.510718789407,0.4,0.798245614035,0.516014234875,55.7605054488,0.0593119810202,0.270462633452
Tremaine Fowlkes,40,1050,174,398,145,302,29,96,141,215,0,0,260,34,28,21,87,80,518,0.0,1.9,2.8,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,0.0,0.0,0.0,0.0,6.628571429,15.16190476,5.523809524,11.5047619,1.104761905,3.657142857,5.371428571,8.19047619,0.0,0.0,9.904761905,1.295238095,1.066666667,0.8,3.314285714,3.047619048,19.73333333,0.437185929648,0.480132450331,0.302083333333,0.655813953488,0.473618090452,52.5781567194,0.241206030151,0.540201005025
Trenton Hassell,84,3044,579,1228,457,874,122,354,346,444,0,0,685,375,90,55,283,154,1626,0.0,8.2,2.6,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4,0.0,0.0,0.0,0.0,7.608409987,16.13666229,6.005256242,11.4848883,1.603153745,4.651773982,4.546649146,5.834428384,0.0,0.0,9.00131406,4.927726675,1.182654402,0.722733246,3.718791064,2.023653088,21.36662286,0.471498371336,0.522883295195,0.344632768362,0.779279279279,0.521172638436,57.1183678058,0.288273615635,0.361563517915
Treveon Graham,140,3558,618,1431,418,866,200,565,446,645,293,512,805,199,111,29,191,299,1882,1786.0,11.3,6.5,18.0,22.57017988,8.60519955,18.06826869,12.94421023,11.61011804,1.90188308,1.07386172,10.08757729,26.46984261,4.814783586,0.815092749,5.657841484,6.94772344,16.08768971,4.699269252,9.735806633,2.248454188,6.35188308,5.014052839,7.251264755,3.293985385,5.756042721,9.050028106,2.237211917,1.247892074,0.326025857,2.147273749,3.361439011,21.15795391,0.431865828092,0.482678983834,0.353982300885,0.691472868217,0.501747030049,54.8752041054,0.394828791055,0.450733752621
Trevor Ariza,25,789,107,251,89,175,18,76,57,113,0,0,162,52,42,11,0,0,289,0.0,0.2,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.424588086,12.72496831,4.512040558,8.871989861,0.912547529,3.852978454,2.88973384,5.728770596,0.0,0.0,8.212927757,2.636248416,2.129277567,0.557667934,0.0,0.0,14.65145754,0.426294820717,0.508571428571,0.236842105263,0.504424778761,0.462151394422,48.0513434424,0.302788844622,0.450199203187
Trevor Booker,32,984,188,361,179,327,9,34,101,171,89,179,268,81,43,45,62,63,486,482.0,3.0,2.5,5.5,26.4,10.1,20.4,15.2,17.4,2.5,4.6,12.3,24.6,0.0,0.0,0.0,7.642276423,14.67479675,7.276422764,13.29268293,0.365853659,1.382113821,4.105691057,6.951219512,3.617886179,7.276422764,10.89430894,3.292682927,1.74796748,1.829268293,2.520325203,2.56097561,19.75609756,0.520775623269,0.547400611621,0.264705882353,0.590643274854,0.53324099723,55.7032825967,0.0941828254848,0.473684210526
