Player,Age,Tm,Lg,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,eFG%,FG/36,FGA/36,2P/36,2PA/36,3P/36,3PA/36,FT/36,FTA/36,ORB/36,DRB/36,TRB/36,AST/36,STL/36,BLK/36,TOV/36,PF/36,PTS/36
Alex Scales,27,SAS,NBA,2005-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.46830801467,15.0675746464,4.50707176532,8.99528548979,1.96123624935,6.07228915663,2.96071241488,3.90361445783,0.0,0.0,5.97799895233,3.3190151912,1.32006286014,0.678889470927,0.0,0.0,17.8585646936
Alex Stepheson,28,TOT,NBA,2015-16,8,0,73,9,27,9,27,0,0,4,12,19,9,28,2,1,5,0,12,22,0.333333333,0.333333333,0.0,0.333333333,0.333333333,4.55621944595,8.79956545356,4.55621944595,8.79956545356,0.0,0.0,2.01412275937,3.98913633895,3.98913633895,6.06192286801,10.051059207,0.273764258555,0.332428028246,1.62303096143,1.97501357958,2.79630635524,11.1265616513
Alexander Johnson,23,MEM,NBA,2006-07,59,19,753,91,169,91,169,0,0,78,118,50,131,181,17,25,35,47,137,260,0.538461538,0.538461538,0.0,0.661016949,0.538461538,5.69302325581,10.9581395349,5.46976744186,10.2325581395,0.223255813953,0.725581395349,5.13488372093,7.7023255814,0.0,0.0,8.96744186047,1.19069767442,1.50697674419,1.22790697674,0.0,0.0,16.7441860465
Allan Ray,22,BOS,NBA,2006-07,47,5,710,100,259,52,143,48,116,42,55,18,51,69,43,20,3,42,85,290,0.386100386,0.363636364,0.413793103,0.763636364,0.478764479,5.89253731343,14.4895522388,3.09850746269,6.8776119403,2.79402985075,7.61194029851,3.5552238806,4.33432835821,0.0,0.0,3.75223880597,2.28358208955,1.23582089552,0.161194029851,0.0,0.0,18.1343283582
Allen Crabbe,21,POR,NBA,2013-14,15,0,100,12,33,6,19,6,14,3,4,1,8,9,6,2,1,3,10,33,0.363636364,0.315789474,0.428571429,0.75,0.454545455,5.64021164021,12.6455026455,3.42857142857,6.85714285714,2.21164021164,5.78835978836,2.77248677249,3.38624338624,0.899470899471,5.01587301587,5.91534391534,2.31746031746,0.888888888889,0.603174603175,1.92592592593,1.74603174603,16.2645502646
Alton Ford,20,PHO,NBA,2001-02,53,0,452,61,118,61,118,0,0,42,57,32,75,107,7,6,7,32,99,164,0.516949153,0.516949153,0.0,0.736842105,0.516949153,5.15837104072,11.9457013575,4.66968325792,10.0995475113,0.488687782805,1.84615384615,4.39819004525,7.22171945701,0.0,0.0,8.36199095023,0.923076923077,0.27149321267,1.03167420814,3.58371040724,5.26696832579,15.2036199095
Alvin Jones,23,PHI,NBA,2001-02,23,2,126,8,20,8,20,0,0,10,20,13,23,36,3,3,9,11,35,26,0.4,0.4,0.0,0.5,0.4,4.6394984326,9.52978056426,4.6394984326,9.4921630094,0.0,0.0376175548589,4.36363636364,7.56112852665,0.0,0.0,10.7210031348,1.78056426332,0.877742946708,3.56112852665,3.37304075235,3.42319749216,13.6426332288
Andre Barrett,22,TOT,NBA,2004-05,38,1,483,45,124,31,72,14,52,14,19,11,29,40,69,19,1,27,51,118,0.362903226,0.430555556,0.269230769,0.736842105,0.419354839,5.24581005587,12.6536312849,3.20111731844,6.82122905028,2.04469273743,5.83240223464,3.05865921788,3.95530726257,0.0,0.0,3.7374301676,5.54748603352,1.44972067039,0.0921787709497,0.0,0.0,15.594972067
Andre Brown,25,SEA,NBA,2006-07,38,0,271,42,74,42,73,0,1,9,15,26,48,74,2,6,4,29,26,93,0.567567568,0.575342466,0.0,0.6,0.567567568,5.20258064516,10.3703225806,5.20258064516,10.3470967742,0.0,0.0232258064516,2.90322580645,5.55096774194,0.0,0.0,9.92903225806,0.638709677419,0.894193548387,0.812903225806,0.0,0.0,13.3083870968
Andre Dawkins,23,MIA,NBA,2014-15,4,0,22,1,6,0,0,1,6,0,0,0,2,2,1,0,0,1,3,3,0.166666667,0.0,0.166666667,0.0,0.25,4.81361426256,11.1296596434,1.44408427877,2.84440842788,3.36952998379,8.28525121556,1.79416531605,2.33387358185,0.46677471637,2.82982171799,3.29659643436,0.962722852512,0.889789303079,0.189627228525,1.28363047002,2.91734197731,14.790923825
