Player,Age,Tm,Lg,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,eFG%,FG/36,FGA/36,2P/36,2PA/36,3P/36,3PA/36,FT/36,FTA/36,ORB/36,DRB/36,TRB/36,AST/36,STL/36,BLK/36,TOV/36,PF/36,PTS/36
Jason Collier,23,HOU,NBA,2000-01,23,0,222,27,71,27,70,0,1,17,24,12,25,37,6,2,3,11,27,71,0.38028169,0.385714286,0.0,0.708333333,0.38028169,6.12913143736,13.5726364335,5.17448116833,10.9853958493,0.954650269024,2.58724058417,4.06764027671,5.68639508071,0.0,0.0,8.93774019985,1.50807071483,0.747117601845,1.39738662567,3.54189085319,3.3620292083,17.2805534204
Jason Collins,23,NJN,NBA,2001-02,77,9,1407,117,278,116,276,1,2,115,164,132,169,301,81,29,47,72,173,350,0.420863309,0.420289855,0.5,0.701219512,0.422661871,5.90571967316,9.59396605908,5.63419233187,8.98302954117,0.271527341295,0.610936517913,5.52105593966,7.71590194846,0.0,0.0,10.8158390949,1.24450031427,0.769327467002,2.01382778127,2.44374607165,3.66561910748,17.6040226273
Jason Hart,22,MIL,NBA,2000-01,1,0,10,1,1,1,1,0,0,0,0,0,0,0,1,0,0,2,0,2,1.0,1.0,0.0,0.0,1.0,4.42757364106,11.0306711206,3.1812936532,7.42301852414,1.24627998785,3.60765259642,2.43789857273,3.36714242332,0.0,0.0,3.35621014273,5.84877011843,2.7330701488,0.120255086547,3.4218038263,2.87518979654,12.5393258427
Jason Kapono,22,CLE,NBA,2003-04,41,3,427,52,129,31,85,21,44,20,24,19,36,55,14,13,2,21,41,145,0.403100775,0.364705882,0.477272727,0.833333333,0.484496124,5.83445397635,12.4451657779,3.18849988407,6.51889635984,2.64595409228,5.92626941804,3.1718061674,3.82286111755,0.0,0.0,5.40041734292,2.21191745885,0.901460700209,0.0667748666821,2.38720148389,2.45397635057,17.4866682124
Jason Maxiell,22,DET,NBA,2005-06,26,0,159,23,54,23,54,0,0,14,42,12,16,28,3,4,5,11,14,60,0.425925926,0.425925926,0.0,0.333333333,0.425925926,5.6783609318,11.1950603424,5.65815324165,11.1243334269,0.0202076901488,0.0707269155206,4.44569183273,6.80999158013,0.0,0.0,9.17429132753,0.879034521471,0.919449901768,2.53606511367,0.0,0.0,15.8226213865
Jason Richardson,21,GSW,NBA,2001-02,80,75,2629,464,1090,382,844,82,246,141,210,124,216,340,236,106,31,160,195,1151,0.425688073,0.452606635,0.333333333,0.671428571,0.463302752,6.17345597898,12.2759526938,4.82522996058,8.75164257556,1.3482260184,3.52431011827,2.27069645204,3.50065703022,0.0,0.0,8.23127463863,2.27069645204,1.37187910644,0.80420499343,1.89224704336,3.07490144547,15.9658344284
Jason Smith,21,PHI,NBA,2007-08,76,1,1107,141,310,137,296,4,14,54,82,77,153,230,20,22,50,48,142,340,0.45483871,0.462837838,0.285714286,0.658536585,0.461290323,6.7583367641,12.3310004117,6.63976945245,11.9456566488,0.118567311651,0.385343762865,5.35034993825,7.12885961301,0.0,0.0,10.1226842322,2.56401811445,0.696582955949,2.2083161795,0.0,0.0,18.9855907781
Jason Thompson,22,SAC,NBA,2008-09,82,56,2303,356,717,356,709,0,8,198,286,234,372,606,93,46,59,146,314,910,0.49651325,0.502115656,0.0,0.692307692,0.49651325,6.9668536461,13.2452830189,6.69148393677,12.2998470168,0.275369709332,0.94543600204,4.51606323304,6.77409484957,0.0,0.0,10.7485976543,2.25803161652,0.954614992351,2.1570627231,0.0,0.0,18.7251402346
Javaris Crittenton,20,TOT,NBA,2007-08,50,0,679,98,233,88,196,10,37,72,104,27,83,110,51,19,2,55,47,278,0.420600858,0.448979592,0.27027027,0.692307692,0.442060086,5.67098703888,12.5982053838,4.37886340977,8.97308075773,1.29212362911,3.62512462612,3.87637088734,4.95314057827,0.0,0.0,4.27118644068,6.60418743769,2.33300099701,0.0717846460618,0.0,0.0,16.5104685942
Jawad Williams,25,CLE,NBA,2008-09,10,0,20,5,12,3,6,2,6,0,0,1,1,2,0,1,0,1,2,12,0.416666667,0.5,0.333333333,0.0,0.5,6.15803183792,12.6494934877,4.86599131693,8.9505065123,1.29204052098,3.6989869754,3.33429811867,4.60549927641,0.0,0.0,6.3976845152,2.0005788712,0.969030390738,0.896092619392,0.0,0.0,16.9424023155
Jay Williams,21,CHI,NBA,2002-03,75,54,1961,273,685,208,483,65,202,103,161,27,168,195,350,86,17,171,179,714,0.398540146,0.430641822,0.321782178,0.639751553,0.445985401,7.18589025756,15.8734602464,4.0313549832,7.84098544233,3.15453527436,8.03247480403,3.42665173572,5.10974244121,0.0,0.0,3.98096304591,6.49048152296,2.36842105263,0.141097424412,4.27323628219,2.54983202688,20.9529675252
Jaylen Brown,20,BOS,NBA,2016-17,78,20,1341,192,423,146,288,46,135,85,124,45,175,220,64,35,18,68,142,515,0.453900709,0.506944444,0.340740741,0.685483871,0.508274232,6.24920127796,14.4920127796,5.09904153355,10.5814696486,1.15015974441,3.91054313099,5.44408945687,8.31948881789,1.38019169329,5.59744408946,6.97763578275,2.60702875399,1.03514376997,0.843450479233,4.02555910543,4.14057507987,19.0926517572
Jeff Foote,24,NOH,NBA,2011-12,4,0,39,2,6,2,6,0,0,0,0,1,5,6,0,0,1,2,5,4,0.333333333,0.333333333,0.0,0.0,0.333333333,6.25922023182,10.0147523709,6.25922023182,10.0147523709,0.0,0.0,3.30031612223,5.57639620653,2.92096944152,7.47312961012,10.3940990516,2.99683877766,0.68282402529,2.38988408851,3.18651211802,3.0727081138,15.8187565859
Jeff Green,21,SEA,NBA,2007-08,80,52,2253,320,749,299,673,21,76,177,238,101,278,379,119,46,49,158,198,838,0.427236315,0.444279346,0.276315789,0.743697479,0.441255007,5.15348288076,10.5619834711,4.20779220779,7.92680047226,0.945690672963,2.63518299882,2.97520661157,4.25029515939,0.0,0.0,7.05548996458,3.37898465171,0.977567886659,1.34946871311,0.0,0.0,14.227863046
Jeff Trepagnier,22,CLE,NBA,2001-02,12,0,77,7,23,7,22,0,1,4,7,3,9,12,12,8,4,11,8,18,0.304347826,0.318181818,0.0,0.571428571,0.304347826,5.59409594096,11.6014760148,4.76752767528,8.94464944649,0.826568265683,2.65682656827,2.43542435424,3.66051660517,0.0,0.0,6.61254612546,1.78597785978,2.59778597786,1.34317343173,2.34686346863,3.24723247232,14.4501845018
Jeff Withey,23,NOP,NBA,2013-14,58,4,684,69,129,69,128,0,1,52,73,49,101,150,26,15,50,20,73,190,0.534883721,0.5390625,0.0,0.712328767,0.534883721,5.07632600259,8.94178525226,5.06080206986,8.92626131953,0.0155239327296,0.0155239327296,4.39327296248,6.05433376455,2.87192755498,6.87710219922,9.7490297542,1.07115135834,0.915912031048,4.82794307891,2.14230271669,3.22897800776,14.5614489004
Jeffery Taylor,23,CHA,NBA,2012-13,77,29,1507,172,399,119,245,53,154,75,103,51,99,150,63,47,15,48,136,472,0.431077694,0.485714286,0.344155844,0.72815534,0.497493734,6.1077613855,12.7812700449,4.88389993586,9.54842847979,1.22386144965,3.23284156511,4.11032713278,5.92302758178,2.28608082104,4.17960230917,6.46568313021,2.29762668377,1.3508659397,0.554201411161,2.77100705581,2.73636946761,17.5497113534
Jerami Grant,20,PHI,NBA,2014-15,65,11,1377,124,352,75,196,49,156,114,193,49,149,198,79,40,68,85,144,411,0.352272727,0.382653061,0.314102564,0.590673575,0.421875,4.26886493342,8.7888395688,4.13189600507,8.33227647432,0.136968928345,0.456563094483,3.67533291059,5.72986683576,2.8306911858,4.8167406468,7.64743183259,1.4153455929,0.981610653139,0.82181357007,1.43817374762,2.94483195942,12.3500317058
Jeremy Evans,23,UTA,NBA,2010-11,49,3,463,76,115,76,114,0,1,26,37,36,61,97,24,17,17,19,50,178,0.660869565,0.666666667,0.0,0.702702703,0.660869565,5.47391786903,8.43063263041,5.35405105438,7.95116537181,0.11986681465,0.479467258602,2.55715871254,3.71587125416,4.03551609323,5.35405105438,9.38956714761,0.998890122087,1.11875693674,2.43729189789,1.4384017758,3.91564927858,13.6248612653
Jeremy Lamb,20,OKC,NBA,2012-13,23,0,147,24,68,15,38,9,30,14,14,5,13,18,5,2,2,6,13,71,0.352941176,0.394736842,0.3,1.0,0.419117647,5.97007481297,12.3890274314,4.21945137157,7.36159600998,1.7506234414,5.02743142145,2.16957605985,2.69326683292,1.22693266833,3.99501246883,5.22194513716,1.85536159601,1.15211970075,0.688279301746,1.79551122195,1.81047381546,15.8603491272
Jeremy Lin,22,GSW,NBA,2010-11,29,0,285,28,72,27,67,1,5,19,25,12,22,34,42,33,9,18,31,76,0.388888889,0.402985075,0.2,0.76,0.395833333,5.74919614148,11.0739549839,4.59163987138,7.67845659164,1.1575562701,3.39549839228,5.71061093248,7.56270096463,0.926045016077,3.97427652733,4.90032154341,5.05466237942,2.73954983923,1.1961414791,3.47266881029,3.27974276527,18.3665594855
Jerian Grant,23,NYK,NBA,2015-16,76,6,1265,154,391,132,291,22,100,96,123,23,120,143,177,50,10,87,97,426,0.393861893,0.453608247,0.22,0.780487805,0.421994885,4.61517177773,10.5916532165,3.1293520867,6.28360617939,1.48581969103,4.30804703712,3.71869956191,4.70647913304,0.390131427254,2.45699792483,2.84712935209,5.72746137883,1.45261701637,0.307124740604,2.20797786488,1.81784643763,14.4348628084
Jermareo Davidson,23,CHA,NBA,2007-08,38,2,322,51,125,51,125,0,0,18,28,21,41,62,13,7,15,17,46,120,0.408,0.408,0.0,0.642857143,0.408,4.72556078649,10.1290501246,4.68568263639,9.93962891166,0.0398781500969,0.18942121296,3.15037385766,4.39656604819,0.0,0.0,9.15203544724,1.26613126558,0.677928551648,2.20326779286,0.0,0.0,12.6413735807
Jerome Dyson,24,NOH,NBA,2011-12,9,1,180,19,48,18,40,1,8,28,36,2,17,19,18,11,2,20,19,67,0.395833333,0.45,0.125,0.777777778,0.40625,6.14173228346,15.7165354331,4.88188976378,11.4015748031,1.25984251969,4.31496062992,4.91338582677,6.86614173228,1.03937007874,3.55905511811,4.59842519685,4.53543307087,1.38582677165,0.661417322835,4.15748031496,2.99212598425,18.4566929134
Jerome Jordan,25,NYK,NBA,2011-12,21,0,108,17,33,17,33,0,0,8,10,14,13,27,4,1,6,2,15,42,0.515151515,0.515151515,0.0,0.8,0.515151515,6.35091083413,11.5627996165,6.35091083413,11.5627996165,0.0,0.0,5.93672099712,8.62895493768,2.89932885906,8.04218600192,10.941514861,1.51869606903,0.552253116012,2.83029721956,2.72674976031,3.38255033557,18.6385426654
Jerome Moiso,22,BOS,NBA,2000-01,24,0,135,12,30,12,29,0,1,11,26,12,30,42,3,3,4,18,29,35,0.4,0.413793103,0.0,0.423076923,0.4,6.52378085491,13.1776038531,6.41541240217,12.700782661,0.108368452739,0.476821192053,2.92594822396,4.76821192053,0.0,0.0,9.12462372065,1.43046357616,1.32209512342,1.75556893438,3.05599036725,3.81456953642,16.0818783865
Jerrelle Benimon,23,UTA,NBA,2014-15,2,0,3,0,0,0,0,0,0,0,0,1,2,3,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,5.14285714286,9.84456626895,4.72492744276,8.56755885198,0.417929700097,1.27700741696,4.23734279265,6.17607223476,2.65849725895,7.38342470171,10.0419219607,2.70493389229,0.708158658497,1.49758142535,3.41309255079,3.38987423412,14.9409867785
Jerry Smith,24,NJN,NBA,2011-12,5,0,46,3,14,2,8,1,6,0,0,2,5,7,4,5,0,0,5,7,0.214285714,0.25,0.166666667,0.0,0.25,4.04278074866,10.2994652406,2.45454545455,4.66844919786,1.58823529412,5.63101604278,2.69518716578,3.80213903743,1.44385026738,3.32085561497,4.76470588235,2.79144385027,2.02139037433,0.433155080214,2.4064171123,2.69518716578,12.3689839572
Jerryd Bayless,20,POR,NBA,2008-09,53,0,655,69,189,62,162,7,27,83,103,8,49,57,78,16,2,56,81,228,0.365079365,0.382716049,0.259259259,0.805825243,0.383597884,5.80970149254,12.6940298507,3.82835820896,7.82462686567,1.98134328358,4.86940298507,6.27985074627,7.48880597015,0.0,0.0,2.75373134328,4.06343283582,0.973880597015,0.100746268657,2.98880597015,0.0,19.8805970149
Jeryl Sasser,22,ORL,NBA,2001-02,7,0,36,3,14,3,14,0,0,4,5,3,4,7,2,3,0,2,3,10,0.214285714,0.214285714,0.0,0.8,0.214285714,6.22521655438,15.7651588065,5.0125120308,11.5149181906,1.21270452358,4.25024061598,4.49278152069,6.35226179018,0.0,0.0,8.60442733397,3.06063522618,1.79018286814,0.600577478345,2.74879692012,2.15976900866,18.155919153
Jimmer Fredette,22,SAC,NBA,2011-12,61,7,1135,172,446,94,230,78,216,40,48,17,56,73,108,30,3,67,73,462,0.385650224,0.408695652,0.361111111,0.833333333,0.47309417,8.62972292191,18.9823677582,5.5919395466,11.6070528967,3.03778337531,7.37531486146,7.19395465995,8.05541561713,0.740554156171,2.76574307305,3.50629722922,4.82115869018,1.36020151134,0.0906801007557,3.38539042821,1.28463476071,27.4911838791
Jimmy Butler,22,CHI,NBA,2011-12,42,0,359,32,79,30,68,2,11,43,56,23,33,56,14,11,5,14,20,109,0.405063291,0.441176471,0.181818182,0.767857143,0.417721519,4.92848385779,9.72456068655,4.39885574172,8.4004903964,0.52962811606,1.32407029015,5.5169595423,7.12055578259,2.5304454434,3.95749897834,6.48794442174,2.26563138537,1.44176542705,0.500204331835,1.36820596649,1.7212913772,15.9035553739
Joakim Noah,22,CHI,NBA,2007-08,74,31,1534,177,367,177,366,0,1,134,194,174,242,416,84,68,64,89,173,488,0.482288828,0.483606557,0.0,0.690721649,0.482288828,6.49232119351,10.5362000878,6.47652479158,10.5046072839,0.0157964019307,0.0315928038613,4.89688459851,7.15577007459,0.0,0.0,10.8521281264,2.92233435717,1.50065818341,2.9381307591,0.0,0.0,17.8973233875
Joe Alexander,22,MIL,NBA,2008-09,59,0,716,102,245,86,199,16,46,58,83,44,71,115,42,15,29,52,107,278,0.416326531,0.432160804,0.347826087,0.698795181,0.448979592,6.37644787645,14.2644787645,5.49034749035,11.2586872587,0.8861003861,3.00579150579,3.56177606178,4.65637065637,0.0,0.0,6.82818532819,2.77992277992,0.851351351351,1.72007722008,0.0,0.0,17.2007722008
Joe Crawford,22,NYK,NBA,2008-09,2,0,23,3,10,2,6,1,4,2,2,1,3,4,1,1,0,0,2,9,0.3,0.333333333,0.25,1.0,0.35,5.73669467787,13.0980392157,3.65266106443,7.13725490196,2.08403361345,5.96078431373,2.55462184874,3.64145658263,0.0,0.0,4.7731092437,2.14005602241,0.683473389356,0.291316526611,0.0,0.0,16.1120448179
Joe Crispin,22,TOT,NBA,2001-02,21,0,156,26,68,11,29,15,39,12,13,2,9,11,26,5,0,10,10,79,0.382352941,0.379310345,0.384615385,0.923076923,0.492647059,5.88822229239,15.3912219766,2.93274392169,7.01357751816,2.9554783707,8.37764445848,4.34227976003,4.89927376066,0.0,0.0,3.51247237133,4.29681086201,1.18219134828,0.136406694032,0.0,0.0,19.0742027155
Joe Harris,23,CLE,NBA,2014-15,51,1,493,48,120,17,36,31,84,9,15,7,34,41,26,7,2,27,62,136,0.4,0.472222222,0.369047619,0.6,0.529166667,5.00685602351,11.2477962782,2.68854064643,5.55337904016,2.31831537708,5.694417238,2.63565132223,3.64936336925,1.02252693438,3.46425073457,4.48677766895,2.23898139079,1.02252693438,0.423114593536,1.87757100881,2.70617042116,14.9676787463
Joe Johnson,20,TOT,NBA,2001-02,77,60,1916,251,584,213,454,38,130,41,53,75,182,257,179,59,20,71,114,581,0.429794521,0.469162996,0.292307692,0.773584906,0.462328767,6.7738317757,14.5345794393,5.36074766355,11.0579439252,1.41308411215,3.47663551402,2.87102803738,3.81308411215,0.0,0.0,7.28971962617,2.84859813084,1.9738317757,0.538317757009,2.96074766355,2.01869158879,17.8317757009
Joel Anthony,25,MIA,NBA,2007-08,24,1,498,28,60,28,60,0,0,29,49,38,55,93,3,9,31,17,55,85,0.466666667,0.466666667,0.0,0.591836735,0.466666667,3.36263736264,5.86813186813,3.36263736264,5.86813186813,0.0,0.0,1.51648351648,2.7032967033,0.0,0.0,7.74725274725,0.725274725275,0.791208791209,5.17582417582,0.0,0.0,8.24175824176
Joel Bolomboy,23,UTA,NBA,2016-17,12,0,53,9,16,8,12,1,4,3,6,4,13,17,2,1,2,2,1,22,0.5625,0.666666667,0.25,0.5,0.59375,4.73203312851,8.95431472081,4.38578680203,8.02137323003,0.346246326476,0.932941490783,4.46273043014,6.26128773711,3.96259684745,8.6561581619,12.6187550094,0.89446967673,0.692492652952,1.71199572535,2.50066791344,2.92385786802,14.2730430136
Joel Embiid,22,PHI,NBA,2016-17,31,31,786,200,429,164,331,36,98,191,244,61,182,243,66,27,76,117,112,627,0.466200466,0.495468278,0.367346939,0.782786885,0.508158508,5.95363214838,9.51468315301,5.89799072643,9.23647604328,0.0556414219474,0.278207109737,5.45285935085,7.95672333849,3.61669242658,9.01391035549,12.6306027821,2.114374034,1.39103554869,4.00618238022,3.67233384853,5.23029366306,17.4157650696
Joel Przybilla,21,MIL,NBA,2000-01,33,13,270,12,35,12,35,0,0,3,11,29,42,71,2,3,30,13,56,27,0.342857143,0.342857143,0.0,0.272727273,0.342857143,5.35603256847,9.05995558845,5.35603256847,9.05995558845,0.0,0.0,2.26498889711,4.34344929682,0.0,0.0,9.03330866025,2.42487046632,0.452997779423,2.15840118431,3.75721687639,3.9970392302,12.977054034
Joey Dorsey,25,HOU,NBA,2008-09,3,0,6,1,2,1,2,0,0,0,0,0,1,1,1,0,0,0,0,2,0.5,0.5,0.0,0.0,0.5,4.45682451253,7.25348189415,4.45682451253,7.25348189415,0.0,0.0,2.19498607242,5.22562674095,0.0,0.0,13.4707520891,0.902506963788,1.78272980501,2.94150417827,0.0,0.0,11.1086350975
Joey Graham,23,TOR,NBA,2005-06,80,24,1581,198,414,169,327,29,87,108,133,57,187,244,60,37,13,92,228,533,0.47826087,0.516819572,0.333333333,0.812030075,0.513285024,6.44051543302,12.2121666167,5.67455798622,10.1839976026,0.765957446809,2.02816901408,4.33682948756,5.36170212766,0.0,0.0,7.19568474678,2.26550794126,1.07881330536,0.35600839077,0.0,0.0,17.9838178004
John Edwards,23,IND,NBA,2004-05,25,1,139,11,30,11,30,0,0,7,14,8,11,19,3,3,4,8,12,29,0.366666667,0.366666667,0.0,0.5,0.366666667,6.02479338843,10.8409090909,6.02479338843,10.8409090909,0.0,0.0,2.90082644628,4.44421487603,0.0,0.0,7.97727272727,0.502066115702,0.576446280992,3.32851239669,0.0,0.0,14.9504132231
John Henson,22,MIL,NBA,2012-13,63,9,827,162,336,162,333,0,3,56,105,116,181,297,31,19,42,47,83,380,0.482142857,0.486486486,0.0,0.533333333,0.482142857,6.59213569776,13.2536622976,6.52274479568,12.9205859676,0.0693909020817,0.333076329992,2.34541249036,4.8434849653,3.733230532,8.56283731689,12.2960678489,1.49884348497,0.957594448728,3.84425597533,2.30377794911,2.2066306862,15.599074788
John Jenkins,21,ATL,NBA,2012-13,61,2,902,131,294,78,156,53,138,59,70,17,77,94,56,12,10,40,37,374,0.445578231,0.5,0.384057971,0.842857143,0.535714286,6.19613075384,13.2328218813,2.52168112075,4.83922615077,3.67444963309,8.39359573049,3.84256170781,4.490993996,0.492328218813,2.68979319546,3.18212141428,1.33288859239,0.804536357572,0.324216144096,1.5610406938,1.4649766511,19.9092728486
John Lucas III,23,HOU,NBA,2005-06,13,0,107,14,36,12,27,2,9,0,0,2,3,5,12,5,0,7,6,30,0.388888889,0.444444444,0.222222222,0.0,0.416666667,5.46700159854,12.2822562229,3.15688513359,6.25622288194,2.31011646495,6.02603334095,2.18680063942,2.51564284083,0.0,0.0,2.63895866636,4.39826444394,1.26604247545,0.0082210550354,0.0,0.0,15.4309203014
John Salmons,23,PHI,NBA,2002-03,64,1,504,48,116,38,85,10,31,26,35,16,43,59,47,17,6,29,53,132,0.413793103,0.447058824,0.322580645,0.742857143,0.456896552,4.19087572103,8.99528054536,3.37912952281,6.46565285789,0.811746198217,2.52962768747,2.95437860514,3.67173571054,0.0,0.0,6.48453067646,4.08704771893,1.81227058207,0.764551651809,3.02988987939,2.98269533298,12.1478762454
John Wall,20,WAS,NBA,2010-11,69,64,2606,398,972,364,857,34,115,301,393,35,282,317,574,121,35,261,175,1131,0.409465021,0.424737456,0.295652174,0.765903308,0.426954733,5.64596273292,12.2422360248,4.61180124224,9.05590062112,1.03416149068,3.18633540373,4.89130434783,6.48447204969,0.83850931677,3.60559006211,4.44409937888,6.73602484472,1.84472049689,0.531055900621,4.16459627329,2.01242236025,17.2173913043
Johnny O'Bryant,21,MIL,NBA,2014-15,34,15,368,44,120,44,120,0,0,12,27,26,38,64,17,5,4,25,44,100,0.366666667,0.366666667,0.0,0.444444444,0.366666667,6.51359026369,13.9618661258,6.42596348884,13.5675456389,0.0876267748479,0.394320486815,3.75334685598,6.06085192698,4.04543610548,6.20689655172,10.2523326572,1.67951318458,0.686409736308,1.05152129817,3.89939148073,3.72413793103,16.8681541582
Jon Leuer,22,MIL,NBA,2011-12,46,12,555,97,191,94,182,3,9,21,28,45,75,120,25,14,17,18,67,218,0.507853403,0.516483516,0.333333333,0.75,0.515706806,7.25901639344,14.8524590164,5.84262295082,11.0754098361,1.41639344262,3.77704918033,3.54098360656,4.46557377049,1.80983606557,5.76393442623,7.5737704918,1.86885245902,0.590163934426,1.21967213115,1.53442622951,2.45901639344,19.4754098361
Jonathon Simmons,26,SAS,NBA,2015-16,55,2,813,122,242,104,195,18,47,69,92,16,80,96,58,24,5,53,103,331,0.504132231,0.533333333,0.382978723,0.75,0.541322314,6.14634146341,12.0133037694,4.86917960089,8.70066518847,1.27716186253,3.31263858093,4.0310421286,5.62749445676,1.67627494457,4.27050997783,5.94678492239,2.59423503326,0.838137472284,0.439024390244,3.9911308204,2.9933481153,17.600886918
Jordan Adams,20,MEM,NBA,2014-15,30,0,248,35,86,25,61,10,25,14,23,9,19,28,16,16,7,14,24,94,0.406976744,0.409836066,0.4,0.608695652,0.465116279,6.45266698703,13.8049014897,4.75732820759,8.68428640077,1.69533877943,5.1206150889,4.9649207112,5.91638635272,1.52234502643,3.99615569438,5.51850072081,2.45651129265,2.90629505046,0.294089380106,1.62614127823,2.54300816915,19.5655934647
Jordan Clarkson,22,LAL,NBA,2014-15,59,38,1476,267,596,229,475,38,121,131,158,56,135,191,206,51,12,96,109,703,0.447986577,0.482105263,0.314049587,0.829113924,0.479865772,5.76829268293,13.1097560976,4.60975609756,9.51219512195,1.15853658537,3.59756097561,4.78048780488,5.93902439024,0.90243902439,2.87804878049,3.78048780488,3.03658536585,1.06097560976,0.317073170732,3.09756097561,2.57317073171,17.4756097561
Jordan Crawford,22,TOT,NBA,2010-11,42,18,1027,192,500,159,372,33,128,73,84,31,74,105,117,39,3,83,63,490,0.384,0.427419355,0.2578125,0.869047619,0.417,8.160418483,17.6704446382,5.68090671316,11.3304272014,2.47951176983,6.34001743679,3.73496076722,4.83347863993,1.06713164778,4.14298169137,5.21011333915,3.1700087184,1.47515257193,0.219703574542,2.66782911944,1.78901482127,22.5353095031
Jordan Farmar,20,LAL,NBA,2006-07,72,2,1090,124,294,79,157,45,137,27,38,22,97,119,137,44,7,73,77,320,0.421768707,0.503184713,0.328467153,0.710526316,0.49829932,4.95381715363,12.0791705938,3.3081998115,7.14231856739,1.64561734213,4.93685202639,3.39302544769,4.46182846371,0.0,0.0,3.32516493874,5.80207351555,1.39114043355,0.203581526861,0.0,0.0,14.9462770971
Jordan Hamilton,21,DEN,NBA,2011-12,26,2,258,48,111,31,64,17,47,2,5,11,51,62,20,4,3,16,15,115,0.432432432,0.484375,0.361702128,0.4,0.509009009,7.18038147139,16.714986376,4.27683923706,9.00490463215,2.90354223433,7.71008174387,2.58964577657,3.64904632153,2.0795640327,5.80708446866,7.88664850136,2.4719346049,1.1378746594,0.686648501362,2.43269754768,2.09918256131,19.8539509537
Jordan McRae,24,TOT,NBA,2015-16,22,1,195,34,78,24,56,10,22,21,28,4,16,20,25,3,1,15,17,99,0.435897436,0.428571429,0.454545455,0.75,0.5,5.78238341969,13.8730569948,3.69559585492,7.78756476684,2.08678756477,6.08549222798,4.08031088083,5.30440414508,0.874352331606,3.45077720207,4.32512953368,2.43652849741,0.85103626943,1.13082901554,2.62305699482,2.5414507772,17.731865285
Jordan Mickey,21,BOS,NBA,2015-16,16,0,57,8,22,8,22,0,0,5,10,6,7,13,1,0,11,1,5,21,0.363636364,0.363636364,0.0,0.5,0.363636364,5.94811106054,11.486572599,5.93172507965,11.2571688666,0.016385980883,0.229403732362,3.04779244424,4.55530268548,2.88393263541,6.53800637233,9.42193900774,1.24533454711,0.819299044151,3.5721438325,2.93309057806,2.53982703687,14.9604005462
Jordan Williams,21,NJN,NBA,2011-12,43,5,635,77,152,77,152,0,0,43,66,66,90,156,11,21,15,23,61,197,0.506578947,0.506578947,0.0,0.651515152,0.506578947,6.45714285714,12.2285714286,6.45714285714,12.2285714286,0.0,0.0,3.71428571429,6.64761904762,4.09523809524,8.70476190476,12.8,0.533333333333,0.895238095238,1.46666666667,1.6,3.2380952381,16.6285714286
Jorge Gutierrez,25,BRK,NBA,2013-14,15,2,244,25,54,22,42,3,12,9,12,3,19,22,30,10,1,14,37,62,0.462962963,0.523809524,0.25,0.75,0.490740741,4.55290345565,10.6832917706,3.56537228358,7.81047381546,0.98753117207,2.87281795511,3.7064481653,4.93765586035,0.923405771286,4.03990024938,4.96330602066,4.68115425721,1.53900961881,0.179551122195,2.8471677948,3.07801923762,13.7997862487
Joseph Forte,20,BOS,NBA,2001-02,8,0,39,1,12,1,9,0,3,4,4,1,5,6,6,2,0,3,1,6,0.083333333,0.111111111,0.0,1.0,0.083333333,7.36923076923,16.2307692308,5.66153846154,11.5846153846,1.70769230769,4.64615384615,3.4,4.2,0.0,0.0,6.13846153846,3.23076923077,1.86153846154,0.415384615385,2.6,2.12307692308,19.8461538462
Josh Boone,22,NJN,NBA,2006-07,61,0,669,99,171,99,171,0,0,56,103,64,112,176,10,11,21,33,94,254,0.578947368,0.578947368,0.0,0.54368932,0.578947368,5.14670658683,8.90568862275,5.14670658683,8.90568862275,0.0,0.0,2.62724550898,4.70209580838,0.0,0.0,9.67365269461,1.13173652695,0.714071856287,2.99101796407,0.0,0.0,12.9206586826
Josh Childress,21,ATL,NBA,2004-05,80,44,2376,302,642,289,586,13,56,190,231,195,287,482,151,74,35,106,184,807,0.470404984,0.493174061,0.232142857,0.822510823,0.480529595,1.25956061839,12.9031733116,4.13018714402,8.36289666395,0.0585842148088,4.54027664768,2.70951993491,3.58828315704,0.0,0.0,8.53864930838,2.27013832384,1.12774613507,1.39137510171,0.0,0.0,15.539462978
Josh Davis,23,ATL,NBA,2003-04,4,1,23,2,5,2,3,0,2,1,1,1,4,5,0,0,0,2,3,5,0.4,0.666666667,0.0,1.0,0.4,6.43883743213,12.9466624082,5.70297029703,10.3021398914,0.735867135101,2.64452251677,2.93197061642,4.56467582242,0.0,0.0,10.9920153306,1.92015330565,1.60970935803,1.98914084957,0.0,0.0,16.5455126158
Josh Harrellson,22,NYK,NBA,2011-12,37,4,540,63,149,43,90,20,59,16,26,47,97,144,11,23,20,20,48,162,0.422818792,0.477777778,0.338983051,0.615384615,0.489932886,4.2732707088,7.19385140905,4.15029888984,6.7634500427,0.122971818958,0.430401366354,1.07600341588,1.78309137489,4.58070025619,6.36379163108,10.9444918873,0.922288642186,1.13748932536,1.96754910333,1.04526046114,3.04355251921,9.74551665243
