Player,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PProd,OWS,DWS,WS,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,FG/40,FGA/40,2P/40,2PA/40,3P/40,3PA/40,FT/40,FTA/40,ORB/40,DRB/40,TRB/40,AST/40,STL/40,BLK/40,TOV/40,PF/40,PTS/40,eFG%,TS%,3PAr,FTr
Ken Johnson,97,2752,337,609,337,609,0,0,178,281,0,0,612,42,28,386,147,271,852,0,4.8,12.5,17.3,0,0,0,0,0,0,0,16.5,0,0,0,0,4.898255814,8.851744186,4.898255814,8.851744186,0,0,2.587209302,4.084302326,0,0,8.895348837,0.610465116,0.406976744,5.610465116,2.136627907,3.938953488,12.38372093,0.553366174,58.14588338,0,0.461412151
Kendall Marshall,73,2101,181,406,133,275,48,131,113,163,12,159,171,581,83,9,193,106,523,732,3.7,3.3,7,15.78519753,0.613184198,7.786815802,4.256592099,42.60994764,2.226368396,0.386815802,28.70547358,14.97524988,2.724750119,1.079105188,3.803855307,3.445978106,7.729652546,2.532127558,5.235602094,0.913850547,2.494050452,2.151356497,3.10328415,0.228462637,3.027129938,3.255592575,11.06139933,1.580199905,0.171346978,3.674440743,2.018086625,9.957163256,0.504926108,54.73917776,0.322660099,0.401477833
Kenneth Faried,70,2276,457,771,456,767,1,4,280,478,348,616,964,56,123,149,176,223,1195,1125,8.2,6.8,15,33.31089631,17.96977153,34.28506151,25.81370826,5.743760984,3.29314587,8.426010545,14.94516696,26.36994728,1.862917399,2.747803163,4.610720562,8.031634446,13.55008787,8.014059754,13.4797891,0.017574692,0.07029877,4.920913884,8.400702988,6.11599297,10.82601054,16.94200351,0.984182777,2.16168717,2.618629174,3.09314587,3.919156415,21.00175747,0.593385214,60.88737619,0.005188067,0.61997406
Kenny Satterfield,68,2142,267,663,202,462,65,201,209,268,0,0,278,355,98,10,221,165,808,0,2.5,5.5,8,0,0,0,0,0,0,0,21.9,0,0,0,0,4.985994398,12.38095238,3.772175537,8.62745098,1.213818861,3.753501401,3.902894491,5.004668534,0,0,5.191409897,6.629318394,1.830065359,0.186741363,4.126984127,3.081232493,15.08870215,0.45173454,51.73385238,0.303167421,0.404223228
Kent Bazemore,105,3110,455,1014,364,749,91,265,257,426,158,377,535,326,217,59,268,253,1258,1240,5.6,7.5,13,21.20299035,5.633344051,14.77864952,9.98,23.07755627,4.428006431,2.286688103,18.23758842,24.41733119,2.615241158,2.701125402,5.314501608,5.852090032,13.04180064,4.681672026,9.633440514,1.170418006,3.408360129,3.305466238,5.479099678,2.032154341,4.848874598,6.881028939,4.192926045,2.790996785,0.758842444,3.446945338,3.254019293,16.18006431,0.493589744,52.35384206,0.261341223,0.420118343
Kentavious Caldwell-Pope,64,2114,338,814,189,375,149,439,188,250,82,310,392,96,123,28,100,139,1013,902,5.8,3.8,9.6,24.05288553,4.640397351,18.81996216,11.4897824,13.2987701,3.751371807,1.608230842,9.543897824,27.01173132,6.906244087,2.373320719,9.279564806,6.395458846,15.40208136,3.57615894,7.095553453,2.819299905,8.306527909,3.557237465,4.730368969,1.551561022,5.865657521,7.417218543,1.816461684,2.327341533,0.529801325,1.892147588,2.630085147,19.16745506,0.506756757,54.81601732,0.539312039,0.307125307
Kenyon Martin,86,2042,389,677,387,669,2,8,201,327,0,0,602,101,94,209,139,231,981,0,8.2,16.4,24.7,0,0,0,0,0,0,0,14.3,0,0,0,0,7.619980411,13.26150833,7.580803134,13.10479922,0.039177277,0.156709109,3.937316357,6.405484819,0,0,11.79236043,1.978452498,1.841332027,4.094025465,2.722820764,4.524975514,19.21645446,0.576070901,59.75294806,0.011816839,0.483013294
Kevin Burleson,123,3317,272,733,124,286,148,447,175,233,0,0,296,440,160,38,0,0,867,0,2.7,3.8,6.5,0,0,0,0,0,0,0,0,0,0,0,0,3.280072355,8.839312632,1.495327103,3.448899608,1.784745252,5.390413024,2.110340669,2.809767863,0,0,3.569490503,5.305999397,1.929454326,0.458245402,0,0,10.45523063,0.472032742,51.88385676,0.609822647,0.31787176
Kevin Durant,35,1255,306,647,224,444,82,203,209,256,0,0,390,46,66,67,0,0,903,0,4.7,4.1,8.8,0,0,0,0,0,0,0,0,0,0,0,0,9.752988048,20.62151394,7.139442231,14.15139442,2.613545817,6.470119522,6.661354582,8.15936255,0,0,12.43027888,1.466135458,2.103585657,2.135458167,0,0,28.78087649,0.536321484,59.43604865,0.313755796,0.395672334
Kevin Jones,104,3671,632,1281,525,946,107,335,230,332,384,494,878,119,63,86,118,176,1601,1465,12.5,4.9,17.4,23.3,11.7,17,14.1,7.5,1.1,2.6,7.6,21.5,5.6,1.8,7.3,6.886406974,13.95804958,5.720512122,10.30781803,1.165894852,3.650231545,2.50612912,3.617542904,4.184146009,5.382729502,9.566875511,1.296649414,0.686461455,0.937074367,1.285753201,1.917733588,17.44483792,0.535128806,56.09356168,0.261514442,0.259172521
Kevin Love,39,1156,227,406,198,324,29,82,198,258,0,0,415,75,27,56,78,0,681,0,5.6,5.7,11.3,0,0,0,0,0,0,0,12.9,0,0,0,0,7.85467128,14.04844291,6.851211073,11.21107266,1.003460208,2.837370242,6.851211073,8.92733564,0,0,14.35986159,2.595155709,0.934256055,1.937716263,2.698961938,0,23.56401384,0.594827586,65.54126886,0.201970443,0.63546798
Kevin Martin,79,2515,565,1224,391,721,174,503,534,635,0,0,354,133,134,30,0,0,1838,0,11.2,2.6,13.7,0,0,0,0,0,0,0,0,0,0,0,0,8.986083499,19.46719682,6.218687873,11.46719682,2.767395626,8,8.49304175,10.09940358,0,0,5.630218688,2.115308151,2.131212724,0.477137177,0,0,29.23260437,0.532679739,61.12810962,0.410947712,0.51879085
Kevin Murphy,98,3108,611,1346,458,924,153,422,357,485,85,361,446,200,85,17,305,218,1732,1565,6.5,2.5,9.1,19.06061776,3.284137709,14.16258044,8.732303732,14.35276705,1.587612613,0.603185328,16.3747426,29.91682754,0.246332046,-1.425546976,-1.179214929,7.863577864,17.32303732,5.894465894,11.89189189,1.969111969,5.431145431,4.594594595,6.241956242,1.093951094,4.646074646,5.74002574,2.574002574,1.093951094,0.218790219,3.925353925,2.805662806,22.29086229,0.51077266,55.53417981,0.313521545,0.360326895
