Player,Tm,Season,Class,Offensive Points Added,Defensive Points Saved,TPA
Gary Clark,Cincinnati,2017,JR,85.71,102.51,188.22
Malcolm Thomas,San Diego State,2011,SR,57.16,130.92,188.08
Tyler Zeller,North Carolina,2011,JR,108.58,79.5,188.08
Stanley Johnson,Arizona,2015,FR,88.46,99.52,187.98
Kevin Jones,West Virginia,2012,SR,155.3,32.36,187.66
Khem Birch,Nevada-Las Vegas,2014,JR,41.08,146.45,187.53
Bryce Cotton,Providence,2013,JR,197.57,-10.29,187.28
Michael Gbinije,Syracuse,2016,SR,141.52,45.12,186.64
Xavier Thames,San Diego State,2014,SR,145.91,40.63,186.54
Malcolm Hill,Illinois,2017,SR,124.31,62.15,186.46
Isaiah Miles,Saint Joseph's,2016,SR,147.73,38.54,186.27
Kay Felder,Oakland,2016,JR,199.63,-13.46,186.17
Alex Barlow,Butler,2015,SR,71.63,114.22,185.85
Nikola Vucevic,Southern California,2011,JR,99.76,86.06,185.82
Nate Wolters,South Dakota State,2013,SR,191.86,-6.19,185.67
Tyler Lydon,Syracuse,2017,SO,97.89,87.48,185.37
Ryan Spangler,Oklahoma,2015,JR,75.6,109.62,185.22
Trevor Releford,Alabama,2014,SR,157.96,26.93,184.89
James Southerland,Syracuse,2013,SR,118.65,66.11,184.76
Zeke Marshall,Akron,2013,SR,57.82,126.87,184.69
Quincy Acy,Baylor,2012,SR,81.65,103.03,184.68
Travis Releford,Kansas,2012,JR,107.85,76.74,184.59
Darius Miller,Kentucky,2011,JR,106.32,78.23,184.55
Kyle Kuric,Louisville,2012,SR,106.43,78.05,184.48
Aaron Craft,Ohio State,2014,SR,56.73,127.64,184.37
John Shurna,Northwestern,2012,SR,160.16,24.02,184.18
Bradley Beal,Florida,2012,FR,113.47,70.65,184.12
T.J. Warren,North Carolina State,2014,SO,173.64,10.46,184.1
Solomon Hill,Arizona,2013,SR,116.76,67.29,184.05
Daniel Ochefu,Villanova,2015,JR,62.69,121.01,183.7
Malcolm Brogdon,Virginia,2014,SO,92.67,90.85,183.52
Tim Frazier,Penn State,2012,JR,133.24,50.21,183.45
Amile Jefferson,Duke,2017,SR,72.63,110.75,183.38
Matt Stainbrook,Xavier,2015,SR,107.52,75.6,183.12
Pat Connaughton,Notre Dame,2015,SR,136.21,46.89,183.1
Charles Jenkins,Hofstra,2011,SR,205.7,-22.63,183.07
J.J. Frazier,Georgia,2017,SR,133.42,49.26,182.68
Justin Edwards,Kansas State,2016,SR,93.13,89.47,182.6
Montrezl Harrell,Louisville,2014,SO,76.04,106.46,182.5
Jeff Brooks,Penn State,2011,SR,101.08,81.19,182.27
John Henson,North Carolina,2012,JR,30.37,151.84,182.21
Jameel Warney,Stony Brook,2015,JR,73.94,108.07,182.01
Rodney Williams,Minnesota,2012,JR,90.9,90.9,181.8
Jeremy Morgan,Northern Iowa,2016,JR,83.86,97.83,181.69
Dedric Lawson,Memphis,2017,SO,86.94,94.67,181.61
Jordan Taylor,Wisconsin,2012,SR,132.74,48.8,181.54
Marcus Denmon,Missouri,2011,JR,169.84,11.58,181.42
Malik Monk,Kentucky,2017,FR,151.79,29.45,181.24
Gary Harris,Michigan State,2014,SO,133.03,48.2,181.23
Mason Plumlee,Duke,2011,SO,34.52,146.71,181.23
Kyle Collinsworth,Brigham Young,2015,JR,95.22,85.88,181.1
Deshaun Thomas,Ohio State,2012,SO,153.85,27.03,180.88
Patrick McCaw,Nevada-Las Vegas,2016,SO,109.55,70.88,180.43
Justin Holiday,Washington,2011,SR,99.09,80.74,179.83
D'Vauntes Smith-Rivera,Georgetown,2015,JR,149.93,29.62,179.55
Josh Scott,Colorado,2016,SR,88.03,91.48,179.51
Josh Hart,Villanova,2015,SO,116.03,63.43,179.46
Buddy Hield,Oklahoma,2015,JR,136.07,43.38,179.45
Chinanu Onuaku,Louisville,2016,SO,46.44,132.87,179.31
Tony Mitchell,Alabama,2011,SO,100.42,78.76,179.18
Joel Berry,North Carolina,2016,SO,113.7,65.24,178.94
Malcolm Delaney,Virginia Tech,2011,SR,147.87,30.9,178.77
Sean Kilpatrick,Cincinnati,2014,SR,169.11,9.4,178.51
Lauri Markkanen,Arizona,2017,FR,149.61,28.77,178.38
Terry Rozier,Louisville,2015,SO,99.5,78.33,177.83
Jarrod Uthoff,Iowa,2016,SR,87.2,90.56,177.76
Shabazz Napier,Connecticut,2013,JR,147.11,30.5,177.61
Frank Mason,Kansas,2015,SO,117.65,59.86,177.51
Monte Morris,Iowa State,2016,JR,134.82,42.69,177.51
Ben Brust,Wisconsin,2013,JR,103.03,74.41,177.44
Alex Caruso,Texas A&M,2016,SR,76.68,100.54,177.22
Kyle Collinsworth,Brigham Young,2016,SR,66.03,110.76,176.79
Sterling Brown,Southern Methodist,2017,SR,98.29,78.27,176.56
Brady Morningstar,Kansas,2011,SR,104.05,72.46,176.51
Jordan Adams,UCLA,2013,FR,129.67,46.83,176.5
Ishmail Wainright,Baylor,2017,SR,67.23,109.25,176.48
