Player,Tm,Season,Class,Offensive Points Added,Defensive Points Saved,TPA
Taylor Sutlive,Cal Poly,2017,JR,-7.22,-3.15,-10.37
Gentry Hunt,Chicago State,2017,JR,-4.3,-6.07,-10.37
Joshua Mullins,North Carolina A&T,2017,FR,-4.87,-5.51,-10.38
Gabe Snider,Illinois-Chicago,2015,JR,5.57,-15.95,-10.38
Garrick Sherman,Notre Dame,2014,SR,-16.31,5.93,-10.38
Joe Aase,Davidson,2014,FR,-10.91,0.53,-10.38
Reginald Martin,Alabama A&M,2011,FR,-7.83,-2.55,-10.38
Tom Rivard,James Madison,2014,FR,-11.76,1.38,-10.38
Dorrian Williams,Missouri State,2014,SO,-5.94,-4.45,-10.39
Malcoln Kirkland,Arkansas State,2011,JR,-27.97,17.58,-10.39
Payne Andrus,Navy,2014,FR,-8.38,-2.01,-10.39
Adrian Forbes,Auburn,2012,SR,-24.26,13.86,-10.4
Kevin Olekaibe,Fresno State,2011,FR,22.08,-32.48,-10.4
Mike Shaw,Illinois,2012,FR,-15.02,4.62,-10.4
Nick Niernczyk,Southeast Missouri State,2012,JR,23.12,-33.52,-10.4
Stacey Poole,Georgia Tech,2013,SO,-13.6,3.2,-10.4
Stevie Rogers,Texas State,2011,FR,-8.14,-2.26,-10.4
Torin Walker,Middle Tennessee,2013,JR,-7.15,-3.25,-10.4
Zach Gordon,Cal Poly,2013,FR,-10.4,0,-10.4
Xzavier Barmore,Liberty,2017,FR,-8.18,-2.22,-10.4
Darrell Williams,New Orleans,2013,SR,-5.89,-4.52,-10.41
Gregoryshon Magee,South Alabama,2013,JR,-7.98,-2.43,-10.41
Travis Nichols,St. Francis (NY),2013,SR,31.21,-41.62,-10.41
DeAndre Dishman,Eastern Kentucky,2017,FR,-19.09,8.68,-10.41
Brian Ishola,North Dakota State,2015,FR,-6.64,-3.78,-10.42
Eric Truog,Marist,2015,JR,-31.27,20.85,-10.42
James Vincent,Georgia State,2011,SO,-38.55,28.13,-10.42
Malcolm Miller,Holy Cross,2013,SO,-39.37,28.95,-10.42
Mar'Qywell Jackson,Duquesne,2016,FR,-0.87,-9.55,-10.42
Nicholas West,Alabama A&M,2016,SR,-1.49,-8.93,-10.42
Rantavious Gilbert,Appalachian State,2014,SO,-12.82,2.4,-10.42
Alex Prahl,Milwaukee,2015,FR,-6.95,-3.48,-10.43
JaQuail Townser,Jacksonville State,2016,SR,0,-10.43,-10.43
Tyrone Marshall,Wyoming,2012,FR,-9.64,-0.79,-10.43
Wes Cole,Hartford,2014,JR,35.18,-45.61,-10.43
Aaron O'Neill,Furman,2013,FR,-6.05,-4.39,-10.44
C.J. Blackwell,Loyola Marymount,2012,FR,-0.87,-9.57,-10.44
Jonathan Moore,Gardner-Webb,2011,SR,20.9,-31.34,-10.44
Keron DeShields,Montana,2014,JR,19.4,-29.84,-10.44
Kurt Hall,Toledo,2015,FR,4.32,-14.76,-10.44
Matthew Friday,Samford,2011,JR,-10.09,-0.35,-10.44
Nick DeSchepper,IUPUI,2011,SR,-9.26,-1.18,-10.44
Nigel Carter,University of California,2011,JR,-9.74,-0.7,-10.44
Anthony Johnson,Purdue,2013,SO,-17.77,7.32,-10.45
Brandon Cutler,Stephen F. Austin,2011,SO,-10.11,-0.34,-10.45
Devon Long,Cleveland State,2013,JR,-1.74,-8.71,-10.45
Jevon Thomas,Kansas State,2014,FR,-25.56,15.11,-10.45
Max Guercy,Rice,2015,JR,6.97,-17.42,-10.45
Mohamed Bendary,NJIT,2017,SO,-12.35,1.9,-10.45
Noah McCarty,Northern Illinois,2017,FR,-19.82,9.37,-10.45
J.R. Harris,Texas-San Antonio,2017,SR,-6.81,-3.65,-10.46
Anthony Borden,Central Arkansas,2013,SR,-23.54,13.08,-10.46
Dominick Scelfo,Cornell,2012,SO,-4.99,-5.47,-10.46
Jarrett Mann,Stanford,2011,JR,-50.83,40.37,-10.46
Larry Toomey,Army,2016,SR,-23.92,13.46,-10.46
Reggie Spencer,Northeastern,2012,FR,-14.38,3.92,-10.46
Ramses Sandifer,Louisiana-Monroe,2017,FR,-8.67,-1.79,-10.46
Tosin Mehinti,Alabama-Birmingham,2017,SR,-35.56,25.1,-10.46
Keenen Anderson,Eastern Illinois,2014,JR,-7.71,-2.76,-10.47
Jalen Brown,Eastern Michigan,2017,FR,-8.97,-1.5,-10.47
Kwe Parker,Tennessee,2017,FR,-19.14,8.67,-10.47
Austin Stewart,Central Michigan,2013,FR,-1.68,-8.8,-10.48
Orlando Brown,Cal State Fullerton,2012,SR,-3.2,-7.28,-10.48
Christian Kennedy,Lamar,2016,JR,-20.35,9.86,-10.49
Cole Stefan,Green Bay,2013,SO,-3.5,-6.99,-10.49
Devante McClung,Tennessee State,2013,JR,-11.96,1.47,-10.49
Hasan Abdullah,Navy,2016,FR,-6.4,-4.09,-10.49
Jaylen Babb-Harrison,Eastern Kentucky,2015,SO,0,-10.49,-10.49
Jeremy Bogus,Jacksonville,2015,SR,-7.1,-3.39,-10.49
Kris Brown,Norfolk State,2012,JR,-8.49,-2,-10.49
Lowell Ulmer,St. Francis (NY),2013,SO,-8.9,-1.59,-10.49
Malcolm Walters,Akron,2015,FR,-10.59,0.1,-10.49
Nate Wells,Bradley,2013,FR,-6.16,-4.33,-10.49
Ryan Herrion,New Hampshire,2011,SO,-7.84,-2.65,-10.49
Will Bailey,Morehead State,2012,FR,-4.07,-6.42,-10.49
Ahmad Gilbert,Minnesota,2016,FR,-17.33,6.83,-10.5
Jordan Finn,Nevada,2012,SO,-8.27,-2.23,-10.5
Josh Wiegand,Loyola (MD),2011,JR,-10.5,0,-10.5
Toles Hartman,North Carolina-Asheville,2011,FR,-11.28,0.78,-10.5
Anthony Myles,Rider,2013,JR,-3.5,-7.01,-10.51
Auraum Nuiriankh,Buffalo,2011,FR,-4,-6.51,-10.51
Jordan Sims,Texas-San Antonio,2012,SO,0,-10.51,-10.51
Kyle Perkins,Utah,2012,JR,-7.42,-3.09,-10.51
Xavier Dade,Texas State,2012,FR,-7.14,-3.37,-10.51
Nat Dixon,Chattanooga,2017,SO,-23.44,12.93,-10.51
Xavier Hill-Mais,Oakland,2017,SO,-45.62,35.09,-10.53
Nate Zastrow,North Dakota State,2012,JR,-6.24,-4.29,-10.53
Rakeen Brown,Delaware State,2014,FR,-8.13,-2.4,-10.53
Cory Kilby,Mercer,2017,SO,-8.31,-2.22,-10.53
Jalen Avery,Kent State,2017,SO,6.02,-16.55,-10.53
James Blasczyk,Southern California,2012,JR,-37.36,26.82,-10.54
Matthew Butler,Rhode Island,2015,SO,-11.04,0.5,-10.54
Preston Ross,Western Carolina,2012,SO,-4.39,-6.15,-10.54
Brandon Austin,Alabama,2017,SO,-10.54,0,-10.54
Bennett Davis,Mississippi Valley State,2016,JR,-5.2,-5.36,-10.56
Connell Crossland,Texas Christian,2013,SR,-23.46,12.9,-10.56
D'Andre Mahaffey,Virginia Military Institute,2016,FR,-9.84,-0.72,-10.56
Jackson Aldridge,Butler,2013,SO,-14.88,4.32,-10.56
Tonko Vuko,Pacific,2017,SR,-5.28,-5.28,-10.56
Cody Kale,Cal State Bakersfield,2011,FR,-4.79,-5.78,-10.57
Nick Haugen,North Dakota,2012,JR,-6.98,-3.59,-10.57
Teeng Akol,Western Kentucky,2012,JR,-30.75,20.18,-10.57
Dachon Burke,Robert Morris,2017,FR,-46.24,35.67,-10.57
Justin Pierce,William & Mary,2017,FR,-9.46,-1.11,-10.57
Reggie Kissoonlal,Northwestern State,2015,FR,-8.18,-2.4,-10.58
Ryan Parsons,Eastern Kentucky,2014,SR,-7.54,-3.04,-10.58
Jeremy Nordman,Central Arkansas,2012,SR,-7.31,-3.28,-10.59
Asown Sayles,Ohio,2011,SR,-18.75,8.15,-10.6
Damon Lynn,NJIT,2016,JR,38.14,-48.74,-10.6
David Favorite,Colgate,2016,FR,-1.67,-8.93,-10.6
Eric Cobb,South Carolina,2016,FR,-16.86,6.26,-10.6
Jeff White,Loyola (IL),2015,JR,-22.26,11.66,-10.6
Clint Mann,Davidson,2012,JR,-17.68,7.07,-10.61
Lacey James,Rider,2016,FR,-9.17,-1.44,-10.61
Marvin Smith,North Carolina-Greensboro,2017,JR,-7.58,-3.03,-10.61
Anthony Ireland,Loyola Marymount,2011,FR,14.15,-24.77,-10.62
Jared Williams,North Carolina A&T,2012,SR,1.46,-12.08,-10.62
John McArthur,Santa Clara,2014,SR,-25.49,14.87,-10.62
K.J. Bluford,Eastern Kentucky,2016,SR,6.64,-17.26,-10.62
Michael Williams,Texas Christian,2016,JR,-19.92,9.3,-10.62
Mike Owona,North Carolina A&T,2016,JR,-8.81,-1.81,-10.62
Deyshonee Much,Buffalo,2014,FR,-8.1,-2.53,-10.63
Drew Absher,Virginia Military Institute,2012,SO,-7.07,-3.56,-10.63
Edward Townsel,Arkansas State,2012,SO,-24.81,14.18,-10.63
Ian Harward,Brigham Young,2013,FR,-10.95,0.32,-10.63
Jordan Goodman,New Mexico,2015,JR,-3.68,-6.95,-10.63
Brett Jolly,Saint Louis,2016,SO,-20.44,9.8,-10.64
Derrick Strings,UC-Irvine,2011,JR,7.45,-18.09,-10.64
Idris Taqqee,St. Bonaventure,2015,FR,-12.16,1.52,-10.64
Jalen Hyde,Rutgers,2016,SR,-8.97,-1.67,-10.64
Kyle Cain,Arizona State,2011,FR,-23.41,12.77,-10.64
Liam Thomas,Nicholls State,2014,FR,-32.59,21.95,-10.64
Marlin Mason,Cleveland State,2012,FR,-11.74,1.1,-10.64
Matt Hayes,Loyola Marymount,2016,JR,-4.26,-6.38,-10.64
Torin Walker,Middle Tennessee,2014,SR,-12.1,1.46,-10.64
Austin Steed,East Carolina,2012,SR,-17.75,7.1,-10.65
Ben Martin,Nicholls State,2011,JR,-19.97,9.32,-10.65
Hikeem Champaigne,Savannah State,2015,SR,-10.05,-0.6,-10.65
Jordan Caroline,Southern Illinois,2015,FR,-10.65,0,-10.65
Langston Burnett,Wagner,2013,FR,-7.25,-3.4,-10.65
Zach Haney,Boise State,2016,FR,-12.1,1.45,-10.65
Larenz Stalcup,Louisiana-Lafayette,2017,JR,-17.75,7.1,-10.65
Deandre Davis,Alcorn State,2016,JR,5.81,-16.47,-10.66
Matt Pollard,San Jose State,2015,SO,-12.77,2.11,-10.66
Zeke Schneider,Southern Illinois-Edwardsville,2013,SR,-10.66,0,-10.66
Donte Medder,Tulsa,2012,JR,-8.11,-2.56,-10.67
Jesse Pistokache,Richmond,2016,FR,-4.6,-6.07,-10.67
Kahlil Thomas,Rider,2014,FR,-24.54,13.87,-10.67
Michael Hoffman,Lafayette,2014,FR,-2.67,-8,-10.67
Vicktor Arnick,Texas Southern,2014,FR,-6.45,-4.22,-10.67
David Tillman,Arkansas-Pine Bluff,2017,JR,-19.12,8.45,-10.67
Anthony Williams,IUPUI,2011,SR,-5.87,-4.81,-10.68
Bernard Toombs,Troy,2011,SR,-41.18,30.5,-10.68
Brandon Sampson,Louisiana State,2016,FR,-3.34,-7.34,-10.68
Brandon Sebirumbi,Furman,2012,SR,2.67,-13.35,-10.68
Brandon Walters,Siena,2011,JR,-7.63,-3.05,-10.68
Jeremy Campbell,Southeastern Louisiana,2011,FR,-6.83,-3.85,-10.68
JoJo Fallas,Cornell,2015,SO,-2.97,-7.71,-10.68
Kenneth Wachira,Jackson State,2014,FR,-8.57,-2.11,-10.68
Jeff Coby,Columbia,2017,SR,-18.52,7.84,-10.68
Dyrbe Enos,Hawaii,2015,SO,-6.32,-4.37,-10.69
Kendrick Washington,Houston,2011,SO,-14.81,4.12,-10.69
Manny Suarez,Fordham,2015,FR,-22.11,11.42,-10.69
Trey Dickerson,Iowa,2015,SO,-9.72,-0.97,-10.69
Joonas Tahvanainen,Utah Valley,2017,FR,-10.69,0,-10.69
Malachi Flynn,Washington State,2017,FR,3.56,-14.25,-10.69
Austin Ruder,Missouri State,2016,JR,-5.56,-5.14,-10.7
Ben Hazel,Princeton,2012,SO,-10.35,-0.35,-10.7
George Marshall,South Dakota State,2015,JR,7.64,-18.34,-10.7
Jake Verhagen,Eastern Illinois,2014,FR,-2.23,-8.47,-10.7
Jaleel Roberts,North Carolina-Asheville,2013,SO,-7.23,-3.47,-10.7
Jeff Lowery,Grand Canyon,2014,SO,-7.59,-3.11,-10.7
John Reese,New Orleans,2013,FR,-6.46,-4.24,-10.7
Jovan Grujic,Stephen F. Austin,2016,FR,-15.14,4.44,-10.7
Julian Moore,Penn State,2015,FR,-20.97,10.27,-10.7
Kyle Buffkin,Coastal Carolina,2014,FR,-10.06,-0.64,-10.7
Theo Johnson,College of Charleston,2014,SO,-16.5,5.8,-10.7
Colin Reddick,Furman,2012,JR,-22.05,11.34,-10.71
Hashim Bailey,Massachusetts,2011,SR,-18.87,8.16,-10.71
Javarez Willis,Texas Tech,2012,SO,4.59,-15.3,-10.71
Kyle Griffin,Siena,2011,JR,-6.38,-4.33,-10.71
Milos Kostic,Appalachian State,2015,FR,-5.73,-4.98,-10.71
Montae Glenn,Georgia Southern,2016,FR,-5.95,-4.76,-10.71
Ryley Beaumont,Elon,2013,JR,-10.71,0,-10.71
Terrance O'Donohue,College of Charleston,2014,FR,-9.36,-1.35,-10.71
Will Cummings,Temple,2012,FR,-8.85,-1.86,-10.71
Milan Mijovic,Marshall,2017,JR,-7.26,-3.46,-10.72
Kyle Rhoades,Western Carolina,2017,SR,-14.18,3.46,-10.72
Anthlon Bell,Arkansas,2013,FR,11.2,-21.92,-10.72
Dylan Garrity,Sacramento State,2013,SO,38.3,-49.02,-10.72
Ian Miller,Florida State,2013,JR,-1.79,-8.93,-10.72
Stephen Shockley,Longwood,2013,SR,-4.56,-6.16,-10.72
Tim Peete,Tulsa,2013,JR,-35.38,24.66,-10.72
Afam Muojeke,Wyoming,2011,JR,-0.35,-10.38,-10.73
Andrew Stire,Army,2013,JR,-6.94,-3.79,-10.73
Chauncey Orr,Bowling Green State,2012,FR,-8.25,-2.48,-10.73
Chris Burgess,Appalachian State,2016,SR,29.83,-40.56,-10.73
David Trimble,Seattle,2013,FR,-8.87,-1.86,-10.73
Kennon Dvorak,Texas A&M-Corpus Christi,2013,JR,-5.8,-4.93,-10.73
Vasa Pusica,San Diego,2016,SO,-14.75,4.02,-10.73
Devin Wyatt,Incarnate Word,2017,JR,-31.41,20.68,-10.73
Barrington Alston,Towson,2014,FR,-8.74,-2,-10.74
Bradley Gay,Texas-Arlington,2012,SR,-5.37,-5.37,-10.74
Christian Wolf,Milwaukee,2012,JR,-9.14,-1.6,-10.74
Jalen Brown,Georgia State,2015,JR,-5.78,-4.96,-10.74
Dinero Mercurius,South Florida,2015,FR,0.67,-11.42,-10.75
Juwan Henderson,Alcorn State,2016,SO,-7.65,-3.1,-10.75
Prince Ali,UCLA,2016,FR,-11.38,0.63,-10.75
Mandrell Worthy,Montana State,2017,FR,-15.59,4.84,-10.75
John Walton,East Tennessee State,2012,FR,-13.88,3.12,-10.76
Daquan Cook,Nevada-Las Vegas,2013,FR,-11.72,0.95,-10.77
Chris Braley,Stony Brook,2014,FR,-5.88,-4.9,-10.78
Dionte Ferguson,Morehead State,2011,FR,-6.93,-3.85,-10.78
Jahaad Proctor,Iona,2016,FR,-0.9,-9.88,-10.78
Jason Burnell,Georgia Southern,2016,FR,-7.75,-3.03,-10.78
Marvin Williams,Louisiana-Monroe,2015,SR,-20.02,9.24,-10.78
TeNale Roland,Utah State,2013,JR,6.47,-17.25,-10.78
James Harrison,Tennessee-Martin,2016,JR,-4.71,-6.08,-10.79
Malik Jamal Hughes,Texas-Rio Grande Valley,2011,FR,-9.44,-1.35,-10.79
Tevin Findlay,Green Bay,2016,JR,-0.9,-9.89,-10.79
Andrew Poulter,IPFW,2016,JR,-3.91,-6.89,-10.8
J.D. Tisdale,Bowling Green State,2016,JR,-24,13.2,-10.8
Jermaine Davis II,Texas Southern,2016,JR,-8.38,-2.42,-10.8
Josh Smith,Clemson,2013,FR,-7.3,-3.5,-10.8
Max DiLeo,Monmouth,2012,FR,-9.4,-1.4,-10.8
Stefon Johnson,Cal State Bakersfield,2014,SR,-33.73,22.93,-10.8
Daniel Turner,Green Bay,2012,SO,-12.28,1.47,-10.81
Jack Houpt,Western Illinois,2012,JR,-23.15,12.34,-10.81
John Auslander,Maryland,2012,SO,-7.47,-3.34,-10.81
Marko Vasic,American,2013,FR,-2.7,-8.11,-10.81
Nicholas Barnes,Alabama State,2016,JR,-5.46,-5.36,-10.82
Raymond Cowels,Santa Clara,2011,SO,11.81,-22.63,-10.82
Daniel Utomi,Akron,2017,FR,4.43,-15.25,-10.82
Khalil Alford,Rider,2014,SO,9.48,-20.31,-10.83
Sean McCarthy,NJIT,2011,SO,-22.52,11.69,-10.83
James Ford,Quinnipiac,2015,JR,2.71,-13.55,-10.84
Keith Shamburger,San Jose State,2012,SO,34.31,-45.15,-10.84
Gerad Davis,Northern Colorado,2017,JR,-6.29,-4.55,-10.84
Dominique Collier,Colorado,2015,FR,-12.82,1.97,-10.85
Fred Richardson,Colorado State,2016,SR,-3.39,-7.46,-10.85
Lance Stokes,Chattanooga,2012,FR,-9.83,-1.02,-10.85
Malik Maitland,Morehead State,2016,FR,-17.63,6.78,-10.85
Michael Porter,Southeast Missouri State,2012,SO,2.51,-13.36,-10.85
Luke Norman,Eastern Illinois,2015,JR,-7.24,-3.62,-10.86
Jeremy Montgomery,Cleveland State,2012,SR,6.22,-17.09,-10.87
John Swinton,Wofford,2012,FR,-8.72,-2.15,-10.87
Mychal Ladd,Washington State,2012,JR,-5.02,-5.85,-10.87
Kory Kuenstling,Drake,2017,SO,-10.87,0,-10.87
Christian Juzang,Harvard,2017,FR,-10.56,-0.31,-10.87
Emeka Ikezu,Samford,2014,FR,-8.38,-2.5,-10.88
Sterling Christy,Radford,2016,FR,-10.21,-0.67,-10.88
Tyler Alderman,Jacksonville,2014,SO,-12.38,1.5,-10.88
Courtney Julien,Texas State,2017,SO,-10.65,-0.23,-10.88
Aaron Geramipoor,Seton Hall,2012,SO,-17.89,7,-10.89
Malcolm Moore,Milwaukee,2014,SR,-19.45,8.56,-10.89
Alex Harris,Northeastern,2011,FR,7.63,-18.53,-10.9
DeOndre Haynes,Tennessee Tech,2014,FR,-11.6,0.7,-10.9
Duke Douglas,Denver,2016,SO,-12.26,1.36,-10.9
Greg Logins,Canisius,2011,SR,19.38,-30.28,-10.9
Jesse Morgan,Massachusetts,2011,FR,-9.99,-0.91,-10.9
Jordan Turner,Pacific,2012,JR,-9.81,-1.09,-10.9
Josh Johnson,Presbyterian,2011,JR,4.84,-15.74,-10.9
Marial Dhal,Canisius,2012,SR,-13.32,2.42,-10.9
Jordan Giles,Missouri-Kansas City,2017,FR,-13.63,2.73,-10.9
Brandon Peterson,Arkansas State,2012,JR,-29.09,18.18,-10.91
Will Townsville,Delaware,2013,SR,-7.44,-3.47,-10.91
John Peterson,Hartford,2013,GR,-2.73,-8.19,-10.92
Marin Kukoc,Pennsylvania,2012,SO,-7.8,-3.12,-10.92
Michael Martin,Alcorn State,2011,SO,-20.48,9.56,-10.92
Taylor Stevens,Seattle,2011,JR,-4.37,-6.55,-10.92
Thomas Montigel,Texas Christian,2013,JR,-9.98,-0.94,-10.92
Zach Gengler,Portland State,2017,SR,7.81,-18.73,-10.92
Nolan Cressler,Cornell,2013,FR,30.38,-41.31,-10.93
Rich Williams,Manhattan,2016,JR,-9.37,-1.56,-10.93
Chris Grier,Charleston Southern,2012,SO,-0.5,-10.44,-10.94
Jimond Ivey,Akron,2016,SO,-16.18,5.24,-10.94
Marcus Patrick,Virginia Tech,2013,FR,-9.27,-1.67,-10.94
Nate Sherwood,Idaho,2015,FR,-9.42,-1.52,-10.94
Zach Rufer,Lafayette,2014,SO,-0.68,-10.26,-10.94
Cahli Thomas,Delaware State,2014,SO,-9.66,-1.29,-10.95
Daniel Noe,Navy,2015,FR,-5.84,-5.11,-10.95
Dre' Winston,Washington State,2011,FR,-17.86,6.91,-10.95
Eric Truog,Marist,2014,SO,-8.78,-2.17,-10.95
Frank Holloway,Longwood,2013,SO,-7.65,-3.3,-10.95
Jarvis Jones,East Tennessee State,2012,JR,0,-10.95,-10.95
John Dawson,Liberty,2016,SO,-2.19,-8.76,-10.95
Ousmane Ba,Jacksonville State,2016,JR,-13.32,2.37,-10.95
Josh Hearlihy,Vermont,2017,JR,-14.46,3.51,-10.95
Alibaba Odd,Delaware State,2011,SO,-4.91,-6.05,-10.96
Justin Edwards,Maine,2012,FR,-9.39,-1.57,-10.96
Steven Stanley,Northern Arizona,2017,SO,-6.99,-3.97,-10.96
Shawn Occeus,Northeastern,2017,FR,-9.87,-1.1,-10.97
John Schoof,American,2015,SR,20.11,-31.08,-10.97
Louis Ellis,Northwestern State,2011,JR,24.38,-35.35,-10.97
Myles Hamilton,Cleveland State,2016,SR,-8.28,-2.69,-10.97
Stefan Moody,Florida Atlantic,2013,FR,29.75,-40.72,-10.97
Marcus Washington,Louisiana-Monroe,2017,SR,-23.17,12.2,-10.97
Dom Morris,Boston University,2012,SO,-19.22,8.24,-10.98
Drake LaMont,Western Michigan,2017,JR,-6.59,-4.39,-10.98
Jonathan Thomas,Maryland,2012,JR,-6.56,-4.43,-10.99
Justin Harris,Quinnipiac,2013,SO,-9.35,-1.64,-10.99
Clark Wilkinson,Idaho State,2017,FR,-4.58,-6.41,-10.99
Aaron Pogue,Cleveland State,2012,SR,-35.2,24.2,-11
Marc-Antoine Bourgault,St. John's (NY),2013,JR,-0.52,-10.48,-11
Marco Porcher Jimenez,Fairleigh Dickinson,2011,FR,-2.7,-8.3,-11
DaShawn Gomez,Iona,2014,SR,2.45,-13.46,-11.01
A.J. Cheeseman,New Orleans,2017,FR,-12.21,1.2,-11.01
Asaad Woods,Liberty,2011,FR,-9.72,-1.3,-11.02
Corey Hensley,Gardner-Webb,2015,SR,-8.9,-2.12,-11.02
DeVonte Thornton,Florida Atlantic,2013,FR,-8.57,-2.45,-11.02
Joey Asbury,Oakland,2013,JR,-6.12,-4.9,-11.02
Kraig Shields,North Dakota,2015,FR,-13.23,2.21,-11.02
Martrevious Sanders,Alcorn State,2013,SR,-9.78,-1.24,-11.02
Torin Childs-Harris,Morgan State,2014,FR,-9.52,-1.5,-11.02
Andy Smeathers,Mount St. Mary's,2015,JR,-5.25,-5.78,-11.03
Jamal Branch,St. John's (NY),2013,SO,-15.85,4.82,-11.03
Kendall Knorr,Navy,2016,SR,-15.44,4.41,-11.03
Matt Morrison,Northern Iowa,2014,SR,-5.07,-5.96,-11.03
Travis Robinson,Boston University,2011,FR,-16.15,5.12,-11.03
Tony Chennault,Villanova,2013,JR,-35.33,24.29,-11.04
Xavier Hill-Mais,Oakland,2016,FR,-12.42,1.38,-11.04
Bahrom Firozgary,Rice,2014,SR,-9.14,-1.91,-11.05
DeVonte Smith,Arkansas-Little Rock,2015,SR,-16.57,5.52,-11.05
Clayfell Harris,Wagner,2011,JR,-9.94,-1.12,-11.06
Kyle Buffkin,Coastal Carolina,2015,SO,-10.63,-0.43,-11.06
Tyrel Edwards,Canisius,2013,SO,-6.3,-4.76,-11.06
Noah Thomas,IUPUI,2017,FR,-8.5,-2.56,-11.06
Alex Newlin,Southern Illinois-Edwardsville,2011,SR,-6.51,-4.56,-11.07
Allen Dickerson,Radford,2012,SO,-8.46,-2.61,-11.07
Andy Nagel,North Dakota State,2011,SO,-4.87,-6.2,-11.07
Charles Wilson-Fisher,Hampton,2015,FR,-13.57,2.5,-11.07
Chris Braley,Stony Brook,2015,SO,-13.84,2.77,-11.07
Grant Vermeer,Navy,2014,FR,-2.77,-8.3,-11.07
Anthony Tarke,NJIT,2017,FR,-12.31,1.23,-11.08
Anthony Stitt,College of Charleston,2012,FR,-1.85,-9.24,-11.09
Denzell Watts,Alabama-Birmingham,2014,FR,-11.94,0.85,-11.09
Kennon Dvorak,Texas A&M-Corpus Christi,2012,SO,-4.54,-6.55,-11.09
Luke Worthington,Brigham Young,2014,FR,-15.91,4.82,-11.09
Zeke Chapman,Ball State,2012,FR,-7.66,-3.43,-11.09
Michael Mayhew,Portland State,2017,SO,-2.18,-8.91,-11.09
Adam Link,Western Illinois,2014,SR,-26.37,15.27,-11.1
Colin Ferguson,Southeast Missouri State,2013,FR,-6.88,-4.22,-11.1
Hunter Summy,San Diego,2016,FR,-4.15,-6.95,-11.1
Ted Friedman,Northern Iowa,2014,FR,-7.34,-3.76,-11.1
Chris Clement,Princeton,2013,JR,-9.52,-1.59,-11.11
Deividas Zemgulis,Penn State,2017,SO,-11.71,0.6,-11.11
Da'Quan Cook,St. Bonaventure,2012,SR,-19.46,8.34,-11.12
Eric Hutchison,Montana,2011,FR,-7.65,-3.47,-11.12
Giovanni Smith,Jacksonville State,2013,JR,-7.21,-3.91,-11.12
Jake Flaggert,Texas-El Paso,2014,FR,-11.74,0.62,-11.12
Jubril Adekoya,Valparaiso,2014,FR,-11.12,0,-11.12
Jason McMillan,Western Carolina,2017,FR,-7.58,-3.54,-11.12
Doug Archer,North Dakota,2012,JR,-10.71,-0.42,-11.13
Jonathan Hood,Eastern Kentucky,2015,JR,-4.32,-6.81,-11.13
Marc Andre Fortin,Sam Houston State,2016,FR,-15.26,4.13,-11.13
Michael Obacha,Appalachian State,2016,SR,-16.7,5.57,-11.13
Leon Gilmore,Stephen F. Austin,2017,JR,-20.87,9.74,-11.13
Gary Johnson,Albany (NY),2014,SR,-9.55,-1.59,-11.14
Landon Clement,North Carolina Central,2011,JR,70.57,-81.71,-11.14
Shannon Shorter,North Texas,2011,SR,-4.18,-6.96,-11.14
Alex Foster,Bradley,2017,JR,-10.08,-1.06,-11.14
Bryant Mbamalu,Louisiana-Lafayette,2014,SR,13.63,-24.78,-11.15
Cory Starkey,Bucknell,2015,SR,-19.51,8.36,-11.15
Langston Morris-Walker,Oregon State,2013,FR,-3.57,-7.58,-11.15
Tobe Okafor,Grand Canyon,2015,JR,-10.06,-1.09,-11.15
Denzel Johnson,Santa Clara,2015,SR,-6.38,-4.78,-11.16
J.R. Sims,Eastern Michigan,2014,SR,-15.62,4.46,-11.16
Joey Quigley,Sacramento State,2014,SR,-17.45,6.29,-11.16
Josh Odem,Chattanooga,2011,SO,-5.95,-5.21,-11.16
Julion Pearre,Utah State,2016,SO,11.16,-22.32,-11.16
Derrick Banks,Morgan State,2011,FR,-7.94,-3.23,-11.17
Jay Knuth,Loyola (IL),2015,FR,-4.02,-7.15,-11.17
Kenneth Hall,Western Carolina,2013,SO,-15.55,4.38,-11.17
Musa Abdul-Aleem,South Florida,2014,JR,-2.79,-8.38,-11.17
Danny Stewart,Rider,2013,JR,-33.52,22.34,-11.18
Dwight Tarwater,Cornell,2013,JR,-2.15,-9.03,-11.18
Jordon Granger,Auburn,2013,FR,-9.28,-1.9,-11.18
Kervin Bristol,Fordham,2011,JR,-45.84,34.66,-11.18
Ryan Harbour,San Diego,2011,JR,-9.73,-1.45,-11.18
Dan Jech,South Dakota,2017,SO,-18.64,7.46,-11.18
Ty Hudson,Clemson,2017,SO,-9.76,-1.42,-11.18
Alyx Foster,Portland State,2013,FR,-4.85,-6.34,-11.19
Chip Rank,Northern Iowa,2011,FR,-3.5,-7.69,-11.19
Marcus Love,Jackson State,2015,FR,-6.85,-4.34,-11.19
Nick Reese,North Carolina A&T,2015,FR,-10.95,-0.24,-11.19
Arkim Robertson,Cal State Fullerton,2017,JR,-34.31,23.12,-11.19
Anali Okoloji,George Mason,2013,SO,-21,9.8,-11.2
Devin Haygood,Youngstown State,2016,FR,-12.2,1,-11.2
Quintin Dailey,Eastern Michigan,2011,JR,-9.24,-1.96,-11.2
Tauron Bailey,Morgan State,2013,JR,-12.1,0.9,-11.2
Thomas Greer,Austin Peay,2014,JR,-7.2,-4,-11.2
