Player,Season,Age,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PProd,OWS,DWS,WS,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OBPM,DBPM,BPM,FG/40,FGA/40,2P/40,2PA/40,3P/40,3PA/40,FT/40,FTA/40,ORB/40,DRB/40,TRB/40,AST/40,STL/40,BLK/40,TOV/40,PF/40,PTS/40,TS%,FTr,3PAr,FG%,2P%,3P%,FT%,eFG%,S_R_H,S_R_W,cm_per_kg
Armon Johnson,2010-11,21,34,1172,219,442,202,371,17,71,80,118,26,89,115,189,28,12,114,61,535,574,2.5,0.5,3,18.8,2.6,8,5.5,30.4,1.4,0.9,18.6,25.7,106.3,110.5,0,0,0,7.47440273,15.08532423,6.894197952,12.66211604,0.580204778,2.423208191,2.730375427,4.027303754,0.887372014,3.037542662,3.924914676,6.450511945,0.955631399,0.409556314,3.890784983,2.081911263,18.25938567,54.15856819,0.266968326,0.160633484,0.495475113,0.544474394,0.23943662,0.677966102,0.514705882,190,88,2.159090909
Arnett Moultrie,2012-13,22,63,2028,311,604,294,546,17,58,178,242,175,359,534,76,70,50,143,139,817,805,4.4,3.7,8.1,20.96183432,10.26928008,20.62746548,15.4867357,7.517998028,2.012179487,2.617998028,16.66563116,21.84018738,108.7405819,95.26711045,2.116370809,0.476183432,2.53964497,6.134122288,11.91321499,5.798816568,10.76923077,0.33530572,1.143984221,3.510848126,4.773175542,3.451676529,7.08086785,10.53254438,1.499013807,1.380670611,0.986193294,2.820512821,2.741617357,16.11439842,57.4963405,0.400662252,0.09602649,0.514900662,0.538461538,0.293103448,0.73553719,0.52897351,211,112,1.883928571
Austin Rivers,2012-13,20,34,1129,174,402,116,243,58,159,121,184,21,94,115,71,33,1,79,76,527,488,2.4,1,3.5,16.9,2.2,10,6,13,1.7,0.1,13.9,25.2,107.8,104.7,3.7,0,3.7,6.164747564,14.24269265,4.109831709,8.60938884,2.054915855,5.633303809,4.286979628,6.519043401,0.744021258,3.330380868,4.074402126,2.515500443,1.169176262,0.035429584,2.798937112,2.692648361,18.67139061,54.5593838,0.457711443,0.395522388,0.432835821,0.477366255,0.364779874,0.657608696,0.504975124,193,90,2.144444444
Avery Bradley,2010-11,20,34,1003,159,368,117,256,42,112,36,66,33,65,98,71,44,18,52,80,396,374,1.6,1.6,3.2,14.9,3.5,6.6,5.1,12.4,2.4,1.6,11.5,20.4,106.7,98.6,0,0,0,6.340977069,14.67597208,4.666001994,10.20937188,1.674975075,4.466600199,1.435692921,2.632103689,1.316051844,2.59222333,3.908275174,2.831505484,1.754735793,0.717846461,2.073778664,3.190428714,15.79262213,49.86903083,0.179347826,0.304347826,0.432065217,0.45703125,0.375,0.545454545,0.489130435,188,82,2.292682927
Ben Hansbrough,2012-13,25,69,2443,323,689,169,327,154,362,244,313,54,213,267,298,78,9,144,170,1044,1024,8.8,2.1,10.8,21.60188293,2.747605403,9.796807204,6.398403602,24.73352436,2.001596398,0.349201801,14.73962341,21.46385591,124.3587802,106.0537045,4.876627098,0.355587393,5.23221449,5.288579615,11.28121163,2.767089644,5.354072861,2.521489971,5.927138764,3.995088007,5.1248465,0.884158821,3.48751535,4.371674171,4.879246828,1.277118297,0.147359804,2.357756856,2.783462955,17.09373721,63.14108767,0.454281567,0.525399129,0.468795356,0.516819572,0.425414365,0.779552716,0.580551524,190,92,2.065217391
Ben McLemore,2013-14,20,37,1191,198,400,125,226,73,174,120,138,47,145,192,73,37,25,77,69,589,530,4.2,2.3,6.5,23.2,5,13.2,9.4,12.6,1.8,2.2,14.2,23.2,121.4,93.7,7.3,2.9,10.2,6.649874055,13.434089,4.198152813,7.590260285,2.451721243,5.843828715,4.0302267,4.634760705,1.578505458,4.869857263,6.44836272,2.451721243,1.242653233,0.839630563,2.586062133,2.317380353,19.78169605,63.92168779,0.345,0.435,0.495,0.553097345,0.41954023,0.869565217,0.58625,196,88,2.227272727
Ben Uzoh,2010-11,22,35,1202,184,403,135,260,49,143,117,153,34,129,163,163,34,26,80,60,534,550,3.7,1.8,5.5,22.2,3.4,11.5,7.7,29.8,1.7,2.1,14.4,23.5,116.2,99.6,0,0,0,6.12312812,13.4109817,4.492512479,8.652246256,1.630615641,4.758735441,3.893510815,5.091514143,1.131447587,4.292845258,5.424292845,5.424292845,1.131447587,0.865224626,2.662229617,1.996672213,17.7703827,56.76985882,0.379652605,0.35483871,0.456575682,0.519230769,0.342657343,0.764705882,0.517369727,190,89,2.134831461
Bernard James,2012-13,27,69,1698,274,437,274,437,0,0,123,233,181,303,484,24,55,164,123,124,671,622,3.5,4.4,7.9,24.62608952,12.56219081,19.67031802,16.27391048,2.965783274,2.003592462,11.80624264,18.15047114,19.59640754,111.1837456,86.15954064,1.281095406,8.199057715,9.495465253,6.454652532,10.29446408,6.454652532,10.29446408,0,0,2.897526502,5.488810365,4.263839812,7.137809187,11.401649,0.565371025,1.295641932,3.863368669,2.897526502,2.921083628,15.80683157,62.1849051,0.533180778,0,0.627002288,0.627002288,0,0.527896996,0.627002288,208,108,1.925925926
Bobby Portis,2015-16,20,70,1994,411,782,388,719,23,63,202,274,219,332,551,92,74,104,97,137,1047,989,6.6,3.8,10.5,26.73771314,11.988666,18.588666,15.28074223,9.766800401,2.1,5.306419258,9.630190572,24.25997994,120.7109328,96.39358074,4.649047141,4.020762287,8.6777332,8.244734203,15.68706118,7.78335005,14.42326981,0.461384152,1.263791374,4.052156469,5.496489468,4.393179539,6.65997994,11.05315948,1.84553661,1.48445336,2.086258776,1.945837513,2.748244734,21.00300903,58.0016841,0.350383632,0.08056266,0.525575448,0.539638387,0.365079365,0.737226277,0.54028133,211,109,1.935779817
Bradley Beal,2012-13,19,37,1267,175,393,112,207,63,186,133,173,50,199,249,83,51,31,79,76,546,522,3.6,2.1,5.7,22,4.8,20.3,12.3,12.7,2.5,2.6,14.3,23,115.4,96.9,5.3,3.3,8.6,5.524861878,12.40726125,3.535911602,6.535122336,1.988950276,5.872138911,4.198895028,5.4617206,1.578531965,6.282557222,7.861089187,2.620363062,1.610102605,0.978689818,2.494080505,2.399368587,17.23756906,58.19406548,0.440203562,0.473282443,0.445292621,0.541062802,0.338709677,0.768786127,0.525445293,190,93,2.043010753
Brandon Davies,2013-14,22,135,3251,609,1166,603,1148,6,18,456,691,246,594,840,213,132,123,283,406,1680,1621,8,6.9,14.9,22.74300215,8.597139342,20.52276223,14.48397416,12.89876961,2.175761304,3.890587512,15.67985235,25.90366041,109.4837896,93.09390957,1.77502307,3.537465395,5.290310674,7.493079053,14.34635497,7.419255614,14.12488465,0.073823439,0.221470317,5.61058136,8.501999385,3.026760997,7.308520455,10.33528145,2.620732082,1.624115657,1.513380498,3.482005537,4.995386035,20.6705629,57.14130228,0.592624357,0.015437393,0.522298456,0.525261324,0.333333333,0.659913169,0.524871355,206,106,1.943396226
