Player,Season,Age,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PProd,OWS,DWS,WS,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OBPM,DBPM,BPM,FG/40,FGA/40,2P/40,2PA/40,3P/40,3PA/40,FT/40,FTA/40,ORB/40,DRB/40,TRB/40,AST/40,STL/40,BLK/40,TOV/40,PF/40,PTS/40,TS%,FTr,3PAr,FG%,2P%,3P%,FT%,eFG%,S_R_H,S_R_W,cm_per_kg
Dominique Jones,2010-11,22,33,1224,222,493,170,326,52,167,209,282,37,164,201,120,56,19,97,93,705,669,4.3,1.9,6.2,26.6,3.6,14.9,9.4,24.4,2.8,1.6,13.4,30.8,113.9,98.8,0,0,0,7.254901961,16.11111111,5.555555556,10.65359477,1.699346405,5.45751634,6.830065359,9.215686275,1.209150327,5.359477124,6.568627451,3.921568627,1.830065359,0.620915033,3.169934641,3.039215686,23.03921569,57.12387373,0.572008114,0.338742394,0.45030426,0.521472393,0.311377246,0.741134752,0.503042596,193,98,1.969387755
Donald Sloan,2011-12,24,34,1130,200,450,153,321,47,129,157,204,23,99,122,79,22,2,80,56,604,552,3.1,1.5,4.6,20.2,2.3,9.9,6.1,16.8,1.2,0.2,12.8,28.3,110.7,101.4,0,0,0,7.079646018,15.92920354,5.415929204,11.36283186,1.663716814,4.566371681,5.557522124,7.221238938,0.814159292,3.504424779,4.318584071,2.796460177,0.778761062,0.07079646,2.831858407,1.982300885,21.38053097,55.95079295,0.453333333,0.286666667,0.444444444,0.476635514,0.364341085,0.769607843,0.496666667,190,93,2.043010753
Dorian Finney-Smith,2016-17,23,134,3834,480,1169,295,657,185,512,284,432,347,606,953,256,105,92,240,321,1429,1475,6.8,7.7,14.6,25.92494793,15.18534239,25.38504498,20.24211215,20.44731661,2.106911025,3.328281748,20.15086738,31.6014063,147.8809602,128.2186545,5.768325906,6.222422423,11.99074833,5.007824726,12.1961398,3.077725613,6.854460094,1.930099113,5.341679708,2.962962963,4.507042254,3.620239958,6.322378717,9.942618675,2.670839854,1.095461659,0.959833073,2.503912363,3.348982786,14.90871153,52.57232834,0.369546621,0.43798118,0.410607357,0.449010654,0.361328125,0.657407407,0.489734816,203,98,2.071428571
Doron Lamb,2012-13,21,78,2327,336,693,192,390,144,303,202,249,34,149,183,122,41,8,94,157,1018,899,8.1,2.8,10.9,19.01469703,1.777954448,6.995530726,4.544091104,9.958143532,1.038977224,0.385302965,10.39712076,19.88530297,128.2741298,102.1118178,6.82939407,-0.061022776,6.822045552,5.775676837,11.91233348,3.300386764,6.703910615,2.475290073,5.208422862,3.472281908,4.280189085,0.584443489,2.561237645,3.145681135,2.097120756,0.70477009,0.137516115,1.615814353,2.69875376,17.49892566,63.42204944,0.359307359,0.437229437,0.484848485,0.492307692,0.475247525,0.81124498,0.588744589,193,95,2.031578947
Doug McDermott,2014-15,23,145,4569,1141,2075,867,1477,274,598,594,715,281,807,1088,194,34,14,321,265,3150,2684,21.6,5.3,26.8,30.23026921,8.186101992,20.69610418,14.88093675,10.44528343,0.448894725,0.348194353,12.02317794,32.31216896,122.8347997,103.4756402,7.97975487,-1.466031954,6.512322171,9.989056686,18.16590063,7.590282337,12.93061939,2.398774349,5.235281243,5.20026264,6.259575399,2.460056905,7.065003283,9.525060188,1.698402276,0.297658131,0.122565113,2.810242942,2.319982491,27.57715036,65.91061265,0.344578313,0.288192771,0.549879518,0.587000677,0.45819398,0.830769231,0.615903614,203,102,1.990196078
Draymond Green,2012-13,22,108,3197,498,1082,407,831,91,251,308,443,244,730,974,394,159,107,253,330,1395,1469,8.9,8.1,17,25.25470754,9.442164529,26.01867376,17.89787301,26.3723178,3.109978104,3.825086018,16.27491398,24.4546137,112.3521114,88.97328746,4.047607132,4.934532374,8.982139506,6.230841414,13.53769159,5.092274007,10.39724742,1.138567407,3.140444166,3.853612762,5.542696278,3.052862058,9.133562715,12.18642477,4.92962152,1.98936503,1.338755083,3.165467626,4.128870816,17.453863,54.6236256,0.409426987,0.231977819,0.46025878,0.48977136,0.362549801,0.695259594,0.502310536,201,104,1.932692308
Dwight Buycks,2013-14,24,68,1769,194,438,140,288,54,150,79,115,52,155,207,189,75,3,137,109,521,550,1.8,2.1,3.9,13.28377614,3.816223855,10.78801583,7.273487846,19.29406444,2.658111928,0.142736009,21.38292821,18.38631995,99.69236857,102.0521764,1.32481628,0.512832109,1.837648389,4.386659129,9.903900509,3.1656303,6.512153759,1.22102883,3.39174675,1.786319955,2.600339175,1.17580554,3.504804975,4.680610514,4.273600904,1.695873375,0.067834935,3.097795365,2.464669305,11.78066704,53.31559558,0.262557078,0.342465753,0.442922374,0.486111111,0.36,0.686956522,0.50456621,190,86,2.209302326
Dwight Powell,2014-15,23,136,3569,515,1110,482,996,33,114,402,557,225,628,853,240,125,118,283,390,1465,1481,6.1,6.9,13,18.17663211,7.322331185,22.24003923,14.46752592,12.3072009,2.198683105,3.669431213,17.75533763,22.32135052,102.9880639,93.38610255,0.549453628,4.842476884,5.388147941,5.771924909,12.44045951,5.40207341,11.1627907,0.369851499,1.277668815,4.505463715,6.242644999,2.521714766,7.038386103,9.560100869,2.689829084,1.400952648,1.3224993,3.171756795,4.370972261,16.41916503,54.0558491,0.501801802,0.102702703,0.463963964,0.483935743,0.289473684,0.721723519,0.478828829,208,108,1.925925926
E'Twaun Moore,2011-12,22,69,2255,433,970,312,649,121,321,200,278,83,226,309,201,92,28,134,150,1187,1104,6.1,4.5,10.6,22.57175166,4.231529933,11.63152993,7.931529933,20.33804878,2.506518847,1.293481153,10.87281596,28.51086475,110.1087361,94.18478936,3.47286031,1.663059867,5.135920177,7.680709534,17.20620843,5.534368071,11.51219512,2.146341463,5.694013304,3.54767184,4.931263858,1.472283814,4.00886918,5.481152993,3.5654102,1.631929047,0.496674058,2.376940133,2.66075388,21.05543237,54.33389483,0.286597938,0.330927835,0.446391753,0.480739599,0.37694704,0.71942446,0.508762887,193,86,2.244186047
Ed Davis,2010-11,21,23,641,111,192,111,192,0,0,87,132,66,154,220,22,10,64,46,42,309,282,1.8,1.3,3.1,26.4,10.8,24.2,17.6,6.8,0.9,9.5,15.3,21.5,116.5,93.3,0,0,0,6.926677067,11.98127925,6.926677067,11.98127925,0,0,5.429017161,8.237129485,4.118564743,9.609984399,13.72854914,1.372854914,0.624024961,3.99375975,2.870514821,2.620904836,19.28237129,61.78023033,0.6875,0,0.578125,0.578125,0,0.659090909,0.578125,208,103,2.019417476
Ekpe Udoh,2010-11,23,36,1264,191,390,184,364,7,26,111,162,129,222,351,97,29,133,87,87,500,542,3.4,2.6,6.1,24.9,12.9,17.7,15.6,14.4,1.4,11,15.7,22.1,114.3,93.3,0,0,0,6.044303797,12.34177215,5.82278481,11.51898734,0.221518987,0.82278481,3.512658228,5.126582278,4.082278481,7.025316456,11.10759494,3.069620253,0.917721519,4.208860759,2.753164557,2.753164557,15.82278481,54.197017,0.415384615,0.066666667,0.48974359,0.505494505,0.269230769,0.685185185,0.498717949,208,108,1.925925926
Elfrid Payton,2014-15,20,100,3155,501,1032,471,920,30,112,394,645,148,360,508,486,197,51,336,226,1426,1566,6.1,4.9,11,19.52095087,4.940507132,13.66012678,9.171473851,30.98767036,3.389920761,1.523645008,22.22719493,24.98047544,100.9169889,98.38671949,0.856703645,2.02481775,2.904532488,6.351822504,13.08399366,5.971473851,11.66402536,0.380348653,1.419968304,4.995245642,8.177496038,1.876386688,4.564183835,6.440570523,6.161648178,2.497622821,0.64659271,4.259904913,2.865293185,18.0792393,54.1875665,0.625,0.108527132,0.485465116,0.511956522,0.267857143,0.610852713,0.5,190,81,2.345679012
Elijah Millsap,2014-15,27,34,1124,182,418,163,339,19,79,164,236,92,232,324,60,56,11,118,111,547,531,1.7,3,4.7,21.6,9.5,24.5,16.9,13.5,3.1,1.1,18.2,29.8,100.1,87,0,0,0,6.476868327,14.87544484,5.800711744,12.06405694,0.676156584,2.8113879,5.836298932,8.398576512,3.274021352,8.256227758,11.53024911,2.135231317,1.992882562,0.391459075,4.199288256,3.950177936,19.46619217,52.4107006,0.564593301,0.188995215,0.435406699,0.480825959,0.240506329,0.694915254,0.458133971,198,95,2.084210526
Elliot Williams,2011-12,22,34,1133,178,388,118,224,60,164,194,256,25,110,135,128,45,4,100,69,610,598,4.1,1.5,5.6,23.6,2.7,11.3,7.1,24,2.4,0.4,16.4,27.7,116.7,101.2,0,0,0,6.284201236,13.69814651,4.165931156,7.908208297,2.118270079,5.789938217,6.849073257,9.037952339,0.882612533,3.883495146,4.766107679,4.518976169,1.58870256,0.141218005,3.530450132,2.436010591,21.53574581,60.92201981,0.659793814,0.422680412,0.458762887,0.526785714,0.365853659,0.7578125,0.536082474,193,79,2.443037975
Eric Bledsoe,2010-11,21,37,1122,144,312,95,184,49,128,82,123,19,95,114,107,52,12,112,82,419,405,1.5,2.1,3.5,14.5,1.9,8.5,5.5,16.8,2.6,1.1,23.2,20.4,102.6,95.7,0,0,0,5.13368984,11.12299465,3.386809269,6.559714795,1.74688057,4.563279857,2.923351159,4.385026738,0.677361854,3.386809269,4.064171123,3.814616756,1.853832442,0.427807487,3.992869875,2.923351159,14.93761141,57.22167595,0.394230769,0.41025641,0.461538462,0.516304348,0.3828125,0.666666667,0.540064103,185,87,2.126436782
Erick Green,2014-15,23,129,3648,592,1356,452,942,140,414,418,520,59,273,332,326,156,26,178,208,1742,1666,11.4,4.1,15.5,19.19690241,1.897532895,8.301507675,5.055372807,19.76779057,2.636430921,1.002576754,11.75397478,23.58643092,107.754523,101.7743147,4.934512061,0.296628289,5.231140351,6.49122807,14.86842105,4.956140351,10.32894737,1.535087719,4.539473684,4.583333333,5.701754386,0.646929825,2.993421053,3.640350877,3.574561404,1.710526316,0.285087719,1.951754386,2.280701754,19.10087719,54.95961636,0.383480826,0.305309735,0.436578171,0.479830149,0.338164251,0.803846154,0.48820059,190,83,2.289156627
Evan Turner,2010-11,22,31,1108,237,457,217,402,20,55,138,183,62,222,284,185,54,28,136,86,632,682,4,2.8,6.8,30,7.3,23.5,15.9,37.5,3,2.9,20,33.1,111.2,88.5,0,0,0,8.555956679,16.49819495,7.833935018,14.51263538,0.722021661,1.985559567,4.981949458,6.606498195,2.238267148,8.014440433,10.25270758,6.678700361,1.949458484,1.010830325,4.909747292,3.104693141,22.81588448,58.7885102,0.400437637,0.120350109,0.518599562,0.539800995,0.363636364,0.754098361,0.5404814,201,97,2.072164948
Festus Ezeli,2012-13,23,92,1808,289,512,289,512,0,0,246,414,187,282,469,17,37,183,152,256,824,780,4,3.4,7.4,21.99983407,12.37300885,17.2755531,14.95768805,1.913606195,1.176714602,10.15149336,18.30392699,23.67251106,105.1261615,94.77007743,1.080199115,2.777488938,3.857688053,6.39380531,11.32743363,6.39380531,11.32743363,0,0,5.442477876,9.159292035,4.137168142,6.238938053,10.37610619,0.376106195,0.818584071,4.048672566,3.362831858,5.663716814,18.2300885,59.35231071,0.80859375,0,0.564453125,0.564453125,0,0.594202899,0.564453125,211,115,1.834782609
Frank Kaminsky,2015-16,22,144,2943,529,1013,426,734,103,279,297,389,182,484,666,188,77,153,121,235,1458,1400,12.8,6.3,19.1,23.84254162,8.429153925,18.3183826,13.44828406,12.98861706,1.501936799,4.948318043,11.14189602,21.79653415,119.4267074,92.31046551,5.606116208,5.271831464,10.83340129,7.189942236,13.76826368,5.790010194,9.976214747,1.399932042,3.79204893,4.036697248,5.287121984,2.473666327,6.578321441,9.051987768,2.555215766,1.046551138,2.079510703,1.64458036,3.194019708,19.81651376,61.56262667,0.384007897,0.275419546,0.522211254,0.580381471,0.369175627,0.763496144,0.573050346,213,109,1.95412844
Fred VanVleet,2016-17,22,141,3775,463,1086,322,721,141,365,372,462,91,376,467,637,225,13,207,215,1439,1597,12.1,8.9,20.9,21.63544371,2.532980132,11.85382781,7.121774834,34.08635762,3.661854305,0.4,14.56935099,20.64887417,119.3465695,92.02137748,5.282331126,3.558860927,8.841192053,4.905960265,11.50728477,3.41192053,7.639735099,1.494039735,3.867549669,3.941721854,4.895364238,0.964238411,3.98410596,4.948344371,6.749668874,2.38410596,0.137748344,2.193377483,2.278145695,15.24768212,55.80634152,0.425414365,0.336095764,0.426335175,0.446601942,0.38630137,0.805194805,0.491252302,183,88,2.079545455
Gary Harris,2014-15,20,69,2141,345,784,199,396,146,388,189,240,67,159,226,140,108,21,111,141,1025,927,6.2,3.6,9.8,20.75674918,3.841522653,8.4039234,6.243484353,13.10219524,3.083045306,1.124567959,11.1980383,24.31718823,117.0584773,98.19065857,6.635871088,2.183045306,8.818916394,6.445586175,14.64736105,3.717888837,7.398411957,2.727697338,7.248949089,3.531060252,4.483886035,1.251751518,2.970574498,4.222326016,2.615600187,2.017748716,0.392340028,2.073797291,2.634283045,19.14992994,57.61016187,0.306122449,0.494897959,0.44005102,0.502525253,0.37628866,0.7875,0.533163265,193,95,2.031578947
Glen Rice,2013-14,23,87,2156,316,727,216,438,100,289,129,211,143,278,421,185,111,47,162,194,861,859,3.6,3.9,7.6,18.97871058,7.667671614,14.9851577,11.17973098,18.37036178,3.063497217,2.59958256,17.17384045,21.94216141,105.4393321,94.80473098,2.215909091,1.475881262,3.691790353,5.86270872,13.48794063,4.00742115,8.126159555,1.85528757,5.361781076,2.393320965,3.914656772,2.653061224,5.157699443,7.810760668,3.432282004,2.059369202,0.871985158,3.005565863,3.599257885,15.97402597,52.5102459,0.290233838,0.397524072,0.434662999,0.493150685,0.346020761,0.611374408,0.50343879,196,93,2.107526882
Glenn Robinson,2014-15,21,76,2506,349,665,293,486,56,179,158,220,137,238,375,87,74,21,78,99,912,862,7,3,9.9,19.3764565,6.857621708,11.9764565,9.419393456,6.742378292,1.9,0.904708699,9.175897845,18.96480447,123.6327215,103.7559457,5.591141261,2.314684757,7.910534717,5.570630487,10.61452514,4.676775738,7.757382283,0.893854749,2.857142857,2.521947326,3.511572227,2.186751796,3.798882682,5.985634477,1.388667199,1.181165204,0.335195531,1.245011971,1.580207502,14.55706305,59.85823051,0.330827068,0.269172932,0.52481203,0.602880658,0.312849162,0.718181818,0.566917293,198,99,2
Gordon Hayward,2010-11,20,37,1239,173,373,126,213,47,160,179,216,72,233,305,62,40,30,85,78,572,549,4,3,6.9,24.3,7.6,23.4,15.8,12.1,2,2.8,15.2,24.7,117.1,90.1,0,0,0,5.585149314,12.04196933,4.06779661,6.876513317,1.517352704,5.165456013,5.778853914,6.973365617,2.324455206,7.522195319,9.846650525,2.001614205,1.291364003,0.968523002,2.744148507,2.518159806,18.46650525,61.10588839,0.579088472,0.428954424,0.463806971,0.591549296,0.29375,0.828703704,0.526809651,203,96,2.114583333
Gorgui Dieng,2013-14,24,102,2789,338,620,337,617,1,3,174,272,304,497,801,127,104,267,166,280,851,887,5.4,7.9,13.2,22.4299749,12.5394048,21.30824668,16.86134815,9.540121907,2.270527071,10.46321262,17.90795984,16.59372535,112.6538186,84.49899606,2.450878451,10.58078164,13.03166009,4.847615633,8.892076013,4.833273575,8.849049839,0.014342058,0.043026174,2.495518107,3.901039799,4.359985658,7.128002868,11.48798853,1.821441377,1.491574041,3.829329509,2.380781642,4.015776264,12.20509143,57.52487562,0.438709677,0.00483871,0.54516129,0.546191248,0.333333333,0.639705882,0.545967742,211,111,1.900900901
Greg Monroe,2010-11,20,34,1164,202,385,195,358,7,27,138,209,74,254,328,128,42,52,112,87,549,574,3.2,2.3,5.5,25.2,8.6,25.2,17.5,22.4,2.2,4.9,18.8,26.7,110,93.9,0,0,0,6.941580756,13.23024055,6.701030928,12.3024055,0.240549828,0.927835052,4.742268041,7.182130584,2.542955326,8.728522337,11.27147766,4.39862543,1.443298969,1.786941581,3.848797251,2.989690722,18.86597938,57.55199597,0.542857143,0.07012987,0.524675325,0.544692737,0.259259259,0.660287081,0.533766234,211,112,1.883928571
Greivis Vasquez,2010-11,24,33,1120,220,513,151,321,69,192,138,161,38,115,153,208,56,12,111,69,647,671,4,1.9,5.8,25.6,3.8,10.2,7.2,35.2,2.8,1,15.8,30.2,113.6,97.7,0,0,0,7.857142857,18.32142857,5.392857143,11.46428571,2.464285714,6.857142857,4.928571429,5.75,1.357142857,4.107142857,5.464285714,7.428571429,2,0.428571429,3.964285714,2.464285714,23.10714286,55.40901617,0.313840156,0.374269006,0.428849903,0.470404984,0.359375,0.857142857,0.496101365,198,96,2.0625
Harrison Barnes,2012-13,20,75,2198,438,1018,322,686,116,332,234,319,149,265,414,96,68,29,146,140,1226,1095,5.6,3.7,9.3,20.30982712,7.048362147,12.34508644,9.746178344,8.33744313,1.703275705,1.248362147,11.14617834,27.35818926,109.8141947,96.74290264,4.697816197,2.095632393,6.79344859,7.970882621,18.52593267,5.859872611,12.48407643,2.111010009,6.041856233,4.258416742,5.805277525,2.71155596,4.822565969,7.534121929,1.747042766,1.237488626,0.527752502,2.656960874,2.547770701,22.31119199,52.91964502,0.313359528,0.326129666,0.430255403,0.469387755,0.34939759,0.73354232,0.487229862,203,97,2.092783505
Henry Ellenson,2016-17,20,33,1107,194,435,164,331,30,104,143,191,71,250,321,59,28,49,78,84,561,536,2,2,4,20.9,7.8,24.2,16.5,11,1.4,4.4,12.9,26.7,106.3,98.5,0.9,2.7,3.6,7.009936766,15.71815718,5.925925926,11.96025294,1.08401084,3.757904246,5.167118338,6.901535682,2.565492322,9.033423668,11.59891599,2.131887986,1.011743451,1.770551039,2.818428184,3.035230352,20.27100271,54.04207768,0.43908046,0.23908046,0.445977011,0.495468278,0.288461538,0.748691099,0.48045977,208,111,1.873873874
Hollis Thompson,2013-14,22,99,2434,308,645,180,354,128,291,115,170,106,298,404,105,78,43,107,223,859,783,5.6,3.7,9.5,16.73426459,5.752917009,13.41811832,9.825760066,8.339852095,2.204108463,2.013968776,13.42403451,16.88644207,117.9157354,99.48701726,2.805916187,1.157764996,3.963681183,5.061626952,10.59983566,2.958093673,5.817584224,2.103533279,4.782251438,1.88989318,2.793755136,1.741988496,4.897288414,6.63927691,1.725554643,1.281840592,0.706655711,1.75842235,3.664749384,14.11668036,59.6693526,0.263565891,0.451162791,0.47751938,0.508474576,0.439862543,0.676470588,0.576744186,203,96,2.114583333
Ian Clark,2013-14,22,133,3818,681,1406,341,606,340,800,218,269,64,316,380,289,162,27,277,283,1920,1671,11.2,6,17.2,38.67857517,3.088894709,18.15400733,10.73397067,26.74798324,4.565034049,1.431482452,27.49601886,42.05225249,207.8242797,172.0462808,9.662179151,0.448847564,10.11102672,7.134625458,14.73022525,3.572551074,6.348873756,3.562074384,8.381351493,2.283918282,2.81822944,0.670508119,3.31063384,3.981141959,3.027763227,1.697223677,0.282870613,2.902042954,2.964903091,20.11524358,62.97724947,0.191322902,0.568990043,0.484352774,0.562706271,0.425,0.810408922,0.605263158,190,79,2.405063291
Iman Shumpert,2011-12,21,61,1896,281,706,202,444,79,262,195,250,80,211,291,228,143,11,164,155,836,854,3.5,3.9,7.4,19.91687764,4.603375527,12.87172996,8.597468354,25.1278481,4.332489451,0.652320675,17.39704641,25.23797468,103.5063291,93.32447257,3.296202532,1.778902954,5.12742616,5.928270042,14.89451477,4.261603376,9.367088608,1.666666667,5.52742616,4.113924051,5.274261603,1.687763713,4.451476793,6.139240506,4.810126582,3.016877637,0.232067511,3.459915612,3.270042194,17.6371308,51.2254902,0.354107649,0.371104816,0.398016997,0.454954955,0.301526718,0.78,0.453966006,196,96,2.041666667
Isaiah Canaan,2013-14,22,132,3876,635,1411,331,686,304,725,476,593,73,293,366,385,157,10,311,241,2050,1929,14.2,6,20.4,21.89646543,2.265892673,9.14127967,5.80629515,20.73568111,2.442621259,0.274638803,15.89883901,25.88212074,117.7055728,97.73663571,3.744891641,-0.910500516,2.853302374,6.553147575,14.56140351,3.415892673,7.079463364,3.137254902,7.481940144,4.912280702,6.119711042,0.753353973,3.02373581,3.777089783,3.973168215,1.620227038,0.103199174,3.209494324,2.487100103,21.15583075,61.30676109,0.420269313,0.513819986,0.450035436,0.482507289,0.419310345,0.802698145,0.557760454,185,88,2.102272727
Isaiah Thomas,2011-12,22,70,2204,374,870,249,499,125,371,307,423,46,214,260,324,84,5,187,142,1180,1185,7,3.1,10.2,21.48348457,2.297640653,10.71415608,6.505898367,26.02214156,2.097640653,0.250589837,14.82935572,26.60471869,114.617559,100.1423321,3.55753176,0.59292196,4.150453721,6.787658802,15.78947368,4.519056261,9.056261343,2.268602541,6.733212341,5.57168784,7.676950998,0.834845735,3.88384755,4.718693285,5.880217786,1.524500907,0.090744102,3.393829401,2.577132486,21.41560799,55.86486384,0.486206897,0.426436782,0.429885057,0.498997996,0.336927224,0.725768322,0.501724138,173,83,2.084337349
Isaiah Whitehead,2016-17,21,56,1710,285,760,168,434,117,326,196,259,40,167,207,251,70,63,192,131,883,896,2.4,2.9,5.3,18.78210526,2.587368421,10.45157895,6.58,31.56842105,2.422105263,3.748421053,17.97473684,30.77684211,100.3915789,98.79578947,3.405263158,3.042105263,6.447368421,6.666666667,17.77777778,3.929824561,10.15204678,2.736842105,7.625730994,4.584795322,6.058479532,0.935672515,3.906432749,4.842105263,5.871345029,1.637426901,1.473684211,4.49122807,3.064327485,20.65497076,50.51718614,0.340789474,0.428947368,0.375,0.387096774,0.358895706,0.756756757,0.451973684,193,95,2.031578947
Ivan Johnson,2011-12,27,25,301,20,96,15,61,5,35,30,46,7,30,37,17,20,5,22,24,75,77,-0.6,0.6,0,5.7,2.5,11.5,6.9,12.6,4,1.9,15.7,23.4,70.9,93.2,-7.7,-0.4,-8.1,2.657807309,12.75747508,1.993355482,8.106312292,0.664451827,4.651162791,3.986710963,6.112956811,0.930232558,3.986710963,4.916943522,2.259136213,2.657807309,0.664451827,2.92358804,3.189368771,9.966777409,32.26083964,0.479166667,0.364583333,0.208333333,0.245901639,0.142857143,0.652173913,0.234375,203,116,1.75
Jabari Brown,2014-15,22,62,2164,307,696,170,341,137,355,301,385,30,214,244,103,40,6,136,111,1052,944,6.4,1.9,8.4,30.74584139,2.796950092,17.42327199,10.47030643,16.61032973,1.705495467,0.450415896,20.24326093,38.06524711,190.9875791,170.0076922,9.2074298,-0.998329197,8.209100603,5.674676525,12.8650647,3.14232902,6.303142329,2.532347505,6.561922366,5.563770795,7.116451017,0.554528651,3.955637708,4.510166359,1.903881701,0.739371534,0.11090573,2.513863216,2.051756007,19.44547135,60.78114167,0.55316092,0.510057471,0.441091954,0.498533724,0.385915493,0.781818182,0.539511494,196,97,2.020618557
Jabari Parker,2014-15,19,35,1074,236,499,198,393,38,106,160,214,105,201,306,41,37,43,81,83,670,623,3.6,1.9,5.5,28.4,11.4,23.1,17.1,8.6,2.1,4,11.9,32.7,115,99.3,4.3,2.3,6.6,8.789571695,18.58472998,7.374301676,14.63687151,1.415270019,3.947858473,5.959031657,7.970204842,3.910614525,7.48603352,11.39664804,1.527001862,1.378026071,1.601489758,3.016759777,3.091247672,24.95344507,56.47717311,0.428857715,0.21242485,0.472945892,0.503816794,0.358490566,0.747663551,0.511022044,203,106,1.91509434
Jae Crowder,2012-13,22,72,2174,375,762,272,468,103,294,196,287,153,392,545,131,136,67,74,178,1049,966,7.9,4.8,12.7,26.36034959,8.325896964,20.53160074,14.43482061,12.38624655,3.504461822,3.206071757,7.52874885,21.70285189,125.0635695,91.99912604,7.845354186,4.839282429,12.68463661,6.899724011,14.02023919,5.004599816,8.610855566,1.895124195,5.409383625,3.60625575,5.280588776,2.815087397,7.2125115,10.0275989,2.410303588,2.502299908,1.23275069,1.361545538,3.275068997,19.30082797,59.04669699,0.37664042,0.385826772,0.492125984,0.581196581,0.350340136,0.682926829,0.559711286,198,106,1.867924528
Jahlil Okafor,2015-16,20,38,1143,279,420,279,420,0,0,99,194,134,188,322,49,29,54,95,81,657,609,4.5,2.2,6.7,30.7,14.8,18.2,16.6,9.4,1.5,4.5,15.6,27.6,119.9,95.4,6.8,4.1,10.9,9.763779528,14.69816273,9.763779528,14.69816273,0,0,3.464566929,6.789151356,4.689413823,6.579177603,11.26859143,1.714785652,1.014873141,1.88976378,3.324584427,2.834645669,22.99212598,65.00316606,0.461904762,0,0.664285714,0.664285714,0,0.510309278,0.664285714,211,122,1.729508197
JaJuan Johnson,2011-12,22,69,2296,449,899,434,844,15,55,327,429,164,377,541,59,60,151,119,124,1240,1118,7.3,5.5,12.8,11.13878523,3.70325526,8.028820961,5.871655419,2.446843986,0.68046844,2.992497023,4.612107979,11.62044462,48.9394204,38.84601032,0.415680826,0.550496229,0.966177054,7.822299652,15.66202091,7.56097561,14.70383275,0.261324042,0.958188153,5.696864112,7.473867596,2.857142857,6.567944251,9.425087108,1.027874564,1.045296167,2.630662021,2.073170732,2.160278746,21.60278746,56.99786718,0.477196885,0.061179088,0.499443826,0.514218009,0.272727273,0.762237762,0.507786429,208,100,2.08
JaKarr Sampson,2014-15,21,66,1997,383,816,382,803,1,13,148,244,140,280,420,74,57,68,118,183,915,854,2.4,3.2,5.5,18.86870305,7.63545318,16.02493741,11.74792188,8.379218828,1.716624937,3.547921883,11.25623435,26.67065598,100.1024537,99.03350025,-0.160390586,1.73545318,1.627140711,7.671507261,16.34451678,7.651477216,16.08412619,0.020030045,0.260390586,2.96444667,4.887330996,2.804206309,5.608412619,8.412618928,1.482223335,1.141712569,1.362043065,2.363545318,3.665498247,18.32749124,49.54730549,0.299019608,0.015931373,0.469362745,0.475716065,0.076923077,0.606557377,0.46997549,206,97,2.12371134
Jake Layman,2016-17,22,141,3938,482,1083,284,536,198,547,274,361,159,515,674,156,123,113,204,272,1436,1342,7.5,6.8,14.3,17.26500762,5.023006602,14.24652108,9.933316404,8.217140681,1.835957339,3.049415947,14.01267141,19.38788725,112.2333672,98.19012189,3.507084815,3.401955307,6.909040122,4.895886237,11.00050787,2.884713052,5.444388014,2.011173184,5.556119858,2.783138649,3.666835957,1.615033012,5.231081767,6.846114779,1.584560691,1.24936516,1.147790757,2.072117826,2.762823768,14.58608431,57.8174322,0.333333333,0.505078486,0.445060018,0.529850746,0.361974406,0.75900277,0.536472761,206,92,2.239130435
Jakob Poeltl,2016-17,21,70,1885,356,541,356,540,0,1,219,361,194,363,557,93,33,119,129,165,931,902,7,4,11,28.41098143,13.62265252,21.21766578,17.73612732,10.8328382,1.057984085,6.512572944,15.59071618,23.80928382,123.0858355,94.08832891,5.413474801,5.576445623,10.98992042,7.554376658,11.4801061,7.554376658,11.45888594,0,0.021220159,4.647214854,7.660477454,4.116710875,7.702917772,11.81962865,1.973474801,0.700265252,2.525198939,2.737400531,3.50132626,19.75596817,66.51520348,0.66728281,0.001848429,0.658040665,0.659259259,0,0.606648199,0.658040665,213,104,2.048076923
Jamaal Franklin,2013-14,22,85,2198,362,849,264,524,98,325,340,436,128,468,596,162,86,51,218,182,1162,1128,5.6,5.3,10.8,24.33175614,6.975523203,26.02952684,16.34604186,15.63271156,2.309736124,2.494494995,17.10359418,30.03366697,106.6134213,88.89977252,3.801956324,3.392265696,7.250136488,6.587807097,15.45040946,4.804367607,9.535941765,1.78343949,5.914467698,6.18744313,7.934485896,2.329390355,8.516833485,10.84622384,2.948134668,1.565059145,0.92811647,3.967242948,3.312101911,21.14649682,55.82029899,0.513545347,0.382803298,0.426383981,0.503816794,0.301538462,0.779816514,0.48409894,196,92,2.130434783
