Player,Tm,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Yr
Markeith Cummings,SFL,28.0,7,0.0,62.0,4.1,8.1,0.5,0.6,2.9,0.2,3.5,5.2,0.667,1.2,1.2,1.0,1.2,2.9,4.1,0.0,1.2,0.6,1.7,5.8,9.9,2017
Boris Dallo,LIN,22.0,46,19.0,1082.0,4.7,11.2,0.423,0.8,3.1,0.258,3.9,8.1,0.486,1.8,2.6,0.701,1.2,5.4,6.6,6.0,1.1,0.1,4.3,1.9,12.0,2017
Alex Davis,ERI,25.0,28,18.0,696.0,4.2,9.1,0.46,0.6,1.3,0.44,3.6,7.8,0.464,2.8,4.2,0.659,2.4,4.6,7.0,1.2,0.8,1.8,2.1,4.8,11.7,2017
Alex Davis,TOT,25.0,51,39.0,1256.0,4.1,8.9,0.455,0.4,1.1,0.395,3.6,7.9,0.464,2.9,4.2,0.685,2.8,4.4,7.1,1.3,0.9,2.2,2.1,5.0,11.4,2017
Alex Davis,NAS,25.0,23,21.0,560.0,3.9,8.7,0.449,0.3,0.8,0.308,3.7,7.9,0.463,3.0,4.1,0.719,3.2,4.1,7.3,1.5,1.2,2.8,2.1,5.2,11.1,2017
Deyonta Davis,IOW,11.0,10,306.0,6.5,11.8,0.55,0.0,0.0,6.5,11.8,0.55,0.7,1.1,0.667,3.9,7.3,11.2,0.6,1.2,3.1,1.1,3.3,13.6,,,2017
Mike Davis,WES,28.0,24,0.0,312.0,5.1,8.9,0.571,0.0,0.1,0.0,5.1,8.8,0.579,1.3,1.7,0.733,2.9,5.2,8.1,1.7,0.9,0.9,1.0,4.0,11.4,2017
Trey Davis,CAN,,23,1.0,0.0,19.0,0.0,5.7,0.0,0.0,1.9,0.0,0.0,3.8,0.0,0.0,0.0,0.0,1.9,1.9,3.8,0.0,0.0,1.9,1.9,0.0,2017
Will Davis,REN,,24,42.0,6.0,763.0,8.3,13.6,0.611,0.0,0.0,8.3,13.6,0.611,2.7,3.6,0.75,4.0,4.6,8.6,0.8,0.5,2.3,1.5,3.0,19.3,2017
Andre Dawkins,WCB,25.0,14,0.0,303.0,5.9,14.9,0.4,3.4,10.0,0.345,2.5,4.9,0.512,1.2,2.1,0.556,0.5,2.1,2.6,1.8,0.7,0.0,1.1,2.9,16.5,2017
Andre Dawkins,TOT,25.0,42,3.0,956.0,6.6,15.2,0.432,4.3,10.4,0.415,2.2,4.7,0.468,1.5,2.0,0.75,0.7,3.1,3.8,1.4,1.0,0.2,1.4,2.6,18.9,2017
Andre Dawkins,TEX,25.0,28,3.0,653.0,6.8,15.3,0.446,4.7,10.6,0.446,2.1,4.7,0.447,1.6,1.9,0.853,0.8,3.5,4.4,1.2,1.1,0.3,1.5,2.5,20.0,2017
Branden Dawson,ERI,23.0,33,13.0,877.0,7.8,15.8,0.492,0.0,0.2,0.0,7.8,15.6,0.497,2.0,3.7,0.533,3.9,5.8,9.6,2.2,2.3,0.9,2.5,2.8,17.5,2017
Eric Dawson,SLS,,32,2.0,2.0,51.0,2.8,8.5,0.333,0.0,0.0,2.8,8.5,0.333,3.5,4.2,0.833,3.5,10.6,14.1,2.1,2.1,1.4,4.2,4.2,9.2,2017
Coreontae DeBerry,WCB,,22,12.0,0.0,113.0,4.1,8.9,0.464,0.0,0.0,4.1,8.9,0.464,2.2,3.8,0.583,2.9,5.7,8.6,1.6,1.3,1.3,2.5,6.4,10.5,2017
Deng Deng,TEX,25.0,3,0.0,28.0,6.4,20.6,0.313,0.0,2.6,0.0,6.4,18.0,0.357,3.9,5.1,0.75,5.1,10.3,15.4,2.6,0.0,1.3,3.9,6.4,16.7,2017
Troy Devries,LOS,34.0,48,20.0,1139.0,5.4,12.6,0.432,3.4,7.7,0.434,2.1,4.9,0.429,1.3,1.7,0.759,0.4,2.7,3.1,2.7,1.1,0.1,1.7,2.9,15.5,2017
Cheick Diallo,SWR,20.0,15,15.0,479.0,8.2,16.8,0.487,0.0,0.2,0.0,8.2,16.6,0.493,2.9,3.8,0.78,2.3,9.5,11.8,1.0,0.6,3.2,2.3,4.4,19.3,2017
Cheick Diallo,LIN,,20,2.0,0.0,35.0,11.3,17.5,0.647,0.0,0.0,11.3,17.5,0.647,2.1,4.1,0.5,1.0,8.2,9.3,1.0,1.0,2.1,2.1,9.3,24.7,2017
Cheick Diallo,AUS,20.0,9,6.0,210.0,8.1,15.8,0.511,0.0,0.2,0.0,8.1,15.6,0.516,2.4,3.3,0.737,2.6,6.7,9.3,0.7,0.9,3.3,1.7,3.9,18.5,2017
Cheick Diallo,TOT,20.0,26,21.0,724.0,8.3,16.6,0.502,0.0,0.2,0.0,8.3,16.4,0.508,2.7,3.6,0.753,2.3,8.7,10.9,0.9,0.7,3.1,2.1,4.5,19.3,2017
Spencer Dinwiddie,WCB,23.0,9,9.0,337.0,6.1,12.7,0.479,1.3,3.1,0.414,4.8,9.6,0.5,5.2,6.5,0.803,0.3,3.2,3.5,7.8,2.1,0.5,2.7,3.0,18.7,2017
Quincy Douby,WES,32.0,2,1.0,34.0,3.2,13.8,0.231,1.1,5.3,0.2,2.1,8.5,0.25,2.1,2.1,1.0,0.0,1.1,1.1,3.2,3.2,0.0,1.1,4.2,9.5,2017
Larry Drew,SFL,26.0,10,1.0,237.0,4.7,9.9,0.477,2.1,5.3,0.4,2.6,4.6,0.567,0.8,1.1,0.714,0.6,3.5,4.1,9.0,1.1,0.2,3.3,3.5,12.3,2017
Terrence Drisdom,SAN,24.0,43,17.0,770.0,3.9,8.6,0.457,0.6,2.1,0.295,3.3,6.5,0.507,1.7,2.2,0.787,1.7,5.6,7.3,2.8,1.4,1.1,1.3,2.6,10.2,2017
Duje Dukan,WCB,25.0,25,7.0,530.0,5.4,12.2,0.439,2.7,6.3,0.43,2.6,5.9,0.448,2.9,4.6,0.642,1.7,4.1,5.8,1.4,0.6,0.1,1.6,3.9,16.4,2017
Kellen Dunham,IOW,23.0,35,16.0,598.0,3.6,8.7,0.417,1.8,5.0,0.361,1.8,3.7,0.492,1.2,1.3,0.952,0.7,3.6,4.2,1.3,1.0,0.4,1.8,1.7,10.2,2017
Michael Dunigan,CAN,25.0,39,11.0,653.0,5.6,13.1,0.426,0.0,0.1,0.0,5.6,13.0,0.43,5.0,6.8,0.734,3.1,5.3,8.4,1.0,1.9,2.4,2.3,6.3,16.2,2017
Cleanthony Early,SAN,25.0,14,0.0,248.0,7.5,15.2,0.495,1.9,4.4,0.433,5.7,10.9,0.52,3.3,5.2,0.639,2.2,6.5,8.7,1.5,1.2,2.0,2.2,4.5,20.3,2017
Jarrell Eddie,AUS,25.0,25,14.0,672.0,5.1,12.3,0.415,2.5,7.3,0.336,2.6,4.9,0.533,2.3,2.6,0.875,0.7,4.0,4.7,1.6,0.9,0.4,2.7,2.3,14.9,2017
Jarrell Eddie,WCB,25.0,20,13.0,601.0,7.6,15.2,0.5,4.1,8.3,0.493,3.5,6.9,0.509,2.0,2.3,0.846,0.8,4.6,5.3,2.4,0.6,0.7,1.6,2.4,21.3,2017
Jarrell Eddie,TOT,25.0,45,27.0,1273.0,6.3,13.7,0.46,3.2,7.8,0.415,3.1,5.9,0.519,2.1,2.5,0.862,0.7,4.3,5.0,2.0,0.7,0.5,2.2,2.3,17.9,2017
Arthur Edwards,MAI,24.0,47,3.0,967.0,4.4,10.7,0.413,2.2,6.7,0.331,2.2,4.0,0.551,2.1,2.7,0.767,1.0,5.6,6.6,2.1,1.5,1.2,2.9,3.2,13.2,2017
Shane Edwards,DEL,,8,1.0,204.0,6.2,13.4,0.461,0.4,2.6,0.133,5.8,10.8,0.541,3.7,5.5,0.677,1.4,8.5,9.9,0.5,0.2,1.6,1.8,2.3,16.4,2017
Henry Ellenson,GRR,20.0,21,21.0,740.0,6.2,14.8,0.416,1.8,5.6,0.328,4.3,9.2,0.471,4.0,5.0,0.806,1.6,7.5,9.1,1.4,0.6,0.9,1.9,2.7,18.2,2017
Perry Ellis,SWR,23.0,50,12.0,1122.0,5.7,12.7,0.453,1.3,3.5,0.376,4.4,9.2,0.483,2.9,3.8,0.769,2.6,5.0,7.6,1.5,0.9,0.3,1.2,2.4,15.7,2017
Christopher Evans,CAN,26.0,33,28.0,1137.0,6.4,14.3,0.45,1.8,4.9,0.359,4.7,9.3,0.498,3.8,5.4,0.708,2.0,3.4,5.4,2.5,2.0,0.6,2.5,3.3,18.5,2017
Kay Felder,CAN,21.0,11,11.0,396.0,10.8,23.2,0.467,1.8,5.0,0.364,9.0,18.2,0.495,6.5,7.8,0.826,0.7,2.6,3.4,6.0,1.5,0.4,4.2,3.0,29.9,2017
Cristiano Felicio,WCB,,24,1.0,1.0,38.0,7.6,15.2,0.5,0.0,0.0,7.6,15.2,0.5,3.8,4.7,0.8,4.7,6.6,11.4,0.9,0.9,1.9,5.7,3.8,18.9,2017
Carrick Felix,LIN,26.0,34,21.0,780.0,5.4,12.4,0.437,0.9,3.7,0.247,4.5,8.6,0.519,2.5,4.2,0.593,2.0,4.1,6.1,2.2,1.8,0.7,2.4,4.6,14.2,2017
Courtney Fells,WES,30.0,30,26.0,924.0,5.5,12.4,0.439,2.1,6.0,0.355,3.3,6.4,0.518,1.5,1.9,0.796,0.7,4.3,5.0,3.5,2.1,0.9,2.5,2.6,14.6,2017
Courtney Fells,TOT,30.0,40,34.0,1203.0,5.1,12.0,0.429,2.0,5.9,0.337,3.2,6.1,0.517,1.2,1.5,0.804,0.7,4.0,4.7,3.2,2.3,0.8,2.2,2.6,13.5,2017
Courtney Fells,TEX,30.0,10,8.0,279.0,4.1,10.6,0.39,1.4,5.3,0.268,2.7,5.3,0.512,0.3,0.3,1.0,0.8,3.0,3.7,2.2,3.0,0.8,1.4,2.6,9.9,2017
Vashil Fernandez,TOT,,25,32.0,0.0,246.0,2.2,4.7,0.469,0.0,0.0,2.2,4.7,0.469,0.6,0.7,0.8,4.0,5.1,9.1,0.4,0.7,2.9,2.5,7.9,5.0,2017
Vashil Fernandez,SWR,,25,5.0,0.0,33.0,1.1,4.4,0.25,0.0,0.0,1.1,4.4,0.25,2.2,2.2,1.0,4.4,4.4,8.7,0.0,0.0,0.0,3.3,6.5,4.4,2017
Vashil Fernandez,SFL,,25,27.0,0.0,213.0,2.4,4.7,0.5,0.0,0.0,2.4,4.7,0.5,0.3,0.5,0.667,3.9,5.2,9.1,0.5,0.8,3.4,2.4,8.1,5.1,2017
Yogi Ferrell,LIN,23.0,18,18.0,642.0,6.2,14.7,0.422,2.7,6.9,0.398,3.5,7.9,0.443,3.6,4.0,0.903,0.6,2.4,3.0,5.8,1.5,0.1,2.1,2.8,18.8,2017
Bryson Fonville,TEX,22.0,49,7.0,797.0,4.4,10.3,0.428,1.3,3.7,0.358,3.1,6.7,0.466,0.4,0.7,0.6,0.7,1.8,2.5,5.5,1.4,0.2,2.5,3.7,10.6,2017
Bryn Forbes,AUS,23.0,19,19.0,674.0,8.4,16.8,0.502,3.0,6.5,0.459,5.4,10.3,0.528,3.9,4.5,0.869,0.4,3.2,3.5,2.7,1.3,0.1,2.5,2.3,23.8,2017
Gary Forbes,LIN,31.0,20,3.0,394.0,4.4,12.8,0.343,2.2,6.7,0.329,2.2,6.1,0.358,1.8,2.3,0.8,1.5,3.3,4.8,2.3,0.7,0.1,2.1,4.4,12.8,2017
Quincy Ford,SLS,24.0,26,15.0,505.0,2.9,8.6,0.342,1.3,4.6,0.281,1.6,4.0,0.411,1.4,1.7,0.833,1.5,6.8,8.3,2.7,1.7,0.7,1.7,3.3,8.6,2017
David Foster,LOS,28.0,30,8.0,335.0,4.1,8.3,0.494,0.1,0.1,1.0,4.0,8.2,0.487,0.5,0.8,0.714,3.3,6.8,10.1,0.5,0.5,5.4,1.4,6.3,8.8,2017
Chris Fowler,FOR,,5,0.0,48.0,5.2,9.7,0.538,0.7,1.5,0.5,4.5,8.2,0.545,5.2,7.5,0.7,0.0,1.5,1.5,5.2,1.5,1.5,3.0,6.0,16.5,2017
Trey Freeman,GRR,24.0,39,18.0,886.0,3.6,9.6,0.373,1.1,3.4,0.325,2.5,6.2,0.399,0.7,1.0,0.75,0.4,4.3,4.7,3.5,1.1,0.2,1.1,2.6,9.0,2017
Sundiata Gaines,SLS,30.0,46,30.0,1269.0,6.9,15.9,0.435,2.6,6.8,0.387,4.3,9.2,0.471,2.6,4.3,0.588,1.3,5.1,6.4,5.0,2.1,0.3,2.7,2.5,19.0,2017
Ramon Galloway,ERI,25.0,21,9.0,555.0,4.9,12.5,0.389,1.0,4.3,0.239,3.8,8.2,0.468,2.5,3.2,0.776,0.7,3.1,3.8,4.4,1.5,0.1,3.0,2.5,13.2,2017
Charles Garcia,AUS,28.0,49,1.0,1075.0,8.1,14.6,0.555,0.0,0.1,0.5,8.1,14.5,0.555,6.3,9.3,0.673,2.2,6.4,8.6,1.9,0.5,0.9,3.8,4.9,22.5,2017
Patricio Garino,AUS,23.0,49,46.0,1429.0,5.1,10.9,0.468,1.5,3.4,0.43,3.6,7.5,0.485,2.2,2.8,0.768,0.5,3.8,4.2,2.5,1.8,0.9,2.9,3.3,13.8,2017
Evrik Gary,SLS,25.0,4,0.0,73.0,4.4,13.3,0.333,3.0,5.9,0.5,1.5,7.4,0.2,0.5,1.0,0.5,0.0,6.4,6.4,3.9,0.0,0.0,3.0,3.0,12.3,2017
Evrik Gary,IOW,,25,3.0,0.0,35.0,7.2,11.3,0.636,1.0,4.1,0.25,6.2,7.2,0.857,0.0,0.0,1.0,2.1,3.1,2.1,1.0,0.0,1.0,3.1,15.4,2017
Evrik Gary,TOT,25.0,7,0.0,108.0,5.3,12.7,0.421,2.3,5.3,0.438,3.0,7.3,0.409,0.3,0.7,0.5,0.3,5.0,5.3,3.3,0.3,0.0,2.3,3.0,13.3,2017
Matt Gatens,IOW,,27,2.0,2.0,31.0,2.3,8.1,0.286,2.3,7.0,0.333,0.0,1.2,0.0,0.0,0.0,2.3,3.5,5.8,0.0,3.5,0.0,2.3,1.2,7.0,2017
Michael Gbinije,GRR,24.0,16,16.0,560.0,4.4,10.5,0.421,2.0,6.0,0.333,2.4,4.6,0.535,1.5,2.1,0.719,0.8,3.6,4.4,1.8,1.9,0.3,1.2,1.5,12.3,2017
Marcus Georges-Hunt,MAI,22.0,45,40.0,1639.0,5.3,11.4,0.462,1.6,4.2,0.392,3.6,7.3,0.502,3.5,3.9,0.888,1.1,5.1,6.2,4.4,1.0,0.3,2.0,2.6,15.7,2017
Archie Goodwin,SWR,22.0,34,33.0,1112.0,6.1,14.0,0.438,0.7,3.2,0.235,5.4,10.8,0.497,5.8,8.0,0.724,1.7,4.1,5.8,2.5,1.3,0.3,2.6,2.3,18.7,2017
Ben Gordon,TEX,33.0,25,17.0,737.0,6.4,13.7,0.464,3.5,7.7,0.456,2.8,6.0,0.475,2.3,2.6,0.887,0.2,3.0,3.3,4.2,1.1,0.3,2.1,3.0,18.5,2017
Paul Graham,GRR,31.0,1,0.0,6.0,0.0,12.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,6.0,12.0,0.5,0.0,6.0,6.0,18.0,0.0,0.0,0.0,0.0,6.0,2017
Jerian Grant,WCB,24.0,2,2.0,83.0,8.2,18.2,0.452,1.3,4.8,0.273,6.9,13.4,0.516,5.6,6.9,0.813,0.9,2.6,3.5,6.9,2.2,0.4,3.0,1.7,23.4,2017
Josh Gray,NAS,23.0,50,9.0,1254.0,7.7,17.3,0.444,1.1,3.1,0.358,6.6,14.2,0.464,2.8,4.1,0.667,1.6,3.5,5.1,6.5,2.1,0.1,3.1,2.9,19.3,2017
Brannen Greene,DEL,22.0,15,0.0,151.0,5.7,10.5,0.545,3.1,5.0,0.619,2.6,5.5,0.478,3.1,3.8,0.813,0.2,6.4,6.7,1.4,0.5,0.0,3.1,2.4,17.6,2017
Brannen Greene,TOT,22.0,24,0.0,243.0,4.9,10.7,0.458,2.2,5.5,0.405,2.7,5.2,0.514,1.9,2.4,0.813,0.4,6.4,6.8,1.3,0.4,0.1,2.8,3.1,13.9,2017
