Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS
A. Afflalo | D. Cousins | R. Gay | K. Koufos | T. Lawson,SAC,2016-17,14,144.8,281,279,92.8,-10,-10,-.021,+1,-10,+.072,-0.018,+25,+24,+.115,+6
R. Gobert | G. Hayward | G. Hill | J. Ingles | J. Johnson,UTA,2016-17,22,141.2,271,273,92.5,-6,-6,-.014,0,-3,+.013,-0.013,+23,+36,-.042,+11
P. Beverley | C. Brewer | S. Dekker | E. Gordon | N. Hilario,HOU,2016-17,25,138.2,287,283,99.0,+25,+23,+.060,+30,+50,+.130,+.112,-22,-24,-.107,+58
T. Black | B. Ingram | J. Randle | D. Russell | N. Young,LAL,2016-17,17,137.6,277,274,96.1,-14,+8,-.070,+8,+25,-.034,-0.057,-13,-18,-.015,-33
G. Antetokounmpo | M. Dellavedova | J. Parker | M. Plumlee | T. Snell,MIL,2016-17,14,137.2,270,273,95.0,+12,-24,+.097,-10,-16,-.057,+.082,-7,-3,-.091,+7
T. Ariza | S. Dekker | E. Gordon | J. Harden | N. Hilario,HOU,2016-17,35,136.5,299,299,105.1,-8,-4,-.024,+9,+43,-.047,-0.006,+11,+31,-.169,+4
J. Butler | R. Lopez | N. Mirotic | R. Rondo | P. Zipser,CHI,2016-17,17,135.8,267,263,93.6,+14,0,+.057,+10,+4,+.138,+.077,+25,+36,-.090,+63
B. Beal | M. Gortat | O. Porter | J. Smith | J. Wall,WAS,2016-17,29,135.7,266,272,95.2,-16,+2,-.069,-1,-7,+.024,-0.071,-13,-14,-.021,-46
H. Barnes | D. Finney-Smith | W. Matthews | S. Mejri | D. Williams,DAL,2016-17,18,135.5,247,244,87.0,+6,+27,-.025,-1,+18,-.094,-0.036,-14,-15,-.057,-3
G. Antetokounmpo | M. Brogdon | T. Maker | K. Middleton | T. Snell,MIL,2016-17,15,134.7,246,248,88.1,+4,+7,+.003,+21,+30,+.165,+.049,-12,-16,+.013,+17
A. Bradley | J. Crowder | A. Horford | M. Smart | I. Thomas,BOS,2016-17,32,134.7,308,294,107.3,+10,+35,-.026,+5,+22,-.021,-0.023,+9,+6,+.035,+34
B. Bass | J. Crawford | R. Felton | A. Rivers | M. Speights,LAC,2016-17,27,133.6,265,252,92.9,-15,+1,-.070,-2,+10,-.094,-0.074,+18,+19,+.058,-14
C. Aldrich | N. Bjelica | K. Dunn | Z. LaVine | S. Muhammad,MIN,2016-17,29,133.3,254,251,90.9,+8,+26,-.019,0,-10,+.053,-0.026,-9,-11,-.030,+7
J. Butler | T. Gibson | J. Grant | R. Lopez | D. Wade,CHI,2016-17,13,132.5,258,257,93.3,+22,-3,+.093,-11,-42,+.034,+.072,+18,+29,-.119,+51
K. Irving | L. James | R. Jefferson | I. Shumpert | T. Thompson,CLE,2016-17,16,131.3,258,258,94.3,+15,-9,+.080,+8,+10,+.050,+.100,+1,+9,-.112,+39
B. Griffin | D. Jordan | L. Mbah a Moute | J. Redick | A. Rivers,LAC,2016-17,16,130.6,258,257,94.7,+4,+1,+.015,+11,-2,+.147,+.038,-16,-6,-.237,+3
B. Griffin | D. Jordan | C. Paul | J. Redick | A. Rivers,LAC,2016-17,25,130.3,261,254,94.9,+3,-12,+.038,+7,+5,+.076,+.057,+39,+49,+.049,+52
D. Booker | M. Chriss | A. Len | T. Ulis | T. Warren,PHO,2016-17,11,129.5,270,271,100.3,-5,+6,-.032,-17,-18,-.178,-0.068,-7,-13,+.045,-34
S. Adams | J. Grant | V. Oladipo | A. Roberson | R. Westbrook,OKC,2016-17,35,128.7,279,281,104.4,+3,-7,+.028,+13,+19,+.074,+.059,+9,+22,-.075,+28
B. Diaw | D. Exum | R. Gobert | G. Hayward | R. Hood,UTA,2016-17,16,127.8,231,231,86.8,+24,-6,+.125,+17,+28,+.123,+.166,-8,-9,-.014,+57
S. Curry | K. Durant | D. Green | J. McGee | K. Thompson,GSW,2016-17,28,126.5,274,270,103.2,+34,+12,+.115,+21,+10,+.193,+.154,+4,+1,+.060,+93
T. Hardaway | D. Howard | P. Millsap | D. Schroder | T. Sefolosha,ATL,2016-17,34,125.1,248,248,95.2,+23,-2,+.108,+4,-13,+.147,+.118,+7,+11,-.025,+57
H. Barnes | S. Curry | W. Matthews | D. Nowitzki | D. Williams,DAL,2016-17,15,123.2,246,240,94.7,+4,+18,-.022,+20,+42,-.006,+.018,-26,-29,-.047,+2
L. Aldridge | P. Gasol | M. Ginobili | K. Leonard | P. Mills,SAS,2016-17,36,122.1,260,251,100.4,0,+7,-.016,+6,+14,+.012,-0.004,-12,-2,-.147,-6
A. Davis | B. Hield | S. Hill | J. Holiday | T. Jones,NOP,2016-17,15,121.6,248,254,99.1,+11,-12,+.070,+4,-13,+.115,+.082,-9,-9,-.064,+17
S. Adams | A. Morrow | A. Roberson | D. Sabonis | R. Westbrook,OKC,2016-17,22,119.9,238,234,94.5,-18,-1,-.083,-7,+5,-.145,-0.099,+29,+33,+.066,-14
B. Diaw | R. Gobert | G. Hayward | G. Hill | R. Hood,UTA,2016-17,21,118.8,222,219,89.1,+7,+7,+.020,-1,+12,-.087,+.016,+21,+18,+.130,+34
D. Lillard | C. McCollum | M. Plumlee | E. Turner | N. Vonleh,POR,2016-17,13,117.6,234,236,96.0,+8,+27,-.020,-7,0,-.113,-0.044,-5,-2,-.108,+4
O. Asik | A. Davis | T. Frazier | S. Hill | E. Moore,NOP,2016-17,16,115.6,240,234,98.4,-3,-18,+.024,-5,-10,-.022,+.016,+21,+30,-.062,+10
D. Augustin | B. Biyombo | J. Green | M. Hezonja | C. Watson,ORL,2016-17,17,115.1,230,231,96.1,-12,+1,-.064,-5,+6,-.107,-0.077,-6,-11,+.037,-35
