Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS
S. Curry | D. Green | A. Iguodala | P. McCaw | A. Varejao,GSW,2016-17,1,1.7,4,3,98.8,0,0,.000,0,-1,+.500,.000,-1,+1,-1.000,-1
D. Augustin | J. Green | M. Hezonja | S. Ibaka | C. Wilcox,ORL,2016-17,1,1.7,2,3,71.3,-1,-2,+.333,0,-1,.000,+.333,0,0,.000,-2
M. Carter-Williams | T. Gibson | J. Grant | R. Rondo | D. Wade,CHI,2016-17,1,1.7,4,5,130.9,-3,-4,-.429,0,0,.000,-0.429,-1,-1,.000,-7
L. Aldridge | K. Anderson | P. Gasol | M. Ginobili | K. Leonard,SAS,2016-17,2,1.7,3,3,87.3,+1,+1,+.167,+1,+1,.000,+.333,0,0,.000,+3
O. Asik | T. Frazier | B. Hield | S. Hill | E. Moore,NOP,2016-17,1,1.7,3,3,84.7,0,+1,-.167,0,0,.000,-0.250,-2,-2,.000,-2
I. Clark | S. Curry | K. Durant | S. Livingston | J. McGee,GSW,2016-17,1,1.7,4,3,96.9,+2,+2,+.250,+1,+1,+.500,+.375,-2,-2,.000,+3
W. Hernangomez | B. Jennings | K. Porzingis | L. Thomas | S. Vujacic,NYK,2016-17,1,1.7,3,3,85.5,+1,-2,+.750,0,0,.000,+.750,0,0,.000,+2
A. Afflalo | M. Barnes | D. Cousins | M. Richardson | A. Tolliver,SAC,2016-17,1,1.7,4,4,112.9,0,+3,.000,0,+2,.000,.000,-5,-7,.000,-5
D. Cousins | S. Hill | J. Holiday | D. Motiejunas | H. Thompson,NOP,2016-17,1,1.7,4,4,114.1,-1,-1,-.167,0,0,.000,-0.167,0,0,.000,-2
V. Carter | M. Conley | A. Harrison | Z. Randolph | B. Wright,MEM,2016-17,2,1.7,2,2,55.9,-1,-1,-.333,-1,-2,.000,-0.500,0,0,.000,-3
D. Bertans | D. Green | D. Lee | K. Leonard | D. Murray,SAS,2016-17,1,1.7,3,3,85.5,-1,-1,-.250,0,-2,.000,-0.250,0,0,.000,-2
A. Abrines | E. Kanter | D. McDermott | D. Sabonis | R. Westbrook,OKC,2016-17,1,1.7,3,4,100.8,-1,0,-.333,-1,0,-1.000,-0.500,+1,+1,.000,-2
A. Bradley | J. Brown | K. Olynyk | T. Rozier | M. Smart,BOS,2016-17,2,1.7,4,3,100.8,+1,+1,+.333,0,+1,.000,+.333,0,0,.000,+2
E. Ilyasova | T. McConnell | J. Okafor | D. Saric | H. Thompson,PHI,2016-17,2,1.7,4,4,114.1,+1,+3,.000,+1,0,+1.000,+.083,-1,-2,.000,+2
I. Clark | D. Green | A. Iguodala | K. Looney | K. Thompson,GSW,2016-17,1,1.7,3,3,85.5,+1,0,+.333,0,+1,.000,+.333,-1,-1,.000,+1
B. Bass | J. Crawford | R. Felton | W. Johnson | C. Paul,LAC,2016-17,1,1.7,3,4,98.8,-3,0,-1.000,0,0,.000,-1.000,+1,+1,.000,-5
A. Abrines | J. Grant | J. Lauvergne | V. Oladipo | D. Sabonis,OKC,2016-17,1,1.7,3,4,100.8,+2,0,+1.000,+1,0,+1.000,+1.250,-2,-2,.000,+3
J. Holiday | B. Jennings | M. Ndour | K. O'Quinn | S. Vujacic,NYK,2016-17,1,1.7,3,3,83.9,-2,-3,+.250,0,0,.000,+.250,+1,+2,.000,-3
J. Clarkson | L. Deng | J. Randle | L. Williams | I. Zubac,LAL,2016-17,1,1.7,4,3,99.8,+2,-2,+.583,-1,-1,.000,+.500,+1,+1,.000,+4
L. Aldridge | K. Anderson | D. Green | K. Leonard | T. Parker,SAS,2016-17,3,1.7,3,3,85.5,-1,-2,-.333,0,0,.000,-0.333,+2,+3,.000,0
P. Connaughton | M. Harkless | M. Leonard | T. Quarterman | E. Turner,POR,2016-17,1,1.7,5,4,129.6,+2,+1,+.500,0,+1,.000,+.500,0,0,.000,+4
I. Clark | S. Curry | D. Green | K. Thompson | D. West,GSW,2016-17,1,1.7,4,4,114.1,+1,-1,+.667,+1,+1,.000,+.917,0,0,.000,+3
O. Asik | T. Frazier | S. Hill | J. Holiday | E. Moore,NOP,2016-17,1,1.7,4,3,99.8,-1,-1,-.167,-1,-1,.000,-0.292,0,+2,.000,-3
N. Cole | N. Collison | J. Grant | J. Huestis | K. Singler,OKC,2016-17,1,1.7,3,3,87.3,-2,0,-.667,-1,0,-1.000,-0.833,0,0,.000,-5
R. Holmes | T. Luwawu-Cabarrot | J. Okafor | N. Stauskas | H. Thompson,PHI,2016-17,1,1.7,3,3,87.3,+1,+2,+.250,0,0,.000,+.250,-1,-1,.000,+1
J. Grant | E. Kanter | C. Payne | K. Singler | R. Westbrook,OKC,2016-17,1,1.7,4,3,100.8,0,+2,-.500,+1,+1,.000,-0.375,+1,+1,.000,+2
C. Anthony | C. Lee | K. Porzingis | C. Randle | D. Rose,NYK,2016-17,1,1.7,3,4,101.8,-1,0,-.333,0,+2,.000,-0.333,-1,-1,.000,-3
R. Covington | J. Embiid | E. Ilyasova | T. Luwawu-Cabarrot | T. McConnell,PHI,2016-17,3,1.7,4,4,114.1,+1,0,+.333,0,0,.000,+.333,0,0,.000,+2
J. Butler | I. Canaan | J. Grant | R. Lopez | B. Portis,CHI,2016-17,2,1.7,5,5,139.8,-4,-2,-.667,-2,-2,.000,-0.867,+2,+3,.000,-8
T. Booker | R. Foye | A. Goodwin | J. Hamilton | I. Whitehead,BRK,2016-17,1,1.7,4,3,101.8,0,+1,-.167,+1,+2,.000,-0.042,0,0,.000,+1
B. Bass | W. Johnson | D. Jordan | J. Redick | A. Rivers,LAC,2016-17,1,1.7,3,3,87.3,0,+1,-.333,+1,+1,.000,-0.167,-3,-3,.000,-2
W. Barton | W. Chandler | G. Harris | N. Jokic | M. Plumlee,DEN,2016-17,1,1.7,4,4,111.8,-3,0,-.750,-2,-1,-1.000,-1.000,0,0,.000,-8
J. Anderson | S. Curry | J. Gibson | W. Matthews | D. Powell,DAL,2016-17,2,1.7,3,3,83.1,-1,-1,-.250,-1,-4,.000,-0.375,0,0,.000,-3
R. Gobert | G. Hayward | G. Hill | J. Johnson | R. Neto,UTA,2016-17,1,1.7,3,3,83.9,0,0,.000,0,+1,.000,.000,0,0,.000,0
N. Brussino | D. Harris | D. Liggins | S. Mejri | D. Powell,DAL,2016-17,1,1.7,2,2,58.2,-1,+1,-1.000,-1,+1,-1.000,-1.500,+1,+2,.000,-2
L. Allen | R. Christmas | M. Ellis | G. Robinson | J. Teague,IND,2016-17,3,1.7,3,4,96.9,-1,+2,-.467,+1,0,+1.000,-0.367,-2,-2,.000,-3
A. Abrines | S. Adams | S. Christon | T. Gibson | V. Oladipo,OKC,2016-17,1,1.7,2,2,57.0,0,+3,-.750,0,0,.000,-0.750,0,0,.000,0
D. Bembry | J. Calderon | T. Hardaway | K. Humphries | M. Muscala,ATL,2016-17,1,1.7,5,4,129.6,-1,0,-.333,-2,-2,.000,-0.667,+2,+3,.000,-2
G. Dragic | W. Reed | J. Richardson | D. Waiters | D. Williams,MIA,2016-17,2,1.7,3,3,83.9,+1,-3,+.500,0,-3,.000,+.500,+3,+3,+.750,+5
V. Carter | M. Conley | T. Daniels | T. Douglas | M. Gasol,MEM,2016-17,3,1.7,6,5,155.3,0,+4,.000,0,+3,.000,.000,-2,-3,+.167,-2
B. Beal | B. Bogdanovic | I. Mahinmi | K. Oubre | T. Satoransky,WAS,2016-17,1,1.7,3,3,83.1,0,+1,-.167,+1,+2,.000,.000,-1,-2,.000,0
S. Livingston | K. Looney | J. McAdoo | P. McCaw | J. McGee,GSW,2016-17,1,1.7,2,3,69.9,+2,0,+.667,0,-1,.000,+.667,0,-1,.000,+4
J. Grant | V. Oladipo | C. Payne | D. Sabonis | K. Singler,OKC,2016-17,1,1.7,4,3,101.8,-1,-1,-.167,0,0,.000,-0.083,0,0,.000,-2
T. Allen | W. Baldwin | T. Daniels | M. Gasol | Z. Randolph,MEM,2016-17,1,1.7,6,5,152.3,0,-1,+.333,0,-1,.000,+.333,0,-1,+.500,0
D. Carroll | D. DeRozan | C. Joseph | J. Poeltl | D. Wright,TOR,2016-17,1,1.7,3,4,99.8,0,0,.000,+1,+1,+.500,+.167,0,-1,.000,+1
L. Deng | T. Mozgov | T. Robinson | D. Russell | N. Young,LAL,2016-17,1,1.7,4,4,110.8,-1,-1,-.083,-2,-3,.000,-0.333,0,0,.000,-4
J. Crawford | D. Cunningham | A. Davis | T. Frazier | S. Hill,NOP,2016-17,1,1.7,3,3,87.3,-2,0,-1.000,0,+1,.000,-1.000,-1,-2,+.333,-5
J. Anderson | J. Harper | R. Holmes | T. Luwawu-Cabarrot | S. Rodriguez,PHI,2016-17,1,1.7,3,3,84.7,0,-1,.000,0,+1,.000,.000,0,0,.000,0
L. Barbosa | E. Bledsoe | T. Chandler | A. Len | P. Tucker,PHO,2016-17,3,1.7,3,3,87.3,0,0,.000,0,0,.000,.000,-1,-1,.000,-1
L. Aldridge | K. Anderson | D. Bertans | P. Mills | J. Simmons,SAS,2016-17,2,1.7,2,2,58.2,-1,+1,-.667,-1,+1,-1.000,-0.917,+2,+2,.000,-1
G. Henderson | R. Holmes | E. Ilyasova | T. Luwawu-Cabarrot | S. Rodriguez,PHI,2016-17,2,1.7,3,3,87.3,+1,0,+.333,0,+1,.000,+.333,0,0,.000,+2
J. Crawford | B. Griffin | L. Mbah a Moute | C. Paul | J. Redick,LAC,2016-17,3,1.7,2,3,72.0,+1,+2,+.250,0,-1,.000,+.250,-2,-3,.000,0
B. Bass | R. Felton | W. Johnson | A. Rivers | D. Stone,LAC,2016-17,1,1.7,3,4,101.8,-1,-3,-.167,0,-2,.000,-0.167,-2,-2,.000,-4
J. Butler | T. Gibson | D. McDermott | N. Mirotic | P. Zipser,CHI,2016-17,1,1.7,3,3,84.7,-1,-2,-.333,-1,-2,.000,-0.500,+3,+4,.000,0
I. Canaan | D. McDermott | N. Mirotic | B. Portis | R. Rondo,CHI,2016-17,1,1.7,2,3,72.0,-1,-1,-.333,-1,0,-.500,-0.500,+1,+3,.000,-2
A. Bradley | J. Brown | A. Johnson | K. Olynyk | I. Thomas,BOS,2016-17,2,1.7,3,3,84.7,0,-2,+.667,0,-1,.000,+.667,0,0,.000,0
L. Babbitt | W. Ellington | J. Johnson | T. Johnson | J. Richardson,MIA,2016-17,1,1.7,4,5,127.1,0,0,.000,0,-1,+.167,.000,0,0,.000,0
G. Antetokounmpo | M. Dellavedova | M. Plumlee | T. Snell | J. Terry,MIL,2016-17,1,1.7,5,4,129.6,0,0,.000,+1,0,+.500,+.167,0,0,.000,+1
W. Barton | N. Jokic | J. Murray | J. Nelson | J. O'Bryant,DEN,2016-17,1,1.7,3,3,84.7,+1,+1,+.167,0,+1,.000,+.167,0,0,.000,+2
A. Afflalo | D. Cousins | R. Gay | T. Lawson | B. McLemore,SAC,2016-17,1,1.7,4,4,116.4,-2,-3,-.500,-1,-1,.000,-0.625,0,+2,.000,-5
C. Frye | R. Jefferson | K. Korver | D. Liggins | K. Love,CLE,2016-17,1,1.7,2,3,71.3,+1,0,+.333,0,-2,.000,+.333,+1,+1,.000,+3
D. DeRozan | S. Ibaka | J. Poeltl | P. Tucker | D. Wright,TOR,2016-17,4,1.7,3,3,86.4,+1,+1,+.333,0,0,.000,+.333,0,0,.000,+2
G. Henderson | T. Luwawu-Cabarrot | T. McConnell | A. Poythress | T. Splitter,PHI,2016-17,2,1.7,3,4,99.8,+1,+1,+.167,0,0,.000,+.167,-2,-2,.000,0
G. Dragic | T. Johnson | R. McGruder | W. Reed | J. Richardson,MIA,2016-17,1,1.7,3,4,96.9,-3,-1,-.750,0,+1,.000,-0.750,+4,+4,.000,-2
N. Powell | T. Ross | J. Sullinger | J. Valanciunas | F. VanVleet,TOR,2016-17,1,1.7,4,4,111.8,0,-1,+.167,+1,+1,.000,+.333,0,0,.000,+1
D. Bender | E. Bledsoe | T. Chandler | M. Chriss | B. Knight,PHO,2016-17,2,1.7,4,3,101.8,0,+1,-.167,0,+2,.000,-0.167,0,0,.000,0
D. Finney-Smith | A. Hammons | D. Harris | D. Powell | D. Williams,DAL,2016-17,1,1.7,4,4,111.8,+1,+1,+.167,+1,0,+1.000,+.333,-1,0,-.500,+2
A. Davis | T. Evans | T. Frazier | J. Holiday | T. Jones,NOP,2016-17,1,1.7,2,3,70.6,-1,-2,.000,0,-1,+.500,+.125,+1,+1,.000,-1
D. Bembry | T. Hardaway | K. Humphries | M. Muscala | D. Schroder,ATL,2016-17,1,1.7,3,3,83.9,-2,+1,-.667,-1,0,-1.000,-0.833,0,0,.000,-5
L. Allen | C. Miles | K. Seraphin | L. Stephenson | J. Teague,IND,2016-17,1,1.7,4,3,97.9,0,+3,-.500,-1,-1,.000,-0.667,+1,+1,.000,0
A. Afflalo | O. Casspi | W. Cauley-Stein | D. Cousins | G. Temple,SAC,2016-17,2,1.7,3,3,83.1,0,+2,-.250,0,+1,-.500,-0.375,-2,-2,.000,-2
W. Hernangomez | B. Jennings | K. O'Quinn | D. Rose | L. Thomas,NYK,2016-17,1,1.7,4,5,125.8,-1,-3,+.100,+1,0,+1.000,+.350,+2,+2,.000,+1
B. Bogdanovic | B. Jennings | I. Mahinmi | M. Morris | O. Porter,WAS,2016-17,1,1.7,4,5,129.6,0,+3,-.500,-1,0,-1.000,-0.667,-3,-3,.000,-4
J. Holiday | M. Kuzminskas | J. Noah | K. Porzingis | D. Rose,NYK,2016-17,1,1.7,3,4,99.8,-2,0,-.500,-1,-1,-.500,-0.625,0,0,.000,-5
V. Carter | M. Conley | J. Ennis | J. Green | B. Wright,MEM,2016-17,2,1.7,4,5,129.6,-1,+1,-.667,0,0,.000,-0.667,-2,-1,-1.000,-4
A. Drummond | H. Ellenson | D. Hilliard | S. Johnson | B. Udrih,DET,2016-17,1,1.7,2,2,56.5,0,-1,+.333,-1,-1,.000,+.167,0,0,.000,-1
J. Crowder | G. Green | K. Olynyk | M. Smart | I. Thomas,BOS,2016-17,3,1.7,4,4,112.9,-1,0,-.333,+1,+2,.000,-0.167,-1,-1,.000,-2
W. Chandler | K. Faried | G. Harris | E. Mudiay | J. Nurkic,DEN,2016-17,1,1.7,3,4,96.9,0,+2,-.133,0,-1,.000,-0.133,-1,-1,.000,-1
D. Davis | T. Douglas | J. Ennis | J. Green | A. Harrison,MEM,2016-17,1,1.7,3,2,69.2,0,+1,-.167,-1,-1,-.500,-0.417,0,0,.000,-1
M. Beasley | M. Brogdon | M. Dellavedova | G. Monroe | J. Terry,MIL,2016-17,2,1.7,4,3,100.8,-1,+1,-.300,0,0,.000,-0.325,+1,+1,.000,-1
A. Bennett | J. Harris | S. Kilpatrick | L. Scola | I. Whitehead,BRK,2016-17,1,1.7,3,3,86.4,0,+1,-.333,-1,-1,.000,-0.583,-2,-1,-.500,-3
W. Cauley-Stein | L. Galloway | B. Hield | G. Temple | A. Tolliver,SAC,2016-17,2,1.7,4,4,116.4,+1,-2,+.467,+1,0,+1.000,+.633,+2,+2,.000,+5
O. Asik | T. Frazier | A. Goodwin | T. Jones | E. Moore,NOP,2016-17,1,1.7,4,5,128.3,0,+1,-.167,0,0,.000,-0.250,+2,+1,+1.000,+2
J. Anderson | J. Barea | W. Matthews | D. Powell | D. Williams,DAL,2016-17,1,1.7,3,4,97.9,-2,+2,-.667,0,+3,.000,-0.667,+1,+1,.000,-3
J. Anderson | J. Barea | H. Barnes | A. Bogut | S. Curry,DAL,2016-17,1,1.7,4,3,101.8,+2,+1,+.500,0,-1,.000,+.500,-2,-2,.000,+2
K. Korver | D. Liggins | I. Shumpert | T. Thompson | D. Williams,CLE,2016-17,1,1.7,4,4,110.8,-1,-1,-.333,0,0,.000,-0.333,+1,+1,+.500,-1
A. Bennett | B. Bogdanovic | Y. Ferrell | J. Hamilton | R. Hollis-Jefferson,BRK,2016-17,1,1.7,2,3,70.6,-1,-1,.000,0,0,.000,.000,0,0,.000,-2
J. Anderson | R. Covington | S. Long | T. McConnell | N. Stauskas,PHI,2016-17,1,1.7,4,6,141.2,-1,-2,+.067,-1,0,-1.000,-0.033,-2,-3,+.200,-5
D. Exum | D. Favors | R. Gobert | G. Hill | S. Mack,UTA,2016-17,1,1.7,3,2,72.7,0,+1,-.083,0,0,.000,-0.083,0,0,.000,0
N. Brussino | Y. Ferrell | D. Harris | S. Mejri | D. Powell,DAL,2016-17,1,1.7,4,5,125.8,-3,-3,-.500,0,-2,.000,-0.500,0,0,.000,-6
K. Anderson | J. Anthony | D. Green | D. Murray | T. Parker,SAS,2016-17,1,1.7,4,4,111.8,-1,+2,-.750,-1,-1,.000,-1.000,0,-1,.000,-3
R. Covington | R. Holmes | T. McConnell | S. Rodriguez | N. Stauskas,PHI,2016-17,4,1.7,3,4,100.8,-1,-2,.000,-2,-2,.000,-0.250,0,+1,-.500,-4
R. Covington | R. Holmes | E. Ilyasova | T. Luwawu-Cabarrot | T. McConnell,PHI,2016-17,1,1.7,3,4,101.8,+1,+2,+.250,0,0,.000,+.250,-1,+1,-1.000,+1
T. Chandler | B. Knight | A. Len | P. Tucker | T. Warren,PHO,2016-17,2,1.7,2,3,72.7,-1,0,-.500,0,+1,.000,-0.500,+2,+2,+.667,0
G. Antetokounmpo | M. Brogdon | J. Parker | M. Plumlee | R. Vaughn,MIL,2016-17,1,1.7,4,4,115.2,+1,+2,.000,+1,+1,+.500,+.125,-1,-1,.000,+2
M. Barnes | D. Cousins | T. Lawson | B. McLemore | G. Temple,SAC,2016-17,1,1.7,4,3,101.8,+2,+3,+.500,0,+1,.000,+.500,-1,-3,+.500,+3
B. Hield | S. Hill | J. Holiday | T. Jones | E. Moore,NOP,2016-17,1,1.7,4,4,111.8,-1,0,-.333,-1,-1,.000,-0.500,0,0,.000,-3
L. Barbosa | E. Bledsoe | D. Jones | T. Warren | A. Williams,PHO,2016-17,1,1.7,3,2,72.7,+2,+4,.000,0,0,.000,.000,0,0,.000,+4
J. Brown | G. Green | J. Jerebko | J. Mickey | T. Rozier,BOS,2016-17,1,1.7,4,4,112.9,-2,0,-.500,-1,-1,-.500,-0.625,+1,+2,.000,-4
J. Barea | H. Barnes | Y. Ferrell | W. Matthews | S. Mejri,DAL,2016-17,2,1.7,3,3,84.7,+1,0,+.500,+1,+1,.000,+.750,0,+1,.000,+3
B. Bass | R. Felton | W. Johnson | P. Pierce | M. Speights,LAC,2016-17,1,1.7,3,4,97.9,-1,0,-.250,-1,0,-.500,-0.375,0,-2,.000,-3
A. Bennett | B. Bogdanovic | R. Foye | J. Hamilton | S. Kilpatrick,BRK,2016-17,1,1.7,3,3,85.5,-2,-2,-.667,0,+1,.000,-0.667,+2,+2,.000,-2
J. Brown | J. Crowder | A. Horford | A. Johnson | T. Rozier,BOS,2016-17,1,1.7,3,2,72.0,0,0,.000,+1,+2,.000,+.250,+2,+2,.000,+3
K. Anderson | N. Laprovittola | D. Lee | K. Leonard | J. Simmons,SAS,2016-17,1,1.7,2,2,57.6,+1,0,+.500,+1,+1,.000,+.750,+1,+1,.000,+4
T. Booker | S. Dinwiddie | R. Foye | J. Hamilton | S. Kilpatrick,BRK,2016-17,2,1.7,3,4,99.8,+1,+1,+.333,+1,+2,+.333,+.500,-6,-6,.000,-3
P. George | G. Robinson | R. Stuckey | M. Turner | T. Young,IND,2016-17,1,1.7,3,4,96.9,0,-1,+.083,+1,0,+1.000,+.250,-1,-1,.000,0
B. Biyombo | J. Green | M. Hezonja | S. Ibaka | C. Watson,ORL,2016-17,2,1.7,3,4,98.8,-1,-2,-.067,0,-1,.000,-0.067,0,+1,.000,-2
W. Baldwin | D. Davis | J. Green | A. Harrison | W. Selden,MEM,2016-17,1,1.7,4,3,96.9,-1,-1,-.167,+1,+1,+.500,.000,+1,+2,.000,0
E. Fournier | M. Hezonja | J. Meeks | E. Payton | N. Vucevic,ORL,2016-17,2,1.7,3,3,83.1,0,+3,-.750,0,+2,.000,-0.750,-2,-1,-1.000,-2
D. Augustin | S. Ibaka | E. Payton | N. Vucevic | C. Watson,ORL,2016-17,1,1.7,4,5,130.9,+3,+3,+.600,0,0,.000,+.600,-3,-3,.000,+3
M. Belinelli | M. Kidd-Gilchrist | J. Lamb | B. Roberts | C. Wood,CHO,2016-17,2,1.7,3,3,87.3,0,+1,-.167,-1,-1,.000,-0.333,0,0,.000,-1
A. Brown | D. Cunningham | T. Frazier | L. Galloway | S. Hill,NOP,2016-17,1,1.7,4,3,99.8,-2,-2,.000,+1,+1,.000,+.500,+2,+1,+1.000,-1
B. Hield | K. Koufos | S. Labissiere | T. Lawson | A. Tolliver,SAC,2016-17,2,1.7,4,4,112.9,+1,+3,+.036,-1,-1,.000,-0.089,0,-1,.000,+1
D. Exum | G. Hill | R. Hood | T. Lyles | J. Withey,UTA,2016-17,1,1.7,3,3,83.9,-1,+1,-.667,0,0,.000,-0.667,0,0,.000,-2
A. Burks | B. Diaw | G. Hayward | G. Hill | J. Withey,UTA,2016-17,2,1.7,4,4,112.9,0,+1,-.083,0,+2,.000,-0.083,-2,-2,.000,-2
A. Abrines | S. Christon | J. Grant | C. Payne | D. Sabonis,OKC,2016-17,1,1.7,4,3,98.8,+1,-1,+.500,0,0,.000,+.500,+3,+1,+1.000,+5
B. Bogdanovic | S. Dinwiddie | J. Hamilton | J. Harris | L. Scola,BRK,2016-17,1,1.7,4,3,97.9,-1,0,-.333,0,0,.000,-0.333,0,0,.000,-2
A. Bradley | J. Crowder | A. Johnson | T. Rozier | M. Smart,BOS,2016-17,2,1.7,4,4,111.8,+1,-1,+.417,0,0,.000,+.417,0,0,.000,+2
R. Covington | J. Embiid | T. McConnell | D. Saric | H. Thompson,PHI,2016-17,3,1.7,3,5,111.8,-3,-2,-.750,0,0,.000,-0.750,-2,-2,.000,-8
G. Hayward | T. Lyles | S. Mack | R. Neto | J. Withey,UTA,2016-17,1,1.7,4,3,99.8,+1,+3,-.100,0,+1,.000,-0.100,-2,-3,.000,0
L. Aldridge | P. Gasol | M. Ginobili | T. Parker | J. Simmons,SAS,2016-17,2,1.7,3,3,83.1,-2,-2,-.250,0,-1,.000,-0.250,0,0,.000,-4
L. James | K. Korver | K. Love | J. Smith | D. Williams,CLE,2016-17,2,1.7,3,3,87.3,0,0,.000,0,0,.000,.000,0,0,.000,0
N. Bjelica | G. Dieng | A. Payne | R. Rubio | A. Wiggins,MIN,2016-17,1,1.7,3,2,72.7,0,-2,.000,0,-1,.000,.000,-1,-1,.000,-1
A. Drummond | D. Hilliard | S. Johnson | J. Leuer | B. Udrih,DET,2016-17,2,1.7,4,3,98.8,-2,+1,-.667,0,+1,.000,-0.667,0,0,.000,-4
T. Daniels | D. Davis | J. Ennis | J. Green | A. Harrison,MEM,2016-17,1,1.7,3,3,83.1,+2,-3,+1.000,+2,0,+1.000,+1.500,+3,+4,.000,+9
D. Cousins | D. Cunningham | A. Davis | T. Frazier | J. Holiday,NOP,2016-17,1,1.7,3,3,86.4,0,-4,+.800,0,-1,+.500,+1.200,0,+1,.000,0
J. Brown | J. Crowder | A. Horford | J. Mickey | T. Rozier,BOS,2016-17,1,1.7,2,3,71.3,0,+1,-.167,0,0,.000,-0.167,0,0,.000,0
J. Butler | C. Felicio | J. Lauvergne | C. Payne | D. Valentine,CHI,2016-17,1,1.7,3,3,83.1,+1,+1,.000,0,0,.000,-0.083,0,0,.000,+2
D. Bender | M. Chriss | A. Len | T. Ulis | T. Warren,PHO,2016-17,1,1.7,3,3,84.7,+1,0,+.333,0,-1,.000,+.333,0,0,.000,+2
K. Irving | K. Korver | K. Love | I. Shumpert | D. Williams,CLE,2016-17,1,1.7,4,3,100.8,0,0,.000,+1,+1,+.167,+.167,+1,+2,.000,+2
C. Frye | L. James | R. Jefferson | D. Liggins | T. Thompson,CLE,2016-17,1,1.7,4,3,101.8,0,0,.000,0,0,.000,.000,0,-1,.000,0
J. Anderson | R. Holmes | S. Long | T. Luwawu-Cabarrot | N. Stauskas,PHI,2016-17,1,1.7,3,3,86.4,+1,0,+.333,0,0,.000,+.333,0,0,.000,+2
L. Barbosa | D. Booker | M. Chriss | B. Knight | P. Tucker,PHO,2016-17,2,1.7,2,3,69.2,-1,-4,.000,0,-1,.000,.000,-2,-2,.000,-4
T. Booker | J. Hamilton | S. Kilpatrick | K. McDaniels | I. Whitehead,BRK,2016-17,1,1.7,3,3,87.3,+1,-1,+.667,0,-2,.000,+.667,0,0,.000,+2
T. Hardaway | K. Korver | M. Muscala | D. Schroder | M. Scott,ATL,2016-17,1,1.7,4,3,96.9,+1,+1,.000,-2,-2,.000,-0.333,0,0,.000,0
M. Dunleavy | T. Hardaway | K. Humphries | E. Ilyasova | D. Schroder,ATL,2016-17,2,1.7,3,2,69.9,-1,0,-.333,0,-1,.000,-0.333,+1,+1,.000,-1
J. Crawford | W. Johnson | L. Mbah a Moute | C. Paul | M. Speights,LAC,2016-17,3,1.7,2,2,58.2,0,-1,+.500,0,0,.000,+.500,-2,-2,.000,-2
A. Davis | T. Evans | T. Frazier | S. Hill | D. Motiejunas,NOP,2016-17,1,1.7,5,5,139.8,+1,+1,+.167,-1,-2,.000,.000,+2,+2,.000,+3
S. Adams | S. Christon | J. Lauvergne | V. Oladipo | K. Singler,OKC,2016-17,2,1.7,3,3,85.5,+2,+1,+.667,+1,+2,.000,+.833,0,-1,.000,+5
W. Ellington | U. Haslem | J. Johnson | D. Waiters | O. White,MIA,2016-17,1,1.7,4,4,112.9,-2,-2,-.400,0,0,.000,-0.400,-1,-1,.000,-5
L. Aldridge | K. Anderson | D. Bertans | B. Forbes | D. Murray,SAS,2016-17,1,1.7,4,3,97.9,+1,-1,+.417,0,-1,.000,+.417,+1,+1,.000,+3
B. Ingram | J. Randle | T. Robinson | L. Williams | N. Young,LAL,2016-17,1,1.7,3,3,85.5,-2,-1,-.500,-1,-1,.000,-0.667,-1,-1,.000,-6
L. Allen | A. Brooks | P. George | R. Stuckey | M. Turner,IND,2016-17,2,1.7,4,4,111.8,-2,-3,+.250,0,0,.000,+.250,-2,-1,-.667,-6
N. Collison | E. Kanter | V. Oladipo | A. Roberson | R. Westbrook,OKC,2016-17,2,1.7,4,4,111.8,0,-1,+.333,0,-1,+.333,+.500,+1,+1,.000,+1
L. Barbosa | T. Chandler | J. Dudley | B. Knight | T. Warren,PHO,2016-17,1,1.7,3,4,100.8,0,+1,-.167,0,0,.000,-0.167,+2,+2,.000,+2
R. Baker | W. Hernangomez | C. Lee | D. Rose | L. Thomas,NYK,2016-17,2,1.7,3,3,86.4,+1,+2,-.333,+1,+2,.000,-0.167,-2,-2,.000,+1
M. Harkless | M. Leonard | D. Lillard | E. Turner | N. Vonleh,POR,2016-17,2,1.7,2,3,69.2,-1,-1,-.167,0,-1,.000,-0.167,+1,+2,.000,-1
T. Ariza | P. Beverley | M. Harrell | K. McDaniels | K. Wiltjer,HOU,2016-17,1,1.7,3,4,97.9,-1,-4,-.167,0,-1,.000,-0.167,0,-1,.000,-2
D. Collison | T. Evans | S. Labissiere | B. McLemore | G. Papagiannis,SAC,2016-17,1,1.7,4,3,97.9,+2,-2,+1.000,0,-1,.000,+1.000,0,0,.000,+4
D. Bembry | K. Humphries | M. Muscala | L. Patterson | M. Scott,ATL,2016-17,1,1.7,4,4,114.1,-2,-1,-.500,0,0,.000,-0.500,0,0,.000,-4
A. Afflalo | O. Casspi | K. Koufos | T. Lawson | G. Temple,SAC,2016-17,1,1.7,3,3,83.9,0,-2,.000,0,0,.000,.000,-3,-3,.000,-3
S. Christon | E. Kanter | V. Oladipo | A. Roberson | D. Sabonis,OKC,2016-17,2,1.7,3,5,112.9,0,-1,+.167,0,-1,+.500,+.208,-1,-1,.000,-1
