Player,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PProd,OWS,DWS,WS,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OBPM,DBPM,BPM,FG/40,FGA/40,2P/40,2PA/40,3P/40,3PA/40,FT/40,FTA/40,ORB/40,DRB/40,TRB/40,AST/40,STL/40,BLK/40,TOV/40,PF/40,PTS/40,TS%,FTr,3PAr,FG%,2P%,3P%,FT%,eFG%
Draymond Green,108,3197,498,1082,407,831,91,251,308,443,244,730,974,394,159,107,253,330.0,1395.0,1469.0,8.9,8.1,17.0,25.2547075383,9.44216452925,26.0186737566,17.8978730059,26.3723177979,3.10997810447,3.82508601814,16.2749139819,24.4546137003,112.352111354,88.973287457,4.04760713169,4.9345323741,8.98213950579,6.23084141383,13.5376915859,5.09227400688,10.3972474195,1.13856740694,3.14044416641,3.85361276196,5.54269627776,3.05286205818,9.13356271505,12.1864247732,4.92962152018,1.98936502972,1.33875508289,3.1654676259,4.12887081639,17.4538629966,54.6236255991,0.409426987061,0.231977818854,0.460258780037,0.489771359807,0.362549800797,0.695259593679,0.502310536044
Drew Gordon,67,1954,355,660,353,656,2,4,173,241,213,480,693,64,56,81,149,185.0,885.0,833.0,4.6,5.1,9.7,24.0538382805,13.49790174,29.0222620267,21.4025588537,7.44467758444,1.75921187308,4.75081883316,16.0956499488,24.3787615148,110.003480041,87.4357215967,0.715609007165,4.22814738997,4.8885875128,7.26714431934,13.5107471853,7.22620266121,13.428863869,0.0409416581372,0.0818833162743,3.54145342886,4.93346980553,4.36028659161,9.82599795292,14.1862845445,1.31013306039,1.14636642784,1.65813715455,3.05015353122,3.78710337769,18.1166837257,57.7646075923,0.365151515152,0.00606060606061,0.537878787879,0.538109756098,0.5,0.717842323651,0.539393939394
Duje Dukan,97,970,106,248,62,114,44,134,42,64,50,117,167,37,14,4,36,83.0,298.0,295.0,1.8,1.4,3.1,14.2775257732,6.80494845361,15.2167010309,11.1115463918,7.52350515464,0.96381443299,0.407422680412,11.4431958763,18.61,112.166185567,101.547938144,3.34639175258,0.837628865979,4.18402061856,4.37113402062,10.2268041237,2.55670103093,4.70103092784,1.81443298969,5.52577319588,1.73195876289,2.63917525773,2.0618556701,4.82474226804,6.88659793814,1.52577319588,0.577319587629,0.164948453608,1.48453608247,3.42268041237,12.2886597938,53.9542294322,0.258064516129,0.540322580645,0.427419354839,0.543859649123,0.328358208955,0.65625,0.516129032258
Dwight Buycks,68,1769,194,438,140,288,54,150,79,115,52,155,207,189,75,3,137,109.0,521.0,550.0,1.8,2.1,3.9,13.2837761447,3.81622385529,10.7880158282,7.27348784624,19.2940644432,2.65811192764,0.142736009045,21.382928208,18.3863199548,99.6923685698,102.052176371,1.32481628038,0.512832108536,1.83764838892,4.38665912945,9.90390050876,3.1656302996,6.51215375919,1.22102882985,3.39174674958,1.78631995478,2.60033917467,1.17580553985,3.50480497456,4.68061051441,4.27360090447,1.69587337479,0.0678349349915,3.09779536461,2.46466930469,11.7806670435,53.3155955792,0.262557077626,0.342465753425,0.442922374429,0.486111111111,0.36,0.686956521739,0.504566210046
Dwight Powell,136,3569,515,1110,482,996,33,114,402,557,225,628,853,240,125,118,283,390.0,1465.0,1481.0,6.1,6.9,13.0,18.1766321098,7.32233118521,22.2400392267,14.4675259176,12.3072008966,2.19868310451,3.66943121322,17.7553376296,22.3213505184,102.988063883,93.3861025497,0.549453628467,4.84247688428,5.3881479406,5.77192490894,12.4404595125,5.40207340992,11.1627906977,0.369851499019,1.27766881479,4.50546371533,6.2426449986,2.52171476604,7.03838610255,9.56010086859,2.68982908378,1.4009526478,1.32249929952,3.17175679462,4.37097226114,16.4191650322,54.0558491012,0.501801801802,0.102702702703,0.463963963964,0.483935742972,0.289473684211,0.721723518851,0.478828828829
E'Twaun Moore,69,2255,433,970,312,649,121,321,200,278,83,226,309,201,92,28,134,150.0,1187.0,1104.0,6.1,4.5,10.6,22.571751663,4.23152993348,11.6315299335,7.93152993348,20.3380487805,2.50651884701,1.29348115299,10.8728159645,28.510864745,110.108736142,94.184789357,3.47286031042,1.66305986696,5.13592017738,7.68070953437,17.2062084257,5.53436807095,11.512195122,2.14634146341,5.69401330377,3.54767184035,4.93126385809,1.47228381375,4.0088691796,5.48115299335,3.56541019956,1.63192904656,0.49667405765,2.37694013304,2.66075388027,21.0554323725,54.3338948294,0.286597938144,0.330927835052,0.446391752577,0.480739599384,0.376947040498,0.719424460432,0.508762886598
Ed Davis,23,641,111,192,111,192,0,0,87,132,66,154,220,22,10,64,46,42.0,309.0,282.0,1.8,1.3,3.1,26.4,10.8,24.2,17.6,6.8,0.9,9.5,15.3,21.5,116.5,93.3,0.0,0.0,0.0,6.92667706708,11.9812792512,6.92667706708,11.9812792512,0.0,0.0,5.42901716069,8.23712948518,4.11856474259,9.60998439938,13.728549142,1.3728549142,0.624024960998,3.99375975039,2.87051482059,2.62090483619,19.2823712949,61.7802303263,0.6875,0.0,0.578125,0.578125,0.0,0.659090909091,0.578125
Edwin Ubiles,30,926,188,398,159,325,29,73,54,82,31,80,111,67,33,7,58,38.0,459.0,415.0,1.9,1.6,3.5,19.3,3.7,9.6,6.6,15.2,2.0,0.7,11.7,25.8,106.9,97.5,0.0,0.0,0.0,8.12095032397,17.192224622,6.86825053996,14.0388768898,1.25269978402,3.15334773218,2.33261339093,3.54211663067,1.33909287257,3.45572354212,4.79481641469,2.89416846652,1.42548596112,0.302375809935,2.50539956803,1.64146868251,19.8272138229,52.8704386288,0.206030150754,0.183417085427,0.472361809045,0.489230769231,0.397260273973,0.658536585366,0.508793969849
Ekpe Udoh,36,1264,191,390,184,364,7,26,111,162,129,222,351,97,29,133,87,87.0,500.0,542.0,3.4,2.6,6.1,24.9,12.9,17.7,15.6,14.4,1.4,11.0,15.7,22.1,114.3,93.3,0.0,0.0,0.0,6.04430379747,12.3417721519,5.82278481013,11.5189873418,0.221518987342,0.822784810127,3.51265822785,5.12658227848,4.08227848101,7.0253164557,11.1075949367,3.06962025316,0.917721518987,4.20886075949,2.75316455696,2.75316455696,15.8227848101,54.1970169962,0.415384615385,0.0666666666667,0.489743589744,0.505494505495,0.269230769231,0.685185185185,0.498717948718
Elfrid Payton,100,3155,501,1032,471,920,30,112,394,645,148,360,508,486,197,51,336,226.0,1426.0,1566.0,6.1,4.9,11.0,19.5209508716,4.94050713154,13.6601267829,9.17147385103,30.9876703645,3.3899207607,1.52364500792,22.2271949287,24.9804754358,100.916988906,98.3867194929,0.856703645008,2.0248177496,2.90453248811,6.35182250396,13.0839936609,5.97147385103,11.6640253566,0.380348652932,1.41996830428,4.99524564184,8.17749603803,1.8763866878,4.56418383518,6.44057052298,6.1616481775,2.49762282092,0.646592709984,4.25990491284,2.86529318542,18.0792393027,54.1875664995,0.625,0.108527131783,0.485465116279,0.511956521739,0.267857142857,0.610852713178,0.5
