,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Yr
140,M. Dunleavy,SF,36,CLE,23,2,366,4.9,12.3,0.4,2.7,7.8,0.351,2.2,4.5,0.485,1.9,2.6,0.737,0.7,5.7,6.4,2.7,0.8,0.3,1.9,4.4,14.5,104.0,113.0,2017
141,M. Dunleavy,SF,36,ATL,30,0,475,5.9,13.5,0.438,3.4,8.0,0.429,2.5,5.5,0.453,2.3,2.7,0.846,1.3,5.7,7.1,3.1,0.9,0.5,1.5,3.6,17.5,118.0,109.0,2017
142,K. Dunn,PG,22,MIN,78,7,1333,4.5,11.9,0.377,0.8,2.8,0.288,3.7,9.1,0.404,1.4,2.2,0.61,0.9,5.4,6.3,7.2,3.0,1.4,3.4,6.8,11.1,90.0,109.0,2017
143,K. Durant,SF,28,GSW,62,62,2070,12.8,23.8,0.537,2.7,7.3,0.375,10.1,16.6,0.608,7.8,8.9,0.875,0.9,11.0,11.9,7.0,1.5,2.3,3.2,2.7,36.1,125.0,101.0,2017
144,J. Eddie,SF,25,PHO,5,0,62,4.6,14.7,0.316,3.1,12.4,0.25,1.5,2.3,0.667,6.2,6.9,0.889,0.8,4.6,5.4,0.0,0.8,0.0,0.8,0.8,18.5,112.0,117.0,2017
145,H. Ellenson,PF,20,DET,19,2,146,8.0,22.1,0.359,3.5,12.1,0.286,4.5,10.0,0.448,1.4,2.8,0.5,2.8,11.4,14.2,2.4,0.3,0.3,4.8,2.1,20.8,82.0,109.0,2017
146,W. Ellington,SG,29,MIA,62,13,1500,7.8,18.7,0.416,5.0,13.2,0.378,2.8,5.4,0.509,1.2,1.4,0.86,0.6,3.9,4.5,2.4,1.2,0.1,1.0,2.4,21.8,114.0,111.0,2017
147,M. Ellis,SG,31,IND,74,33,1998,6.2,14.0,0.443,1.1,3.4,0.319,5.1,10.6,0.483,2.3,3.2,0.727,0.5,4.6,5.1,5.9,2.0,0.7,3.4,3.7,15.8,97.0,110.0,2017
148,J. Embiid,C,22,PHI,31,31,786,12.4,26.6,0.466,2.2,6.1,0.367,10.2,20.5,0.495,11.8,15.1,0.783,3.8,11.3,15.1,4.1,1.7,4.7,7.3,6.9,38.9,103.0,102.0,2017
149,J. Ennis,SF,26,MEM,64,28,1501,5.1,11.1,0.455,1.8,4.7,0.372,3.3,6.4,0.516,3.0,3.8,0.782,2.4,6.6,9.0,2.2,1.6,0.7,2.0,5.7,14.9,112.0,108.0,2017
150,T. Ennis,PG,22,TOT,53,2,588,7.4,17.1,0.433,2.2,5.8,0.386,5.2,11.4,0.457,1.7,2.1,0.84,0.8,3.0,3.8,7.1,2.1,0.2,3.7,4.8,18.8,102.0,114.0,2017
151,T. Ennis,PG,22,HOU,31,0,196,6.1,15.7,0.391,1.5,3.9,0.375,4.7,11.8,0.396,0.5,0.7,0.667,1.0,3.7,4.7,8.3,1.5,0.0,5.9,7.1,14.2,85.0,112.0,2017
152,T. Ennis,PG,22,LAL,22,2,392,8.1,17.9,0.451,2.6,6.7,0.389,5.5,11.2,0.489,2.4,2.7,0.864,0.7,2.6,3.4,6.5,2.5,0.2,2.6,3.6,21.1,111.0,114.0,2017
153,T. Evans,SF,27,TOT,40,6,788,9.4,23.3,0.405,2.6,7.4,0.356,6.8,15.9,0.429,4.3,5.8,0.75,0.8,7.8,8.6,7.8,2.2,0.6,3.8,3.8,25.9,99.0,108.0,2017
154,T. Evans,SF,27,NOP,26,0,474,9.4,23.5,0.401,2.2,7.2,0.3,7.2,16.2,0.446,4.6,6.0,0.776,0.6,8.3,8.9,9.4,2.4,0.4,4.0,4.2,25.6,98.0,106.0,2017
155,T. Evans,SF,27,SAC,14,6,314,9.5,23.0,0.413,3.4,7.7,0.438,6.1,15.3,0.4,3.9,5.5,0.706,1.1,7.1,8.2,5.3,1.9,0.8,3.5,3.1,26.3,99.0,111.0,2017
156,D. Exum,PG,21,UTA,66,26,1228,6.6,15.5,0.427,1.9,6.4,0.295,4.7,9.1,0.519,2.5,3.1,0.795,1.3,4.4,5.6,4.8,0.9,0.5,3.4,6.2,17.6,100.0,109.0,2017
157,K. Faried,PF,27,DEN,61,34,1296,8.6,15.7,0.548,0.0,0.2,0.0,8.6,15.5,0.556,4.9,7.1,0.693,6.9,10.5,17.4,2.1,1.6,1.5,2.2,4.7,22.1,123.0,110.0,2017
158,J. Farmar,PG,30,SAC,2,0,35,5.8,17.3,0.333,5.8,13.0,0.444,0.0,4.3,0.0,0.0,0.0,1.4,2.9,4.3,13.0,2.9,0.0,4.3,1.4,17.3,105.0,112.0,,2017
159,D. Favors,PF,25,UTA,50,39,1186,9.0,18.4,0.487,0.1,0.4,0.3,8.8,18.0,0.491,3.0,4.8,0.615,4.1,9.4,13.5,2.5,2.0,1.8,2.7,4.6,21.0,104.0,102.0,2017
160,K. Felder,PG,21,CLE,42,0,386,8.0,20.4,0.392,0.9,2.8,0.318,7.1,17.6,0.404,4.5,6.3,0.714,0.4,4.9,5.3,7.5,2.3,0.9,4.0,4.9,21.5,94.0,110.0,2017
161,C. Felicio,C,24,CHI,66,0,1040,6.2,10.8,0.577,0.0,0.0,6.2,10.8,0.577,2.9,4.5,0.645,6.0,9.1,15.1,1.9,1.2,0.8,1.6,5.3,15.3,126.0,107.0,,2017
162,R. Felton,PG,32,LAC,80,11,1700,6.5,15.1,0.43,1.4,4.2,0.319,5.1,10.9,0.473,1.5,1.9,0.781,1.0,5.4,6.4,5.6,2.0,0.6,2.4,3.7,15.8,101.0,109.0,2017
163,Y. Ferrell,PG,23,TOT,46,29,1197,6.9,16.9,0.406,2.9,7.6,0.386,4.0,9.4,0.422,3.2,3.8,0.831,0.9,3.9,4.8,7.4,1.8,0.4,3.0,3.9,19.8,106.0,111.0,2017
164,Y. Ferrell,PG,23,BRK,10,0,151,5.7,15.4,0.367,2.5,8.5,0.296,3.1,6.9,0.455,3.1,5.0,0.625,1.3,2.5,3.8,5.3,0.6,0.6,4.4,3.5,17.0,90.0,116.0,2017
165,Y. Ferrell,PG,23,DAL,36,29,1046,7.1,17.2,0.412,3.0,7.4,0.403,4.1,9.8,0.418,3.2,3.6,0.877,0.8,4.1,4.9,7.7,2.0,0.3,2.8,3.9,20.3,108.0,110.0,2017
166,D. Finney-Smith,PF,23,DAL,81,35,1642,3.9,10.6,0.372,1.8,6.1,0.293,2.2,4.5,0.479,1.5,1.9,0.754,1.7,5.3,7.0,2.1,1.6,0.8,1.4,4.0,11.1,99.0,110.0,2017
167,B. Forbes,SG,23,SAS,36,0,285,6.4,17.7,0.364,3.0,9.5,0.321,3.4,8.2,0.413,0.9,1.1,0.833,0.4,3.8,4.1,4.1,0.2,0.0,2.0,3.6,16.8,95.0,110.0,2017
168,E. Fournier,SG,24,ORL,68,66,2234,9.1,20.6,0.439,2.8,8.0,0.356,6.2,12.6,0.491,4.9,6.1,0.805,1.0,3.7,4.6,4.5,1.5,0.1,3.1,4.0,25.9,106.0,114.0,2017
169,R. Foye,SG,33,BRK,69,40,1284,4.4,12.0,0.363,2.5,7.5,0.33,1.9,4.5,0.418,2.0,2.3,0.857,0.3,5.4,5.7,5.0,1.3,0.3,3.0,3.7,13.2,95.0,113.0,2017
170,T. Frazier,PG,26,NOP,65,35,1525,5.2,13.0,0.403,1.3,4.1,0.313,4.0,8.9,0.446,3.1,4.1,0.76,1.1,4.5,5.6,10.8,1.8,0.2,3.2,4.3,14.9,106.0,110.0,2017
171,C. Frye,C,33,CLE,74,15,1398,8.5,18.6,0.458,4.9,12.0,0.409,3.6,6.6,0.546,2.2,2.6,0.851,1.3,9.0,10.4,1.6,1.2,1.3,1.9,4.9,24.1,115.0,109.0,2017
172,D. Gallinari,SF,28,DEN,63,63,2134,7.7,17.2,0.447,2.9,7.4,0.389,4.8,9.7,0.491,8.0,8.9,0.902,0.9,6.6,7.5,3.1,0.9,0.3,1.9,2.1,26.2,126.0,115.0,2017
173,L. Galloway,PG,25,TOT,74,2,1495,6.8,18.0,0.38,4.0,10.2,0.39,2.9,7.8,0.367,1.7,2.1,0.797,0.9,4.3,5.2,3.1,1.5,0.2,1.5,3.2,19.3,101.0,111.0,2017
174,L. Galloway,PG,25,NOP,55,0,1120,7.2,19.3,0.374,4.4,11.7,0.377,2.8,7.6,0.37,1.7,2.3,0.769,0.9,4.4,5.3,2.8,1.7,0.2,1.2,3.3,20.6,102.0,110.0,2017
175,L. Galloway,PG,25,SAC,19,2,375,5.7,14.0,0.404,2.6,5.4,0.475,3.1,8.6,0.359,1.5,1.6,0.917,0.9,3.8,4.7,3.8,0.8,0.1,2.4,2.7,15.4,100.0,116.0,2017
176,P. Garino,SG,23,ORL,5,0,43,0.0,8.1,0.0,0.0,5.8,0.0,0.0,2.3,0.0,0.0,0.0,1.2,6.9,8.1,0.0,0.0,0.0,3.5,4.6,0.0,8.0,115.0,,2017
177,M. Gasol,C,32,MEM,74,74,2531,10.9,23.8,0.459,2.1,5.5,0.388,8.8,18.3,0.48,5.7,6.8,0.837,1.2,8.3,9.5,6.9,1.4,2.0,3.4,3.5,29.7,111.0,106.0,2017
178,P. Gasol,C,36,SAS,64,39,1627,9.5,18.9,0.502,1.8,3.3,0.538,7.7,15.7,0.494,4.1,5.8,0.707,3.4,12.3,15.7,4.7,0.8,2.2,2.5,3.4,24.8,116.0,102.0,2017
179,R. Gay,SF,30,SAC,30,30,1013,10.0,22.1,0.455,2.1,5.6,0.372,7.9,16.4,0.483,5.9,6.9,0.855,1.7,7.7,9.5,4.1,2.2,1.3,3.7,3.9,28.1,105.0,109.0,2017
180,M. Gbinije,SG,24,DET,9,0,32,1.6,15.8,0.1,0.0,6.3,0.0,1.6,9.5,0.167,3.2,3.2,1.0,3.2,1.6,4.7,3.2,0.0,0.0,0.0,3.2,6.3,64.0,114.0,2017
181,A. Gee,SF,29,DEN,13,0,89,1.6,7.7,0.214,0.0,1.6,0.0,1.6,6.0,0.273,2.7,4.9,0.556,2.2,6.0,8.2,3.3,2.7,0.5,2.2,7.7,6.0,78.0,111.0,2017
182,P. George,SF,26,IND,75,75,2689,11.6,25.1,0.461,3.6,9.2,0.393,7.9,15.9,0.501,6.3,7.0,0.898,1.1,8.1,9.2,4.7,2.2,0.5,4.1,3.8,33.0,109.0,108.0,2017
183,M. Georges-Hunt,SG,22,ORL,5,0,48,2.1,7.2,0.286,1.0,2.1,0.5,1.0,5.2,0.2,9.3,10.3,0.9,1.0,8.3,9.3,3.1,1.0,0.0,2.1,5.2,14.5,121.0,112.0,2017
184,J. Gibson,PG,29,DAL,17,0,231,7.9,21.4,0.368,3.4,10.1,0.333,4.5,11.3,0.4,4.7,6.5,0.724,0.2,4.7,5.0,5.9,1.8,0.0,4.7,4.7,23.9,91.0,111.0,2017
185,T. Gibson,PF,31,TOT,78,71,1989,9.2,17.8,0.515,0.1,0.3,0.231,9.1,17.5,0.52,2.8,4.0,0.715,4.0,8.3,12.2,1.8,1.1,1.7,2.6,4.1,21.3,107.0,107.0,2017
186,T. Gibson,PF,31,CHI,55,55,1502,9.3,17.8,0.521,0.1,0.4,0.167,9.2,17.4,0.529,2.9,4.0,0.714,4.0,8.8,12.8,2.0,0.9,1.7,2.6,4.1,21.4,108.0,107.0,2017
187,T. Gibson,PF,31,OKC,23,16,487,9.0,18.0,0.497,0.1,0.1,1.0,8.9,17.9,0.494,2.8,3.9,0.718,3.8,6.6,10.4,1.3,1.4,1.5,2.8,4.0,20.9,104.0,108.0,2017
188,M. Ginobili,SG,39,SAS,69,0,1291,6.8,17.3,0.39,3.5,9.0,0.392,3.2,8.4,0.387,3.4,4.2,0.804,1.1,5.1,6.2,7.2,3.2,0.6,3.8,4.7,20.4,104.0,102.0,2017
189,R. Gobert,C,24,UTA,81,81,2744,7.9,11.9,0.662,0.0,0.0,0.0,7.9,11.9,0.663,5.9,9.1,0.653,6.0,13.8,19.8,1.9,0.9,4.1,2.8,4.7,21.7,129.0,99.0,2017
