Player,Tm,FG%,2P%,3P%,FT%,eFG%,FG/36,FGA/36,2P/36,2PA/36,3P/36,3PA/36,FT/36,FTA/36,ORB/36,DRB/36,TRB/36,AST/36,STL/36,BLK/36,TOV/36,PF/36,PTS/36,TS%,3PAr,FTr
J.J. Barea,DAL,0.413994169,0.456410256,0.358108108,0.862745098,0.491253644,6.630350195,16.0155642,4.155642023,9.105058366,2.474708171,6.910505837,2.054474708,2.381322957,0.420233463,3.501945525,3.922178988,9.011673152,0.653696498,0.046692607,2.941634241,1.40077821,17.78988327,52.12894046,0.43148688,0.148688047
Harrison Barnes,DAL,0.46796875,0.492438563,0.351351351,0.861209964,0.4984375,7.693185872,16.43952908,6.691402069,13.58829825,1.001783803,2.851230824,3.108098466,3.608990367,1.207277917,3.891544773,5.09882269,1.502675705,0.847663218,0.192650731,1.310024973,1.643952908,19.49625401,54.07369411,0.1734375,0.21953125
Matt Barnes,TOT,0.391120507,0.466666667,0.330798479,0.786516854,0.483086681,3.747889702,9.582442319,1.985368599,4.254361283,1.762521103,5.328081035,1.418120428,1.803038829,1.418120428,6.422059651,7.840180079,3.930219471,0.972425436,0.526730445,2.167698368,3.747889702,10.67642093,51.44876601,0.55602537,0.188160677
Will Barton,DEN,0.442942943,0.482598608,0.370212766,0.752631579,0.508258258,6.228739003,14.06217009,4.391788856,9.100293255,1.836950147,4.961876833,3.019354839,4.011730205,1.224633431,4.2228739,5.447507331,4.349560117,1.013489736,0.591202346,2.048093842,2.322580645,17.31378299,54.69583778,0.352852853,0.285285285
Brandon Bass,LAC,0.575268817,0.579234973,0.333333333,0.875,0.577956989,6.675909879,11.60485269,6.613518198,11.41767764,0.062391681,0.187175043,4.804159445,5.490467938,2.682842288,5.365684575,8.048526863,1.310225303,0.873483536,0.686308492,1.809358752,2.80762565,18.21837088,64.96974012,0.016129032,0.47311828
Nicolas Batum,CHO,0.403076923,0.452631579,0.333333333,0.855633803,0.472307692,5.406190294,13.41230417,3.549102025,7.841039358,1.857088269,5.571264807,3.342758884,3.90676347,0.632785632,5.983951089,6.616736721,6.259075277,1.183034008,0.398930073,2.668704624,1.499426825,16.01222774,52.91101495,0.415384615,0.291282051
Jerryd Bayless,PHI,0.34375,0.333333333,0.4,0.9,0.375,5.577464789,16.22535211,4.563380282,13.69014085,1.014084507,2.535211268,4.563380282,5.070422535,1.521126761,4.563380282,6.084507042,6.591549296,0,0,4.563380282,2.028169014,16.73239437,45.32967033,0.15625,0.3125
Aron Baynes,DET,0.512544803,0.512544803,0,0.840425532,0.512544803,4.426483233,8.636285469,4.426483233,8.636285469,0,0,2.445399828,2.909716251,3.435941531,6.871883061,10.30782459,0.990541702,0.526225279,1.2072227,1.54772141,5.138435082,11.29836629,56.96716194,0,0.336917563
Kent Bazemore,ATL,0.409153953,0.446153846,0.345864662,0.708333333,0.47295423,5.410086602,13.22261844,3.722873153,8.344370861,1.687213449,4.87824758,2.182373917,3.080998472,0.825267448,3.411105451,4.236372899,3.246051961,1.668874172,0.953642384,2.292409577,3.025980642,14.68976057,50.38242842,0.368932039,0.233009709
Bradley Beal,WAS,0.481845688,0.537662338,0.403985507,0.824561404,0.566187595,8.543964232,17.73174367,5.55290611,10.32786885,2.991058122,7.403874814,3.782414307,4.587183308,0.710879285,2.494783905,3.205663189,3.581222057,1.113263785,0.281669151,2.105812221,2.266766021,23.86140089,60.40829077,0.417549168,0.258698941
Malik Beasley,DEN,0.452054795,0.533333333,0.321428571,0.8,0.51369863,7.2,15.92727273,5.236363636,9.818181818,1.963636364,6.109090909,1.745454545,2.181818182,1.090909091,2.618181818,3.709090909,2.4,1.527272727,0,1.745454545,2.181818182,18.10909091,53.61757106,0.383561644,0.136986301
Michael Beasley,MIL,0.532019704,0.545454545,0.418604651,0.742857143,0.554187192,8.31657754,15.63208556,7.623529412,13.97647059,0.693048128,1.655614973,3.003208556,4.042780749,1.540106952,5.890909091,7.431016043,2.040641711,1.078074866,1.039572193,2.541176471,3.542245989,20.32941176,58.38124724,0.10591133,0.25862069
Marco Belinelli,CHO,0.429268293,0.487951807,0.360424028,0.892857143,0.512195122,5.345331834,12.45219348,3.280089989,6.72215973,2.065241845,5.730033746,3.03712036,3.401574803,0.283464567,3.320584927,3.604049494,2.976377953,0.890888639,0.182227222,1.417322835,1.822272216,15.79302587,56.61034663,0.460162602,0.273170732
DeAndre' Bembry,ATL,0.479591837,0.575,0.055555556,0.375,0.484693878,4.5606469,9.509433962,4.46361186,7.762803235,0.09703504,1.746630728,0.582210243,1.552560647,1.358490566,4.366576819,5.725067385,2.716981132,0.776280323,0.485175202,1.552560647,2.037735849,9.800539084,48.07692308,0.183673469,0.163265306
Dragan Bender,PHO,0.354037267,0.483333333,0.277227723,0.363636364,0.440993789,3.574912892,10.09756098,1.818815331,3.763066202,1.756097561,6.334494774,0.25087108,0.68989547,1.442508711,5.017421603,6.459930314,1.442508711,0.6271777,1.379790941,2.006968641,4.641114983,9.156794425,44.01833092,0.627329193,0.068322981
Anthony Bennett,BRK,0.413043478,0.568181818,0.270833333,0.722222222,0.483695652,5.181818182,12.54545455,3.409090909,6,1.772727273,6.545454545,3.545454545,4.909090909,3.409090909,7.227272727,10.63636364,1.636363636,0.681818182,0.409090909,1.636363636,2.454545455,15.68181818,53.31973294,0.52173913,0.391304348
Ben Bentil,DAL,0,0,0,0,0,0,10.8,0,7.2,0,3.6,0,0,0,7.2,7.2,0,0,0,3.6,3.6,0,0,0.333333333,0
Davis Bertans,SAS,0.44017094,0.557377049,0.398843931,0.823529412,0.587606838,4.589108911,10.42574257,1.514851485,2.717821782,3.074257426,7.707920792,1.247524752,1.514851485,0.98019802,3.430693069,4.410891089,2.049504951,0.891089109,1.247524752,1.425742574,3.341584158,13.5,60.8531491,0.739316239,0.145299145
Patrick Beverley,HOU,0.419889503,0.462745098,0.381944444,0.768421053,0.521178637,3.988338192,9.498542274,2.064139942,4.460641399,1.924198251,5.037900875,1.27696793,1.66180758,1.66180758,5.2303207,6.89212828,4.915451895,1.731778426,0.437317784,1.749271137,3.883381924,11.17784257,54.63406293,0.53038674,0.174953959
Bismack Biyombo,ORL,0.528023599,0.528023599,0,0.534188034,0.528023599,3.593976576,6.806469604,3.593976576,6.806469604,0,0,2.509760178,4.698271054,3.152258784,8.232013385,11.38427217,1.485778026,0.501952036,1.82710541,1.907417736,4.055772448,9.69771333,54.64295411,0,0.690265487
